spotify_track_id,title,artists,spotify_release_date,genres,is_hit,spotify_popularity,final_sentiment,duration_sec,tempo_bpm,rms_energy,spectral_centroid_mean,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,zero_crossing_rate,spectral_rolloff,spectral_contrast_band1_mean,spectral_contrast_band2_mean,spectral_contrast_band3_mean,spectral_contrast_band4_mean,spectral_contrast_band5_mean,spectral_contrast_band6_mean,spectral_contrast_band7_mean,spectral_flatness_mean,beat_strength_mean,onset_rate,tempo_stability,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz6_mean,harmonic_percussive_ratio,lyric_total_words,lexical_diversity,noun_count,verb_count,adj_count,lyrical_density,topic_prob_0,topic_prob_1,topic_prob_2,topic_prob_3,topic_prob_4,topic_prob_5,topic_prob_6,topic_prob_7,topic_prob_8,topic_prob_9,topic_prob_10,topic_prob_11,topic_prob_12,topic_prob_13,topic_prob_14,key_A#:maj,key_A#:min,key_A:maj,key_A:min,key_B:maj,key_B:min,key_C#:maj,key_C#:min,key_C:maj,key_C:min,key_D#:maj,key_D#:min,key_D:maj,key_D:min,key_E:maj,key_E:min,key_F#:maj,key_F#:min,key_F:maj,key_F:min,key_G#:maj,key_G#:min,key_G:maj,key_G:min,genre_Ballad,genre_Indie,genre_Pop,genre_Rap/Hip-hop,_final_sentiment_norm,sentiment_negative,sentiment_neutral,sentiment_positive,cluster_main,vibe
3Ekcu2HX9Xev2EH7z2KBa1,Ai Đã khiến Em Như Vậy,Andree Right Hand,2010-01-01,"Rap/Hip-hop, Pop",0.0,29.0,neutral,252.61,117.45,0.253631,2059.33,6.4487,11.5292,-3.804,10.7503,-0.4644,11.2371,-2.0198,10.2086,-82.2851,104.1145,100.2944,35.3857,12.4911,27.2227,13.6126,20.0288,1.4609,19.5904,5.4272,16.578,-5.6406,14.4047,-3.3469,13.1532,-8.4972,13.3364,0.07845,4561.12,18.71,16.42,20.44,19.05,19.37,18.4,49.05,0.013091,1.5271,2.84,0.971,0.3444,0.2344,0.3264,0.2803,0.4375,0.3277,0.3193,0.4227,0.3485,0.417,0.2752,0.3762,0.1938,0.0842,-0.0015,0.0953,0.0122,-0.023,2.4651,552.0,0.4239,186.0,158.0,31.0,2.1852,0.1091949510116691,0.145035172545114,0.0145434656150383,0.0276101857245114,0.2451754047017766,0.0167413445012217,0.025869307464704,0.0222005467814423,0.1385466033137129,0.0216711678221977,0.0188907316927745,0.0131242406773095,0.0238445647999908,0.0277359549687808,0.0100060277452498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,neutral,0.0,1.0,0.0,3,Tươi mới / Yêu đời
6ZUaNCDyVmKRvBRGKDDPBL,Đổi Thay,Noo Phước Thịnh,2010-01-01,Pop,0.0,25.0,negative,227.79,117.45,0.198212,1883.24,-1.5797,11.299,-6.8624,9.0902,-2.2459,9.275,-8.1776,9.0372,-113.9826,101.8434,107.4396,36.8278,7.1598,21.6219,16.7894,14.7991,0.0022,13.935,6.1226,10.5856,-3.8308,10.6263,-5.9936,8.9932,-12.4081,9.6378,0.075451,3935.43,19.18,17.66,21.99,20.61,20.97,19.62,47.77,0.01996,1.1999,1.83,0.9663,0.1556,0.2231,0.2293,0.3916,0.2262,0.3637,0.3266,0.1794,0.2875,0.2049,0.3417,0.176,-0.3097,-0.0117,0.0565,-0.1043,0.0011,0.0155,3.874,217.0,0.3226,82.0,60.0,7.0,0.9526,0.1134275139465124,0.0702090803045625,0.0111412643371346,0.0190771876740318,0.1008214414132197,0.0119277583943902,0.0161779300198297,0.0135602519257876,0.249154937857199,0.0138034502533915,0.0137295922753348,0.0091735716615087,0.0189890088962581,0.0208315605313542,0.0071538980268827,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative,1.0,0.0,0.0,2,Sâu lắng / Thấu cảm
14khFA3ijq29og5P6GJqDP,Khu Tao Sống,Wowy,2010-01-01,"Rap/Hip-hop, Pop",1.0,45.0,neutral,244.95,89.1,0.211544,1983.5,1.3732,10.5909,-2.1805,8.4917,3.9993,8.4001,-0.9098,8.5951,-99.7991,120.3402,101.3935,41.4605,-6.6443,25.8742,16.8924,19.7159,-0.8446,18.8643,-1.8558,15.373,-5.5271,12.7597,4.0572,12.2738,-5.8875,11.5995,0.081127,4088.91,16.07,15.22,18.52,17.78,17.06,18.09,47.72,0.046015,1.9488,3.88,0.9782,0.3356,0.3614,0.4018,0.3558,0.4135,0.3474,0.394,0.375,0.3318,0.2936,0.3049,0.428,0.1074,-0.0885,0.0684,0.0919,0.0285,-0.0372,1.3066,658.0,0.3754,185.0,197.0,29.0,2.6863,0.0330359359817987,0.0231251302276614,0.8072810607906207,0.0192539032234003,0.0115159777650823,0.0122119063756752,0.0065154528121436,0.0058505760885454,0.0182061178267848,0.0090465287153109,0.0177505101441504,0.0117349403666392,0.0076349854919711,0.0069666336241383,0.0098703405660773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,neutral,0.0,1.0,0.0,1,Bùng nổ / Sôi động
4vxr2ccAO33E05770kXfMd,Bối Rối,Đông Nhi,2010-03-01,Pop,1.0,34.0,positive,208.97,86.13,0.189635,2631.72,2.4934,12.1347,-12.3266,10.4339,5.6964,10.3863,-5.3121,11.2455,-94.4907,98.7578,77.1155,26.9386,7.4095,20.0793,16.4832,17.7827,-0.8642,13.6874,-0.4989,12.8121,0.8663,12.0218,-3.9807,10.8036,-6.8565,10.6767,0.117162,5862.31,17.29,18.76,21.7,23.32,21.81,21.74,51.05,0.019085,1.3327,2.43,0.9744,0.3282,0.4218,0.2167,0.3048,0.2104,0.3595,0.2323,0.1642,0.2776,0.1923,0.2559,0.1695,-0.2509,-0.0189,-0.1421,0.0232,0.017,-0.0034,2.4685,276.0,0.5036,103.0,84.0,25.0,1.3208,2.3041908595283666e-307,1.0,3.0785489114049656e-308,4.032538139014325e-308,8.462292709792983e-308,5.389512619761057e-308,2.676163266863344e-308,2.407916508945849e-308,1.6635139538338055e-307,2.849510100209711e-308,5.458047943663793e-308,3.415407461127476e-308,9.932670003089587e-308,1.2906322094102726e-307,2.4386229041953193e-308,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive,0.0,0.0,1.0,0,Kịch tính / Da diết
06MVs9q7n1Z93Vs2UCi89b,Lời Thú Tội Ngọt Ngào,Đông Nhi,2010-03-01,Pop,1.0,35.0,negative,189.84,129.2,0.191636,2154.4,3.3042,11.533,-12.7509,9.9009,2.5021,9.2478,-6.368,9.6049,-114.6279,101.9828,101.1851,33.4845,3.0462,19.3308,16.5087,16.7408,3.8132,12.2071,1.7903,11.0888,1.0914,8.9784,-2.1413,9.9065,-6.2914,9.1369,0.09335,4536.26,18.13,18.07,21.29,21.17,21.33,20.76,49.06,0.013796,1.2476,2.96,0.9714,0.3159,0.4244,0.2401,0.3128,0.2127,0.2993,0.24,0.1992,0.3503,0.2448,0.291,0.188,-0.2288,-0.0359,-0.1112,-0.0258,0.0127,0.0108,2.269,254.0,0.378,102.0,67.0,19.0,1.338,0.3491578572337967,0.0974328253803339,0.0160431605087016,0.022102154311825,0.0550039317615736,0.020331457281606,0.0163209979676597,0.0140609563649358,0.1465114142268155,0.0163850881905444,0.0220418549695244,0.0153394671959001,0.0375138489580132,0.05032839714668,0.0116080094179328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative,1.0,0.0,0.0,2,Sâu lắng / Thấu cảm
0kxNd6RzYQ5JuHB6VAyNx1,30 Ngày Yêu,Đông Nhi,2010-03-01,Pop,0.0,24.0,negative,222.57,117.45,0.192396,2548.68,5.0145,10.6493,-8.2456,10.1766,3.1238,10.2977,-5.1628,9.6454,-68.5105,125.0273,79.1467,30.3705,-17.8576,21.8561,30.5578,18.6158,0.4034,14.389,7.4514,12.0937,6.2484,11.31,-3.686,13.4244,2.7948,11.1631,0.136363,5213.45,16.42,16.35,19.26,19.46,19.58,20.48,48.25,0.036272,1.2411,3.38,0.9728,0.361,0.3166,0.276,0.3332,0.2535,0.264,0.231,0.3522,0.4795,0.3439,0.3519,0.2912,-0.1535,0.0165,-0.0206,0.0861,-0.01,-0.0037,1.9965,348.0,0.3046,98.0,98.0,30.0,1.5636,0.20735767544631,0.1196990217751428,0.0167269540150792,0.025015801833313,0.0828076670328128,0.0202537128455871,0.0203558322161608,0.0176962521161317,0.2351818593025166,0.0190623227397506,0.0220031326511414,0.0156647174594526,0.0343577407097384,0.043826883555754,0.0120516692172825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,negative,1.0,0.0,0.0,0,Kịch tính / Da diết
0A3R8yEM1tBs2tpOIaBUDs,Khóc,Đông Nhi,2010-03-01,Pop,1.0,42.0,negative,282.53,99.38,0.180412,2535.55,6.5222,11.0874,-8.1579,10.5751,-2.1552,9.1854,-5.5809,9.4378,-87.3312,97.7644,82.7761,28.3232,7.1396,24.2937,24.5902,15.0559,3.5069,11.9694,-2.0636,11.0937,-3.2163,10.6979,1.7729,10.3834,-7.6603,10.4381,0.117669,5577.41,18.65,17.2,20.56,21.34,20.21,20.32,48.57,0.026156,1.3657,2.53,0.9807,0.2745,0.4005,0.3101,0.2811,0.3142,0.2633,0.3562,0.2363,0.408,0.414,0.2547,0.3265,0.0181,-0.2006,-0.1071,0.0052,-0.0127,0.0019,2.066,507.0,0.3748,148.0,158.0,27.0,1.7945,0.2341477834266099,0.0859433938121325,0.0164901693775811,0.0287196838011009,0.1104878098232388,0.0177654544442975,0.0227960176461995,0.0183306502212081,0.2810224049488292,0.0203792091969216,0.0199584442928864,0.0135547334932164,0.029041935557283,0.0297825718384909,0.0104668483669761,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative,1.0,0.0,0.0,3,Tươi mới / Yêu đời
287lQlCBsseJrdpIhrqr6t,Ngọt Ngào,Đông Nhi,2010-03-01,Pop,1.0,36.0,positive,178.69,89.1,0.199286,3052.16,5.672,12.1542,-6.1456,10.7238,3.5389,9.6339,-3.0498,10.0188,-92.1829,95.5904,67.253,32.7041,20.5434,28.1413,20.8947,19.7056,4.4413,13.8013,0.382,15.1012,4.5493,10.8544,-0.353,12.9587,0.6303,10.7355,0.136095,6659.85,17.85,17.86,21.35,20.97,20.52,19.26,48.01,0.036088,1.6277,3.24,0.9803,0.4056,0.3025,0.4034,0.368,0.212,0.2252,0.2727,0.4935,0.2964,0.2601,0.3376,0.288,-0.0157,0.1489,0.1137,0.031,0.0171,0.0183,1.2521,313.0,0.4377,122.0,76.0,20.0,1.7516,0.062263866327153,0.1286173413600918,0.008215127642423,0.0114458560705936,0.0301700405845582,0.0128337243238179,0.0088104651149353,0.0081073698309609,0.0562876097492238,0.0088500336463942,0.0127506674900429,0.009147499211321,0.0211920063666311,0.0319737176812176,0.0067621169351347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,positive,0.0,0.0,1.0,3,Tươi mới / Yêu đời
1MUayyIDXWXFSE0KfZSvdD,Biệt Ly,Noo Phước Thịnh,2010-03-09,Pop,0.0,25.0,neutral,259.55,107.67,0.235939,2114.04,1.3969,11.7311,-5.664,9.0588,-1.4075,8.8278,-2.3822,9.3803,-88.1079,93.2551,100.1086,39.9249,12.0275,20.804,20.0274,15.5087,2.4876,13.9474,10.9131,11.9056,-2.0371,11.7488,-2.3488,9.4302,-10.7203,12.3292,0.083346,4556.85,18.23,18.48,22.32,21.04,20.9,19.09,47.81,0.023455,1.3192,2.85,0.973,0.2362,0.3815,0.3641,0.1895,0.2552,0.1977,0.3175,0.2491,0.182,0.2336,0.2638,0.4091,0.152,-0.1808,0.0333,-0.1057,0.0045,-0.0292,3.1268,272.0,0.3419,77.0,75.0,13.0,1.048,0.2588323623019211,0.1296223379167712,0.0182457778643301,0.0249719198447661,0.0668950736257154,0.0237514987651869,0.0186725143559454,0.0163755754594085,0.1960131823376196,0.0184262736087436,0.0251508654525248,0.0176358323156739,0.044142592265395,0.0585554163739816,0.0134669837084528,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,neutral,0.0,1.0,0.0,0,Kịch tính / Da diết
0kSs9JYpJZVHKvkSQYwULG,Lặng Thầm,Noo Phước Thịnh,2010-03-09,Pop,1.0,33.0,negative,200.01,103.36,0.233443,2245.74,-0.2332,10.0651,-4.0693,7.421,-2.435,7.7366,-0.8665,7.9445,-53.3133,93.9374,95.1489,33.7544,-3.7073,18.3683,17.2636,17.1115,0.759,14.1433,8.4695,10.8387,-7.0792,10.7751,-1.4585,9.204,-8.5536,8.3723,0.098739,4761.76,18.09,16.92,20.1,18.91,18.92,18.04,47.2,0.031199,1.3649,3.38,0.977,0.243,0.348,0.4229,0.2658,0.3884,0.2372,0.349,0.211,0.2409,0.4057,0.3134,0.4071,0.242,-0.1203,-0.0184,-0.0786,0.0018,-0.0071,2.4725,121.0,0.686,35.0,43.0,5.0,0.605,0.0360037624744071,0.0146014914637789,0.0023947396643963,0.0038245084510966,0.0116239867947022,0.0028835445819645,0.0029975800262749,0.0024952396589874,0.0432069943325423,0.0028508603749886,0.0031137301033281,0.0022294421972835,0.0055105564248881,0.0059603472291705,0.0017114752298197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative,1.0,0.0,0.0,3,Tươi mới / Yêu đời
