Model,CV_MAE,Test_MAE,Test_RMSE
Voting (RF+XGB+LGBM),11.513303413743278,12.138791002060078,15.03493069800577
Random Forest,11.520359796575988,12.271787580556193,15.254546923983996
XGBoost,11.59760354260409,12.134170576395432,15.000022979440555
LightGBM,11.668848922027752,12.217840491538093,15.093893583498822
SVR (RBF Kernel),11.678503749857198,11.881787579174091,14.715635705165925
Lasso Regression,12.09358121597982,12.931288183133713,16.10542171478973
ElasticNet,12.09358121597982,12.931288183133713,16.10542171478973
KNN Regressor,12.441420524794006,13.064181730790109,16.155345813685834
Huber Regressor,15.517377286704228,12.041243113479085,15.18137531917725
Ridge Regression,15.568344203181738,12.353513031930227,15.51261441981308
Decision Tree,15.802739726027397,15.760600130463144,19.750581089158516
Bayesian Ridge,27.169529181441845,12.38067247132398,15.493917815710004
