number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,best_value_so_far
0,11.523532057208934,2026-04-08 20:52:30.861101,2026-04-08 20:53:33.143546,0 days 00:01:02.282445,39,sqrt,9,15,300,COMPLETE,11.523532057208934
1,11.54693522145931,2026-04-08 20:53:33.164541,2026-04-08 20:54:58.823166,0 days 00:01:25.658625,26,sqrt,1,15,600,COMPLETE,11.523532057208934
2,11.452367845412578,2026-04-08 20:54:58.850902,2026-04-08 20:57:05.585453,0 days 00:02:06.734551,11,,8,7,200,COMPLETE,11.452367845412578
3,11.508205031932066,2026-04-08 20:57:05.682478,2026-04-08 20:58:55.068005,0 days 00:01:49.385527,15,sqrt,7,8,100,COMPLETE,11.452367845412578
4,,2026-04-08 20:58:55.135166,2026-04-08 21:00:54.560526,0 days 00:01:59.425360,6,,3,13,400,FAIL,
5,,2026-04-08 21:00:54.618434,2026-04-08 21:02:20.231289,0 days 00:01:25.612855,15,,11,3,500,FAIL,
6,11.523532057208934,2026-04-08 21:32:35.638662,2026-04-08 21:33:37.028909,0 days 00:01:01.390247,39,sqrt,9,15,300,COMPLETE,11.452367845412578
7,11.54693522145931,2026-04-08 21:33:37.049915,2026-04-08 21:34:41.836381,0 days 00:01:04.786466,26,sqrt,1,15,600,COMPLETE,11.452367845412578
8,11.452367845412578,2026-04-08 21:34:41.858379,2026-04-08 21:35:52.697139,0 days 00:01:10.838760,11,,8,7,200,COMPLETE,11.452367845412578
9,11.508205031932066,2026-04-08 21:35:52.722193,2026-04-08 21:36:46.258054,0 days 00:00:53.535861,15,sqrt,7,8,100,COMPLETE,11.452367845412578
10,11.494729510631192,2026-04-08 21:36:46.279140,2026-04-08 21:38:01.129762,0 days 00:01:14.850622,6,,3,13,400,COMPLETE,11.452367845412578
11,11.458914933605138,2026-04-08 21:38:01.149762,2026-04-08 21:39:33.301458,0 days 00:01:32.151696,15,,11,3,500,COMPLETE,11.452367845412578
12,11.663814607843106,2026-04-08 21:39:33.321345,2026-04-08 21:40:26.172617,0 days 00:00:52.851272,5,log2,14,20,200,COMPLETE,11.452367845412578
13,11.461397192927569,2026-04-08 21:40:26.198616,2026-04-08 21:41:32.134337,0 days 00:01:05.935721,10,,6,4,200,COMPLETE,11.452367845412578
14,11.441449638604011,2026-04-08 21:41:32.154427,2026-04-08 21:42:39.689666,0 days 00:01:07.535239,20,,11,7,200,COMPLETE,11.441449638604011
15,11.452948708051641,2026-04-08 21:42:39.709671,2026-04-08 21:44:01.576099,0 days 00:01:21.866428,21,,13,6,400,COMPLETE,11.441449638604011
16,11.535870808860508,2026-04-08 21:44:01.596441,2026-04-08 21:45:09.377039,0 days 00:01:07.780598,24,log2,11,10,200,COMPLETE,11.441449638604011
17,11.49867162734914,2026-04-08 21:45:09.423044,2026-04-08 21:46:24.175420,0 days 00:01:14.752376,32,,4,2,100,COMPLETE,11.441449638604011
18,11.45133550010444,2026-04-08 21:46:24.197786,2026-04-08 21:48:08.078235,0 days 00:01:43.880449,20,,11,11,300,COMPLETE,11.441449638604011
19,11.446735383061668,2026-04-08 21:48:08.135119,2026-04-08 21:49:42.009902,0 days 00:01:33.874783,20,,12,11,300,COMPLETE,11.441449638604011
20,11.537749930985239,2026-04-08 21:49:42.038168,2026-04-08 21:50:40.594403,0 days 00:00:58.556235,32,log2,15,10,400,COMPLETE,11.441449638604011
21,11.45549166028042,2026-04-08 21:50:40.781842,2026-04-08 21:52:14.234423,0 days 00:01:33.452581,31,,13,20,500,COMPLETE,11.441449638604011
