number,value,datetime_start,datetime_complete,duration,params_init,params_max_iter,params_n_init,params_tol,state,best_value_so_far
0,0.2698465102709762,2026-05-11 16:00:04.659004,2026-05-11 16:00:05.800301,0 days 00:00:01.141297,k-means++,581,25,0.000291063591313307,COMPLETE,0.2698465102709762
1,0.2698807789806743,2026-05-11 16:00:05.801314,2026-05-11 16:00:07.149070,0 days 00:00:01.347756,random,223,16,0.0005399484409787432,COMPLETE,0.2698807789806743
2,0.27061877765253917,2026-05-11 16:00:07.149070,2026-05-11 16:00:08.472642,0 days 00:00:01.323572,k-means++,588,10,0.000462258900102083,COMPLETE,0.27061877765253917
3,0.26978568776895717,2026-05-11 16:00:08.472642,2026-05-11 16:00:09.804094,0 days 00:00:01.331452,k-means++,322,17,0.00011207606211860574,COMPLETE,0.27061877765253917
4,0.26978568776895717,2026-05-11 16:00:09.805600,2026-05-11 16:00:11.450568,0 days 00:00:01.644968,random,255,35,3.8396292998041685e-05,COMPLETE,0.27061877765253917
5,0.26997708075587956,2026-05-11 16:00:11.451566,2026-05-11 16:00:12.953435,0 days 00:00:01.501869,k-means++,280,42,0.00010677482709481354,COMPLETE,0.27061877765253917
6,0.2698068573666308,2026-05-11 16:00:12.954439,2026-05-11 16:00:14.676507,0 days 00:00:01.722068,random,268,34,1.3492834268013232e-05,COMPLETE,0.27061877765253917
7,0.2698068573666308,2026-05-11 16:00:14.677515,2026-05-11 16:00:16.106608,0 days 00:00:01.429093,k-means++,322,43,1.5679933916722995e-05,COMPLETE,0.27061877765253917
8,0.2698068573666308,2026-05-11 16:00:16.108255,2026-05-11 16:00:17.240511,0 days 00:00:01.132256,k-means++,398,15,1.1715937392307055e-05,COMPLETE,0.27061877765253917
9,0.26997708075587956,2026-05-11 16:00:17.241526,2026-05-11 16:00:18.443673,0 days 00:00:01.202147,k-means++,324,37,0.00010968217207529509,COMPLETE,0.27061877765253917
10,0.27168156116147874,2026-05-11 16:00:18.444664,2026-05-11 16:00:19.537396,0 days 00:00:01.092732,random,574,10,0.0008691089486124963,COMPLETE,0.27168156116147874
11,0.27168156116147874,2026-05-11 16:00:19.538319,2026-05-11 16:00:20.651525,0 days 00:00:01.113206,random,563,10,0.0009423326114108491,COMPLETE,0.27168156116147874
12,0.27168156116147874,2026-05-11 16:00:20.653525,2026-05-11 16:00:21.989705,0 days 00:00:01.336180,random,517,23,0.0009810500689528938,COMPLETE,0.27168156116147874
13,0.27168156116147874,2026-05-11 16:00:21.990614,2026-05-11 16:00:23.256281,0 days 00:00:01.265667,random,497,10,0.0009727738417805854,COMPLETE,0.27168156116147874
14,0.2699563169264685,2026-05-11 16:00:23.257294,2026-05-11 16:00:24.436467,0 days 00:00:01.179173,random,496,23,0.0002528968415699024,COMPLETE,0.27168156116147874
15,0.2699563169264685,2026-05-11 16:00:24.437471,2026-05-11 16:00:25.560881,0 days 00:00:01.123410,random,435,19,0.0002450225281899213,COMPLETE,0.27168156116147874
16,0.2698807789806743,2026-05-11 16:00:25.561882,2026-05-11 16:00:26.777528,0 days 00:00:01.215646,random,545,29,0.000507525078790444,COMPLETE,0.27168156116147874
17,0.2698068573666308,2026-05-11 16:00:26.778628,2026-05-11 16:00:28.292678,0 days 00:00:01.514050,random,436,49,4.002392605016865e-05,COMPLETE,0.27168156116147874
18,0.2698807789806743,2026-05-11 16:00:28.293674,2026-05-11 16:00:29.436503,0 days 00:00:01.142829,random,600,12,0.0006732534117889709,COMPLETE,0.27168156116147874
19,0.2698916606380926,2026-05-11 16:00:29.437530,2026-05-11 16:00:30.753494,0 days 00:00:01.315964,random,544,20,0.00019532718896499884,COMPLETE,0.27168156116147874
