number,value,datetime_start,datetime_complete,duration,params_max_iter,params_tol,state,best_value_so_far
0,0.16696793307281232,2026-05-11 15:25:29.807054,2026-05-11 15:25:31.327472,0 days 00:00:01.520418,350,0.0007969454818643932,COMPLETE,0.16696793307281232
1,0.16698727976173355,2026-05-11 15:25:31.328492,2026-05-11 15:25:33.407781,0 days 00:00:02.079289,493,0.00015751320499779721,COMPLETE,0.16698727976173355
2,0.16698727976173355,2026-05-11 15:25:33.412784,2026-05-11 15:25:35.274260,0 days 00:00:01.861476,262,2.0511104188433963e-05,COMPLETE,0.16698727976173355
3,0.16687757935223343,2026-05-11 15:25:35.275150,2026-05-11 15:25:36.618529,0 days 00:00:01.343379,223,0.0005399484409787432,COMPLETE,0.16698727976173355
4,0.1670008029517663,2026-05-11 15:25:36.620042,2026-05-11 15:25:38.209189,0 days 00:00:01.589147,441,0.0002607024758370766,COMPLETE,0.1670008029517663
5,0.16696793307281232,2026-05-11 15:25:38.209189,2026-05-11 15:25:39.414628,0 days 00:00:01.205439,208,0.0008706020878304854,COMPLETE,0.1670008029517663
6,0.16698727976173355,2026-05-11 15:25:39.415624,2026-05-11 15:25:40.526148,0 days 00:00:01.110524,533,2.6587543983272695e-05,COMPLETE,0.1670008029517663
7,0.16698727976173355,2026-05-11 15:25:40.527152,2026-05-11 15:25:41.616716,0 days 00:00:01.089564,272,2.3270677083837777e-05,COMPLETE,0.1670008029517663
8,0.16698727976173355,2026-05-11 15:25:41.617712,2026-05-11 15:25:42.666882,0 days 00:00:01.049170,322,0.00011207606211860574,COMPLETE,0.1670008029517663
9,0.16698727976173355,2026-05-11 15:25:42.667882,2026-05-11 15:25:43.713080,0 days 00:00:01.045198,373,3.8234752246751835e-05,COMPLETE,0.1670008029517663
10,0.1670008029517663,2026-05-11 15:25:43.714081,2026-05-11 15:25:44.757840,0 days 00:00:01.043759,454,0.000271820332022263,COMPLETE,0.1670008029517663
11,0.1670008029517663,2026-05-11 15:25:44.758839,2026-05-11 15:25:45.781859,0 days 00:00:01.023020,438,0.0002762526173913923,COMPLETE,0.1670008029517663
12,0.1670008029517663,2026-05-11 15:25:45.782869,2026-05-11 15:25:46.820953,0 days 00:00:01.038084,446,0.00029268245473084196,COMPLETE,0.1670008029517663
13,0.16698727976173355,2026-05-11 15:25:46.822917,2026-05-11 15:25:48.048231,0 days 00:00:01.225314,579,6.094046787183484e-05,COMPLETE,0.1670008029517663
14,0.1670139524065617,2026-05-11 15:25:48.050245,2026-05-11 15:25:49.271684,0 days 00:00:01.221439,428,1.0625600049713467e-05,COMPLETE,0.1670139524065617
15,0.1670139524065617,2026-05-11 15:25:49.272674,2026-05-11 15:25:50.519797,0 days 00:00:01.247123,405,1.0823970787200506e-05,COMPLETE,0.1670139524065617
16,0.1670139524065617,2026-05-11 15:25:50.520797,2026-05-11 15:25:52.033501,0 days 00:00:01.512704,393,1.1655048406194076e-05,COMPLETE,0.1670139524065617
17,0.1670139524065617,2026-05-11 15:25:52.034501,2026-05-11 15:25:53.275512,0 days 00:00:01.241011,315,1.096593743269287e-05,COMPLETE,0.1670139524065617
18,0.16698727976173355,2026-05-11 15:25:53.276404,2026-05-11 15:25:54.462560,0 days 00:00:01.186156,497,5.373479764538613e-05,COMPLETE,0.1670139524065617
19,0.1670139524065617,2026-05-11 15:25:54.463563,2026-05-11 15:25:55.536037,0 days 00:00:01.072474,405,1.5184688546790174e-05,COMPLETE,0.1670139524065617
