number,value,datetime_start,datetime_complete,duration,params_n_neighbors,state,best_value_so_far
0,0.2353251931202291,2026-05-11 15:56:46.317595,2026-05-11 15:56:50.482479,0 days 00:00:04.164884,12,COMPLETE,0.2353251931202291
1,0.2319371077160973,2026-05-11 15:56:50.483452,2026-05-11 15:56:55.646513,0 days 00:00:05.163061,24,COMPLETE,0.2353251931202291
2,0.23204057454710095,2026-05-11 15:56:55.647517,2026-05-11 15:57:00.161876,0 days 00:00:04.514359,20,COMPLETE,0.2353251931202291
3,0.2329614825213003,2026-05-11 15:57:00.162882,2026-05-11 15:57:04.632970,0 days 00:00:04.470088,17,COMPLETE,0.2353251931202291
4,0.23279242311910334,2026-05-11 15:57:04.634523,2026-05-11 15:57:07.928563,0 days 00:00:03.294040,8,COMPLETE,0.2353251931202291
5,0.23279242311910334,2026-05-11 15:57:07.929741,2026-05-11 15:57:11.328930,0 days 00:00:03.399189,8,COMPLETE,0.2353251931202291
6,0.23351551440251841,2026-05-11 15:57:11.329952,2026-05-11 15:57:14.582389,0 days 00:00:03.252437,6,COMPLETE,0.2353251931202291
7,0.2318116412588714,2026-05-11 15:57:14.582389,2026-05-11 15:57:19.851467,0 days 00:00:05.269078,23,COMPLETE,0.2353251931202291
8,0.2329614825213003,2026-05-11 15:57:19.852458,2026-05-11 15:57:25.135832,0 days 00:00:05.283374,17,COMPLETE,0.2353251931202291
9,0.2318987859154029,2026-05-11 15:57:25.136880,2026-05-11 15:57:31.022433,0 days 00:00:05.885553,19,COMPLETE,0.2353251931202291
10,0.2353251931202291,2026-05-11 15:57:31.024549,2026-05-11 15:57:36.179553,0 days 00:00:05.155004,12,COMPLETE,0.2353251931202291
11,0.2353251931202291,2026-05-11 15:57:36.179553,2026-05-11 15:57:40.970422,0 days 00:00:04.790869,12,COMPLETE,0.2353251931202291
12,0.2353251931202291,2026-05-11 15:57:40.971469,2026-05-11 15:57:46.754242,0 days 00:00:05.782773,12,COMPLETE,0.2353251931202291
13,0.23449984738158305,2026-05-11 15:57:46.754242,2026-05-11 15:57:51.394537,0 days 00:00:04.640295,13,COMPLETE,0.2353251931202291
14,0.23454394765311515,2026-05-11 15:57:51.394537,2026-05-11 15:57:54.954445,0 days 00:00:03.559908,10,COMPLETE,0.2353251931202291
15,0.23253459728898815,2026-05-11 15:57:54.954445,2026-05-11 15:57:59.963630,0 days 00:00:05.009185,15,COMPLETE,0.2353251931202291
16,-1.0,2026-05-11 15:57:59.964628,2026-05-11 15:58:02.148324,0 days 00:00:02.183696,5,COMPLETE,0.2353251931202291
17,0.23253459728898815,2026-05-11 15:58:02.148324,2026-05-11 15:58:06.396418,0 days 00:00:04.248094,15,COMPLETE,0.2353251931202291
18,0.23454394765311515,2026-05-11 15:58:06.396418,2026-05-11 15:58:10.437287,0 days 00:00:04.040869,10,COMPLETE,0.2353251931202291
19,0.23454394765311515,2026-05-11 15:58:10.438289,2026-05-11 15:58:14.213125,0 days 00:00:03.774836,10,COMPLETE,0.2353251931202291
