Model,CV_F1_Macro,Test_Accuracy,Test_F1_Macro,Test_F1_Weighted
Random Forest,0.5253035568543408,0.644487932159165,0.5517338881767923,0.6553660685701248
Voting (LGBM+RF+XGB) Soft Voting,0.5123613840696064,0.639269406392694,0.5530025187473894,0.6543126378009616
AdaBoost,0.5101589860946081,0.6112198303979126,0.5096278548348098,0.6215730500476702
Extra Trees,0.5098258160059064,0.6386170906718852,0.548902197014716,0.648967181887534
Gradient Boosting,0.5059522330104709,0.6438356164383562,0.5526855046336271,0.6580980039958485
XGBoost,0.5039144266691337,0.6079582517938682,0.526032788594365,0.627827761106467
LightGBM,0.5034664993248994,0.6190476190476191,0.5384821369685461,0.6371517014229322
Logistic Regression,0.47128381054647706,0.6001304631441617,0.5159666163140125,0.6142807648955948
SVM,0.46852747713714793,0.6014350945857795,0.5156009906776274,0.6129794443698874
MLP (Neural Net),0.42178862063305633,0.4977168949771689,0.438002829869743,0.5273934068621011
