Model,CV_F1_Micro,CV_F1_Macro,Test_F1_Micro,Test_F1_Macro,Hamming_Loss,Jaccard_Samples
AdaBoost,0.6641598080749709,0.6785362765743758,0.6597633136094675,0.6777855666115814,0.337573385518591,0.5234290063057186
Logistic Regression,0.6257084914636367,0.6426725783803418,0.6295857988165681,0.6578100968423594,0.3573059360730594,0.4877690802348337
SVM,0.6223974620741479,0.6390904062124761,0.6213221245701185,0.6454577555510694,0.32322243966079583,0.501032833224614
MLP (Neural Net),0.6051767523252278,0.6274239141185607,0.6168898043254377,0.6496801016861427,0.3639921722113503,0.47352685366383995
Gradient Boosting,0.5898922063408667,0.6161103770963832,0.5939637826961771,0.6315501659387142,0.3290932811480757,0.4774951076320939
HistGradientBoosting,0.568215943315991,0.595652986626591,0.5736202855316429,0.6138587511000115,0.32632093933463796,0.46042617960426174
XGBoost,0.5590109366033017,0.586115351691051,0.5453748355984217,0.5885529003855929,0.3382257012393999,0.43270276146988473
LightGBM,0.5440020612069736,0.5705017154812361,0.533244087460955,0.5770771584729395,0.3411611219830398,0.42183083278973693
Random Forest,0.4373127946491713,0.42150123120752064,0.416269143861411,0.41805169458899005,0.37915851272015655,0.31033920417482064
Extra Trees,0.4031682102260411,0.36606515497277997,0.38676318510858326,0.3690998836117009,0.3868232224396608,0.28326810176125244
