title,artists,Length_minutes,Tempo,Energy,Danceability,Happiness,Acousticness,Instrumentalness,Liveness,Speechiness,Loudness
"(từng là) boyfriend, girlfriend",min,4.05,117.5,53.9,14.5,20.3,84.6,83.2,24.6,86.8,-14.53
10 mất 1 còn không,lê gia bảo,4.84,172.3,38.7,21.1,19.4,94.8,92.6,22.3,83.5,-18.32
10 ngàn năm,pc,4.0,123.0,48.8,16.8,18.3,77.9,78.4,23.2,84.8,-16.74
1000 ánh mắt,shiki,2.53,143.6,56.5,23.5,21.1,89.6,86.0,25.3,88.0,-15.32
2am,justatee,4.3,129.2,54.7,12.1,24.8,63.5,74.5,34.0,100.0,-15.45
3 1 0 7,w/n,3.87,123.0,51.6,7.1,18.7,89.6,90.9,20.9,81.4,-15.82
3 bích,pháp kiều,3.8,143.6,73.1,6.4,26.9,77.8,78.0,14.8,72.2,-14.1
ám ảnh về anh,phùng khánh linh,3.1,136.0,57.4,10.1,23.0,90.8,90.2,13.5,70.2,-16.77
âm thầm bên em,sơn tùng m-tp,,,,,,,,,,
an thần,low g,,,,,,,,,,
anh đã không biết cách yêu em,quang đăng trần,,,,,,,,,,
anh đã ổn hơn,rpt mck,,,,,,,,,,
anh đã quen với cô đơn,soobin,,,,,,,,,,
anh là thằng tồi,phùng khánh linh,,,,,,,,,,
anh lại say rồi,phan duy anh,,,,,,,,,,
anh muốn nhìn thấy em,the wind,,,,,,,,,,
anh nhớ ra,vũ.,,,,,,,,,,
anh thua anh ta,gia huy singer,,,,,,,,,,
anh thua người ta nhiều lắm,nb3 hoài bảo,,,,,,,,,,
ánh trăng giả dối,quốc thiên,,,,,,,,,,
anh vui,phạm kỳ,,,,,,,,,,
ảo ảnh,anh trai say hi,,,,,,,,,,
bắc thang lên hỏi ông trời,em xinh say hi,,,,,,,,,,
bạn đời,karik,,,,,,,,,,
bao tiền một mớ bình yên?,14 casper,,,,,,,,,,
bắt con bướm vàng,danhka,,,,,,,,,,
bầu trời mới,da lab,,,,,,,,,,
bình yên,vũ.,,,,,,,,,,
bông hoa đẹp nhất,quân a.p,,,,,,,,,,
bóng tối yêu đời,lyhan,,,,,,,,,,
bước qua mùa cô đơn,vũ.,,,,,,,,,,
buồn thật đấy,sofia,,,,,,,,,,
buông đôi tay nhau ra,sơn tùng m-tp,,,,,,,,,,
cạn dòng ướt mi,dee trần,,,,,,,,,,
canh bạc hôn nhân,lala trần,,,,,,,,,,
chăm hoa,mono,,,,,,,,,,
chằn tinh,lyhan,,,,,,,,,,
chẳng nợ ai ngoài em,lê gia bảo,,,,,,,,,,
chẳng phải tình đầu sao đau đến thế,min,,,,,,,,,,
chẳng thể cảm hóa,lương quý tuấn,,,,,,,,,,
chế độ im lặng,min,,,,,,,,,,
chỉ anh làm em khóc,đàm vĩnh hưng,,,,,,,,,,
chí phèo,đinh tiến đạt mr dee,,,,,,,,,,
chill guys ngon zai,anh trai say hi,,,,,,,,,,
chim hót bên trong lâu đài,lyhan,,,,,,,,,,
chìm sâu,rpt mck,,,,,,,,,,
chịu cách mình nói thua,rhyder,,,,,,,,,,
chờ bao lâu,út nhị mino,,,,,,,,,,
cho tôi lang thang,ngọt,,,,,,,,,,
chúc phúc,pialinh,,,,,,,,,,
chúng ta của hiện tại,sơn tùng m-tp,,,,,,,,,,
chuyện đôi ta,emcee l,,,,,,,,,,
có còn yêu em,nguyễn kiều oanh,,,,,,,,,,
có đôi điều,shiki,,,,,,,,,,
có em,madihu,,,,,,,,,,
có em là nhà,min,,,,,,,,,,
cơ hội cuối,an vũ,,,,,,,,,,
cơ hội cuối (rock version),an vũ,,,,,,,,,,
có mình và ta,nguyễn vĩ,,,,,,,,,,
cờ người,phùng khánh linh,,,,,,,,,,
còn gì đẹp hơn (mưa đỏ original soundtrack),nguyễn hùng,,,,,,,,,,
cơn mưa cuối,justatee,,,,,,,,,,
