artist_id,artist_name,total_followers,popularity,genres,spotify_url,image_url
4wZ6awunqaaVLl5j0WpDFu,"ANH TRAI ""SAY HI""",1273127,70,"v-pop, vietnamese hip hop",https://open.spotify.com/artist/4wZ6awunqaaVLl5j0WpDFu,https://i.scdn.co/image/ab6761610000e5eb6f1640bbb255a2921955ec7f
5dfZ5uSmzR7VQK0udbAVpf,Sơn Tùng M-TP,7610913,67,"v-pop, vinahouse, vietnamese hip hop",https://open.spotify.com/artist/5dfZ5uSmzR7VQK0udbAVpf,https://i.scdn.co/image/ab6761610000e5eb5a79a6ca8c60e4ec1440be53
7Cp2hGcriAaDUAWpXnSEwm,buitruonglinh,913414,67,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",https://open.spotify.com/artist/7Cp2hGcriAaDUAWpXnSEwm,https://i.scdn.co/image/ab6761610000e5eb9adfc46417bb7d546b4ab3dd
5HZtdKfC4xU0wvhEyYDWiY,HIEUTHUHAI,2587476,66,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",https://open.spotify.com/artist/5HZtdKfC4xU0wvhEyYDWiY,https://i.scdn.co/image/ab6761610000e5eb21942907035a43a2d118c55c
5xY6E5PMZNtz9jDvxTRiGI,Dangrangto,498014,66,"vietnamese hip hop, v-pop",https://open.spotify.com/artist/5xY6E5PMZNtz9jDvxTRiGI,https://i.scdn.co/image/ab6761610000e5eb5b09f4c3eeb52b57f76dccbc
6CGGvCBHWqQ4HXtn5aLhbh,SOOBIN,1295395,66,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",https://open.spotify.com/artist/6CGGvCBHWqQ4HXtn5aLhbh,https://i.scdn.co/image/ab6761610000e5eb30db194110c51d9e7fd3c7e7
6TITnFVRcl0AcZ4syE7Toe,Low G,1860011,65,"vietnamese hip hop, v-pop, vietnam indie",https://open.spotify.com/artist/6TITnFVRcl0AcZ4syE7Toe,https://i.scdn.co/image/ab6761610000e5eb372c097eb7bbf1cbf8f9ed4d
3diftVOq7aEIebXKkC34oR,tlinh,1808641,65,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",https://open.spotify.com/artist/3diftVOq7aEIebXKkC34oR,https://i.scdn.co/image/ab6761610000e5eb230e62752ca87da1d85d0445
1WvNgEoB66jmHodcj15Zi9,B Ray,1311337,65,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",https://open.spotify.com/artist/1WvNgEoB66jmHodcj15Zi9,https://i.scdn.co/image/ab6761610000e5eb69b0142434aee6cd70a581bc
57g2v7gJZepcwsuwssIfZs,Vũ.,2734210,65,"v-pop, vietnam indie, vietnamese lo-fi",https://open.spotify.com/artist/57g2v7gJZepcwsuwssIfZs,https://i.scdn.co/image/ab6761610000e5eb2d7150aa7e90e9a85610ab3d
4KPyQxL1zqEiBcTwW6c9HE,Dương Domic,751013,64,"v-pop, vietnamese hip hop",https://open.spotify.com/artist/4KPyQxL1zqEiBcTwW6c9HE,https://i.scdn.co/image/ab6761610000e5eb352d5672d70464e67c3ae963
1Jmkhzve9TuXHUUWGmpANw,Wxrdie,739027,63,"vietnamese hip hop, v-pop",https://open.spotify.com/artist/1Jmkhzve9TuXHUUWGmpANw,https://i.scdn.co/image/ab6761610000e5ebf7ac790a43867c10ef8a7d29
1I5CkmtLVWLUygTT3cLr5X,"EM XINH ""SAY HI""",241187,63,v-pop,https://open.spotify.com/artist/1I5CkmtLVWLUygTT3cLr5X,https://i.scdn.co/image/ab6761610000e5eb6f627123ba2c74ec534c85f7
1W2pigH6UYwuTuFbwoSfVZ,RHYDER,762860,63,"v-pop, vietnamese hip hop",https://open.spotify.com/artist/1W2pigH6UYwuTuFbwoSfVZ,https://i.scdn.co/image/ab6761610000e5eb3a413ecb08d6a5b0a496d3c0
0IdAjS2LRieBR3gzoazdAw,MIN,1116732,63,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",https://open.spotify.com/artist/0IdAjS2LRieBR3gzoazdAw,https://i.scdn.co/image/ab6761610000e5eb7a2969bce359f6c1a39b26a8
3rjcQ5VIWCN4q7UFetzdeO,JustaTee,1262417,63,"v-pop, vietnamese hip hop, vietnam indie",https://open.spotify.com/artist/3rjcQ5VIWCN4q7UFetzdeO,https://i.scdn.co/image/ab6761610000e5eb32ef88cff38b5ff46fa0004a
4fg8aMZ23d2bxKz7r2vt9v,Negav,401955,63,"v-pop, vietnamese hip hop, vietnam indie",https://open.spotify.com/artist/4fg8aMZ23d2bxKz7r2vt9v,https://i.scdn.co/image/ab6761610000e5eb425c4e3964f7fd024842ec76
