artist_id,artist_name,genres,followers,popularity
001OedRF8lGo3og3aHDTy6,Thai Trinh,"v-pop, vietnam indie, vietnamese lo-fi",8430,22
006RBJU7ScwRg9eouP4kJw,NICKY,"v-pop, vietnam indie",82786,46
009ClVlsLYwmu9ohcC0SeV,Guen,"vietnam indie, v-pop",3511,30
01WAgDamuRnJyTMnRXbSfB,2Hoang,"vietnamese hip hop, v-pop",101,3
033tY0EKEVdDtzoeEMMCJC,Phạm Quỳnh Anh,v-pop,51941,35
03A7qa4lY7tRu54wSu5FMt,Mee Media,"vinahouse, v-pop",73462,45
03RW9nhAyt03K42HHHLuus,Đĩa Than Hồng,v-pop,26045,7
03UysjOtanYHmkx6pRiPWr,Andy Vu,v-pop,405,4
04MnOKOdhBexWQZC0kvCva,Trung Ngon,"vinahouse, v-pop, vietnamese lo-fi",1500,29
04xz9bIBYTIqEpmRvQkfvu,Tyronee,"v-pop, vietnam indie, vietnamese hip hop",18828,59
04ZLXX1T9Xg9YYqDRTe8k7,Nuilillaw,v-pop,469,25
05ORC2RS6P2qeGCYLvaApv,Lê Thu Thảo,"vinahouse, v-pop",617,30
05qvgW4tgMM2me9GynXvPw,LDleKING,"vietnamese hip hop, vietnam indie",1954,12
05xxXziuRhVsmlSjTD4Soh,Kuun Đức Nam,"v-pop, vietnam indie",23896,39
063N27mzFn4rYsaFwUsRgc,THIÊN ĐÌNH,"vinahouse, v-pop",1703,43
06poxdxQLKoN1WqCvk4qcP,Thái Lê Minh Hiếu,v-pop,922,42
06SicyiJaPtTdRWR015ZKw,Saka Trương Tuyền,"vinahouse, vietnamese bolero, v-pop",34166,27
06WYvcUpN39UAIcPuvjske,Thanh Huyy,"vinahouse, v-pop",228,28
07esLKVnemAsxNGcChy09y,INC 3Fe,"new wave, melodic rap, v-pop",479,19
07vl3No6oFpi7pBu6OZv4v,Billis,"v-pop, vietnam indie",1641,32
08oVk6zBKzkq6k9kn7SLAb,ShanHao,"vietnamese hip hop, v-pop",343,11
08xn7sYY4KworP8Vc3GoiU,Orinn,"vinahouse, vietnamese lo-fi, v-pop, lo-fi",596877,54
09TbfG9329V26zqpb7IQT5,Xuân Nghi,"vietnamese hip hop, vietnam indie, v-pop",15317,30
0ABztwl5ApqMZOllFyaCmP,Youngboi Heily,"vietnamese hip hop, v-pop",3204,31
0aDZC2CPSqgpZwzqrh0DeF,Giang Nguyễn,"v-pop, vietnam indie, vietnamese hip hop",423,32
0agWx6vy0Ss4FGafO8bEYc,Ánh Sáng AZA,v-pop,58294,47
0ANqYDzdblLKjBoTvasVJg,Lê Ngọc Thúy,"vietnamese bolero, bolero",1383,13
0aNyWetkjBvIdZvJY00yEa,Phan Mạnh Quỳnh,"v-pop",1218130,53
0AOAMHZgHaxM71om8IDGsv,Nguyễn Trung Đức,"v-pop, vietnam indie",3123,48
0b68vXEHFuQP71O9FOESra,Huy Vạc,"vinahouse, v-pop, vietnamese lo-fi",42221,45
0bumIz1y6b6OurYMtWZukb,Châu Tuyết Vân,v-pop,364,25
0cAcRTWMSeuezcHpxInChD,BeepBeepChild,"vietnamese hip hop, v-pop, vietnam indie",622,15
0cf0oidLIQoNhGTp0SHzhU,Việt Anh,"vinahouse, v-pop",16711,47
0CkuQCslREF7yuvAqJXVuz,Sáo,"v-pop, vietnam indie",19517,32
0CO1IZAPmgTbkfXvcRCLsL,BAN,"v-pop, vietnamese hip hop, vinahouse",90237,46
0cpYo9q95ayGdAK8IJ3O8N,Linh Chi,vinahouse,225,5
0crvrM34uGoPas0sO0uhJu,Lê Minh Trung,"vietnamese bolero, bolero",2817,19
0CxhbfVo6mRgS62NoBkAMT,Yến Ngọc,bolero,49,0
0DALWve1lANb1zn6i0hy8s,Nguyễn Duyên Quỳnh,"v-pop, vinahouse",2104,27
0dBcEvEklr1jx4uZuhFX5e,Ronboogz,"v-pop, vietnamese hip hop, vietnam indie",499819,58
0DL9VpY3UsZWQyDOO5Ej2o,Lemese,"v-pop, vietnam indie, vietnamese lo-fi",23014,38
0DLHQZXRt87szUIYk1QRFq,T.A.P Entertainment (Producer T.A),"vinahouse, v-pop",59,17
0DmCrJIkZpp9ef4c23Msly,Bùi Dương Thái Hà,v-pop,73,4
0dOyZaptbuMapmkLoV8PVd,Ngọc Phước,v-pop,469,26
0e1ztmyg5j6MNeyDmr5nFX,Thiên Tài,"vinahouse, v-pop",544,42
0EEcEHFjh4q0m1Dif55qIB,XOLITXO,"vietnamese hip hop, v-pop, vietnam indie",5078,27
0EfEWOpWEbf6WP8rsQMSDM,Phúc Nguyên,v-pop,2881,43
0eM9FVpbKx2ZvUOWDHXbUO,BB Trần,v-pop,2386,37
0EOMdQwzUG6CKh9oWvcANr,Lăng LD,"vietnamese hip hop, v-pop",36812,44
0Et0kTQ4C6nJOJ0sJKXJmL,XHTĐRLX,v-pop,14,1
0f14R2JMVOQsRuxCc4CIPf,Hồ Minh Đương,bolero,834,7
0F1rSmrNT6sp3LYohgYKsT,Hải Đăng Doo,v-pop,117405,47
0F9QjQY6Sq6cxN4n8fmvBn,Tân Trần,"vietnamese lo-fi, vinahouse, v-pop, vietnam indie, lo-fi",1800,25
0FflNqUFk4ODtAZuVuqgou,Nguyenn,v-pop,36234,43
0FGIOjX91Nnaq4ENBkXBxH,Phương Anh Idol,v-pop,196,3
0FqdaYWdo1r4esDdZ4wA8n,NP.2,"vinahouse, v-pop",1510,18
0FvZX3MHDrlAAnf15FgBkA,Richie D. ICY,"vietnamese hip hop, v-pop",34813,44
0gbeh1a6jor3A3vyJFVJxm,Hồng Ngọc,"v-pop, vietnamese bolero",7834,27
0gC4SsEIzJB5rTRWSZ3sj3,24 Bit Records,vinahouse,16,5
0Gdbr9myXctE3u0jKahkFo,Chuột Sấm Sét,"vietnam indie, v-pop",20288,26
0gGd4WhPXBSgDX6fdOHcOw,Rhymastic,"v-pop, vietnamese hip hop",795630,56
0Gp028APVCnVO9Au7qcMQK,Lil Enzo,vietnamese hip hop,338,8
0Gr3bRnYGIx2xHO853bo3V,Wheelie,"vinahouse, vietnamese hip hop, v-pop",1373,19
0gsKMaZgIDuvSSlXR1IJKd,Drixen,vietnam indie,324,11
0gsqfuR0OFF5SSai7lsPrj,Drum7,"v-pop, vietnamese hip hop, vinahouse",19920,42
0gyjtTN7dfUe59UT0a0fKR,Tuann,"vietnamese hip hop, v-pop, vietnam indie",692,48
0h1t3bX5OgIk0VtZOkQIWA,Ryn Lee,v-pop,6912,44
0hAwpZIS6AwuTGkkIBMWZB,tuấn việt,v-pop,54,1
0HhRjPFqN1sqrUpJA7NuDe,TUYEN VO,"vietnamese hip hop, v-pop",1008,35
0HjNcRzFHIoXQ8gSoWuluC,Đoan Trang,v-pop,1126,12
0HkuKQC3KrDbCAYUzT2dIp,ZuongZero Ent,"vinahouse, v-pop",503,14
0HqNIZwtUtRM5FEuXrdZWf,Wang An Nan,"v-pop, vietnam indie, vietnamese hip hop",1121,28
0hUr8xEtATxbq2OTiJFAP0,24k.Right,"vietnamese hip hop, v-pop",261147,55
0HwjyFCRtowzu4nRwln3gj,Hoàng Khang,"vinahouse, v-pop",1046,15
0hWPa5etsuzHraxEq4xt6U,Hà Lê,"v-pop, vietnam indie, vietnamese hip hop",13504,39
0Hxo49G2Y9jzrRGqQeok1m,Vinh Khuat,"vietnam indie, v-pop, vietnamese hip hop",25314,31
0hy8mfXxfD8kQ6MRQkDVrn,itsnk,"v-pop, vietnam indie, vietnamese hip hop",33401,57
0i5YOCQqYC28mLNJTB5tGx,Lê Thu Hà,"vietnamese bolero, v-pop",121,9
0I6jb4RjMkF84T2e5VsjlG,Dani D,"v-pop, vietnam indie",1932,31
0IBUlucigx80io4qV5fQ34,An Vũ,"v-pop, vinahouse, vietnamese lo-fi",57882,43
0IdAjS2LRieBR3gzoazdAw,MIN,"v-pop",1171285,60
0iiKTHOQ52q6AE8KaglyyV,Đỗ Hiếu,v-pop,349,6
0ikTu85gQdXHbyBhqPnn3Z,Xuân Phú,"bolero, v-pop",3389,5
0IMvyEWySP665zddlejaSm,Quang Vinh,v-pop,54738,35
0iqum9KAHh3LkgDhuqvTxM,Song Luân,"v-pop, vinahouse",106978,44
0iryGC3USpWG5jDEN4FlCR,Vlary,"v-pop, vietnamese hip hop",2702,22
0iyMn5y6Y5p4E8Okh9ciHg,Mimetals,vietnam indie,2436,17
0J19G5YWN6tlNJgP2sRkKd,J.ADE,"v-pop, vietnam indie",4498,33
0jF7Zlz8P5p74zcH7YwcMU,Anh Quân Idol,"vinahouse, vietnamese lo-fi, v-pop",74365,48
0JggLWdYe1p6oHZoHpyPSD,Blacka,"vietnamese hip hop, v-pop, vietnam indie",23423,36
0JiW3QUXOM2tKRRz3vxTan,Xanh 8+1,vietnam indie,5562,7
0K7K6pYpNBSlzeDx9vPVMB,Minh Hang,v-pop,11443,35
0kCHO9VgH0daADoU4bCrfF,Võ Phương Thủy,v-pop,9,11
0KQIBlBvD0i48NL3kigXIA,Hào JK,"vinahouse, v-pop",519,25
0kQJGNzgog5Y2D4m7zTRxD,GiunDra,v-pop,50,8
0kRs5H8JQHkHMQwBg7BgPv,SWAN,v-pop,4987,41
0KWdVd7ZYhtlm0CLHIFBya,Bằng Kiều,"vietnamese bolero, v-pop, bolero",451747,44
0l3YAI1xmZKCZBzduST5ft,Thùy Chi,"v-pop",551637,43
0l9gyu1WOgCfMDrpnwA7et,Đặng Thái Bình,"v-pop, vietnamese hip hop",4754,25
0LIZC1GStlO5tEEYC0cB1e,Hast,"v-pop, vietnam indie",6014,38
0Lw08GV4evPKSZnPJKUefT,Dacia,"vietnamese hip hop, v-pop",1004,15
0LzKYyu8mwHXfMih4lnMXY,Pay,"v-pop, vietnam indie",11232,40
0MDeZ8vIkpFX3QkvY0el6B,Duy Mạnh,"v-pop, vietnamese bolero, vinahouse",123266,37
0mDoUba96VCtvihkndNxpU,VY Jacko,"vietnamese hip hop, v-pop, vietnam indie",477,7
0MMvhtfFn1izZ6EeSSPBQW,VoVanDuc,"vietnamese hip hop, vietnam indie, vietnamese lo-fi, v-pop",9543,32
0MNKLsBMKa5KGShgrWgE3B,Cheng,"v-pop, vietnamese hip hop, vinahouse",3122,28
0MSThXXAv51swAKUOuZg8A,Trương Thảo Nhi,"vietnamese lo-fi, v-pop",4377,31
0n5wPsNoNc7w1bElyNzY4Z,CONGB,v-pop,41187,52
0N6HV62prScKXpkfy97S2Q,Thiều Bảo Trang,v-pop,284,4
0n9PLnVvJELlNf5Lkk7vQ5,Lê Thành Trung,vinahouse,88,17
0nI8L7XAhsuamaOgUAaRsA,Quavic,"vietnamese hip hop, v-pop",158,15
0NPrS1NOx6rxhDZ4ujNDB7,Nguyễn Hải Phong,v-pop,3719,31
0NQ3N57MEr4xVh9MrBz2dM,Layla,v-pop,17,4
0Nru2xZlOHoIRwpLZO785D,Ran,v-pop,1478,26
0nyDEI18MiJfAIDLam8scz,Biên,"vietnamese hip hop, v-pop",475,35
0o3J7OHDa35b6AY7Ivj5j7,Muộii,v-pop,59258,43
0obXkAXG0Ivhjj6TK6QZfd,Sofia,"v-pop",18194,36
0ocO9wD6nzLDn1HCwTmioM,Joka3iz,vietnamese hip hop,682,6
0OECMkZp1koXqQLQrMizHb,Vicky Nhung,"vinahouse, vietnamese lo-fi, v-pop",68507,40
0Ok2WXF4QmV02a0k6nijST,Karrot,"vietnamese lo-fi, vietnam indie, lo-fi",4601,24
0OLukfVDKFAHm9QsOIj3gU,Tâm Phúc,vietnam indie,11,4
0oRmS4Q2x8CZdvwbdLRLuM,D'CEE,"v-pop, vietnam indie",1369,14
0ossMcioC6nqOMgL9U7pzC,Genta Huynh Ayun,v-pop,17,5
0oSTg7YmupI6V3mU9bwtBa,Nguyễn Phước Hoàn,v-pop,104,2
0OzWJ833Wac4o3SAh38s7i,Xám,"vietnam indie, vietnamese hip hop, v-pop, vinahouse",25603,41
0PMKIhcS7nvrPJRo1TTFDT,Lâm Phúc,v-pop,1825,25
0pOtP6jMG4IXacNYJIGTAe,Bảo Yến,"vietnamese bolero, bolero",42066,24
0PpU7wmAVhHZWsJBVGKjh4,T-Akayz,v-pop,41,9
0PsYNWoA9eUOHO4VUOSp8F,AK49,"vietnamese hip hop, v-pop, vietnam indie",1764,27
0Q6P8dNoDT5Laxl7XFUStQ,LilGee Phạm,v-pop,63,24
0qAJ604EZMbkbpZ9NN6W6d,WOKEUP,"vietnamese hip hop, v-pop",26017,51
0qkGQFUrj8ERPAZcdpa79j,Phuc Du,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",141280,48
0qLm3SxEV64WhTKTChH9Nb,Huỳnh Lập,v-pop,1711,16
0QRUD41ltP8vhaAIxMZb2H,Lu,"v-pop, vietnam indie",20366,40
0qSe56Ov0FLE4tgcP1OOhH,Fowlex,"drill, vietnamese hip hop, vinahouse",455,14
0qsxxwNWl74ERd4qAoNrkT,Ngọc Phụng,"vietnamese bolero, bolero",2061,19
0r63ReVRjxrS4ATbLrdcrL,Hoàng Thùy Linh,"v-pop, vinahouse",882410,53
0rc9eaCCrxAD7dXeEmkNAP,Đỗ Lê Hồng Nhung,"vinahouse, vietnamese lo-fi, v-pop",1212,17
