match_key,spotify_track_id,spotify_release_date,spotify_genres,spotify_popularity,best_peak_rank,total_platforms,total_appearances,Total_Streams,Total_Plays,score_rank,score_sustain,score_platform,score_historical,Base_Score,label
anhdakhongbietcachyeuem||quangdangtran,,,,,2.0,4,48,,20500000.0,3,1,1,3,8,1
matketnoi||duongdomic,,,,,10.0,3,31,42214737.0,,3,1,0,3,7,1
10mat1conkhong||legiabao,,,,,6.0,2,27,,22600000.0,3,0,0,3,6,1
exitsign||hieuthuhai,,,,,8.0,1,12,54860189.0,,3,0,0,3,6,1
nangcomangemve||shartnuss,,,,,8.0,1,12,27422373.0,,3,0,0,3,6,1
minhlanguoiyeucu||khahiep,,,,,4.0,1,17,,9400000.0,3,0,0,3,6,1
hoasitoi||thaihoc,,,,,1.0,1,17,,10600000.0,3,0,0,3,6,1
phimbanguoi||nguyenvi,,,,,9.0,1,17,,38400000.0,3,0,0,3,6,1
binhyen||vu,,,,,11.0,3,31,39807240.0,,2,1,0,3,6,1
amthambenem||sontungmtp,,,,,8.0,2,22,44987007.0,,3,0,0,3,6,1
mo||vucattuong,,,,,9.0,1,12,38470488.0,,3,0,0,3,6,1
tungngayyeuem||buitruonglinh,,,,,10.0,1,12,20840099.0,,3,0,0,3,6,1
wrongtimes||puppy,,,,,9.0,2,22,49951834.0,,3,0,0,3,6,1
phepmau||maydays,,,,,11.0,2,22,23311155.0,,2,0,0,3,5,1
noinaycoanh||sontungmtp,,,,,20.0,2,20,32489996.0,,2,0,0,3,5,1
motdoi||14casper,,,,,12.0,2,22,31399156.0,,2,0,0,3,5,1
khongdaunuaroi||emxinhsayhi,,,,,8.0,4,34,11830225.0,,3,1,1,0,5,1
khongbuong||hngle,,,,,3.0,4,48,7964328.0,,3,1,1,0,5,1
vanvatnhumuontabennhau||rio,,,,,18.0,1,12,15245555.0,,2,0,0,3,5,1
ngaynaynamay||vietanh,,,,,7.0,4,45,,7100000.0,3,1,1,0,5,1
doankichcam||anhtraisayhi,,,,,7.0,4,41,533515.0,,3,1,1,0,5,1
nguoidautien||jukysan,,,,,4.0,4,54,1015975.0,,3,1,1,0,5,1
hoagiaibangnuocmat||caothaison,,,,,16.0,1,17,,24600000.0,2,0,0,3,5,1
chuyendoita||emceeldalab,,,,,13.0,1,7,68512977.0,,2,0,0,3,5,1
dancinginthedark||soobin,,,,,13.0,2,20,21774567.0,,2,0,0,3,5,1
hoabattu||thanhdat,,,,,20.0,1,17,,17900000.0,2,0,0,3,5,1
khongthesay||hieuthuhai,,,,,18.0,2,21,57419621.0,,2,0,0,3,5,1
chuyendoita||emceel,,,,,16.0,1,5,68874718.0,,2,0,0,3,5,1
khongthoigian||duongdomic,,,,,6.0,4,45,4173858.0,,3,1,1,0,5,1
nguoinhuanhxungdangcodon||anhtraisayhi,,,,,8.0,4,48,4457098.0,,3,1,1,0,5,1
dunglamtraitimanhdau||sontungmtp,,,,,15.0,1,9,50376085.0,,2,0,0,3,5,1
inlove||lowg,,,,,2.0,4,37,2483178.0,,3,1,1,0,5,1
suuutiencuaem||legiabao,,,,,28.0,1,17,,15800000.0,1,0,0,3,4,1
