Title,Artist,Appearance_Count,Platform_Count,Platforms,Date_Count,First_Seen,Last_Seen,Best_Rank,Avg_Rank,Best_Platform,Total_Hit_Score,Avg_Hit_Score,Spotify_Peak_Position,Spotify_Total_Streams,Spotify_Days_On_Chart,Spotify_Peak_Count,AppleMusic_Peak_Position,AppleMusic_Days_On_Chart,AppleMusic_Peak_Count,ZingMP3_Total_Plays,ZingMP3_Total_Likes,NCT_Total_Likes,YouTube_Total_Views,YouTube_Total_Likes,Duration,Spotify_URL,ZingMP3_URL,NCT_URL,YouTube_URL
Người Đầu Tiên,Juky San,48,4,"APPLE_MUSIC, NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,5,17.208333333333332,SPOTIFY,3733.4,77.77916666666667,6.0,903846.0,12.0,1.0,,,,442000.0,12000.0,19219.0,0,0,,,https://zingmp3.vn/bai-hat/Nguoi-Dau-Tien-Juky-San-buitruonglinh/Z8AOOBCA.html,https://www.nhaccuatui.com/song/oyfwO2mxFbH0,
Không Buông,Hngle,43,4,"APPLE_MUSIC, NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,3,9.30232558139535,SPOTIFY,3649.75,84.87790697674419,2.0,7850531.0,71.0,18.0,,,,3600000.0,70000.0,79674.0,0,0,,,https://zingmp3.vn/bai-hat/Khong-Buong-Hngle-Ari/Z88WECDF.html,https://www.nhaccuatui.com/song/l8cuO7N4Gx3J,
Anh Đã Không Biết Cách Yêu Em,Quang Đăng Trần,43,4,"APPLE_MUSIC, NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,2,13.465116279069768,NCT,3460.55,80.4779069767442,8.0,6357076.0,101.0,1.0,,,,20300000.0,399000.0,133254.0,0,0,,,https://zingmp3.vn/bai-hat/Anh-Da-Khong-Biet-Cach-Yeu-Em-Quang-Dang-Tran/Z870AWF8.html,https://www.nhaccuatui.com/song/RjjlFp5VePzi,
NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,ANH TRAI SAY HI,42,4,"APPLE_MUSIC, NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,8,15.785714285714286,NCT,3302.2,78.62380952380951,2.0,4398327.0,44.0,5.0,,,,2900000.0,41000.0,69080.0,0,0,,,https://zingmp3.vn/bai-hat/NGUOI-NHU-ANH-XUNG-DANG-CO-DON-ANH-TRAI-SAY-HI-Vu-Cat-Tuong-Karik-Negav-Ngo-Kien-Huy-Jey-B/Z89ZDF6B.html,https://www.nhaccuatui.com/song/ohdUc5kDIMnJ,
In Love,Low G,43,4,"APPLE_MUSIC, NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,2,20.348837209302324,SPOTIFY,3223.0,74.95348837209302,2.0,2384648.0,21.0,3.0,,,,511000.0,6000.0,28048.0,0,0,,,https://zingmp3.vn/bai-hat/In-Love-Low-G-JustaTee/Z89EBCDW.html,https://www.nhaccuatui.com/song/TfjjHnTFVTKj,
Không Thời Gian,Dương Domic,43,4,"APPLE_MUSIC, NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,6,23.27906976744186,SPOTIFY,3088.25,71.81976744186046,6.0,4069139.0,51.0,1.0,,,,2200000.0,43000.0,45478.0,0,0,,,https://zingmp3.vn/bai-hat/Khong-Thoi-Gian-Duong-Domic/Z890F6ZE.html,https://www.nhaccuatui.com/song/FxoGeDuCWtSP,
NGƯỜI ĐẦU TIÊN,EM XINH SAY HI,35,3,"NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,5,17.857142857142858,SPOTIFY,2686.25,76.75,2.0,7715711.0,85.0,1.0,0.0,0.0,0.0,3800000.0,47000.0,65258.0,0,0,,,https://zingmp3.vn/bai-hat/NGUOI-DAU-TIEN-EM-XINH-SAY-HI-Juky-San/Z88IAOA0.html,https://www.nhaccuatui.com/song/O4NyykO66w3D,
chẳng phải tình đầu sao đau đến thế,MIN,28,3,"APPLE_MUSIC, NCT, SPOTIFY",13,2025-10-31,2025-11-13,1,1.4285714285714286,APPLE_MUSIC,2613.0,93.32142857142857,2.0,2656843.0,20.0,12.0,,,,0.0,0.0,52950.0,0,0,,,,https://www.nhaccuatui.com/song/aV6cyHFUBioS,
Ngày Này Năm Ấy,Việt Anh,35,3,"NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,7,19.4,ZINGMP3,2599.15,74.26142857142857,11.0,5496921.0,95.0,1.0,0.0,0.0,0.0,7100000.0,129000.0,80275.0,0,0,,,https://zingmp3.vn/bai-hat/Ngay-Nay-Nam-Ay-Viet-Anh/Z87W0W9U.html,https://www.nhaccuatui.com/song/10vd0FQlcvyO,
Em,Binz,28,3,"APPLE_MUSIC, NCT, SPOTIFY",13,2025-10-31,2025-11-13,2,3.9285714285714284,APPLE_MUSIC,2548.25,91.00892857142857,3.0,1706918.0,17.0,5.0,,,,0.0,0.0,22294.0,0,0,,,,https://www.nhaccuatui.com/song/9gfD7AsrzcYv,
ĐOẠN KỊCH CÂM,ANH TRAI SAY HI,37,4,"APPLE_MUSIC, NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,7,27.89189189189189,NCT,2482.8500000000004,67.10405405405406,29.0,480255.0,9.0,1.0,,,,332000.0,9000.0,15133.0,0,0,,,https://zingmp3.vn/bai-hat/DOAN-KICH-CAM-ANH-TRAI-SAY-HI-CONGB-Negav-B-Ray-CODYNAMVO-Pham-Dinh-Thai-Ngan-My-My/Z8AZU6ID.html,https://www.nhaccuatui.com/song/vdXhGFEWSIMh,
KHÔNG ĐAU NỮA RỒI,EM XINH SAY HI,39,4,"APPLE_MUSIC, NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,8,35.30769230769231,APPLE_MUSIC,2372.2999999999997,60.82820512820512,1.0,11772826.0,142.0,1.0,,,,7400000.0,87000.0,115039.0,0,0,,,https://zingmp3.vn/bai-hat/KHONG-DAU-NUA-ROI-EM-XINH-SAY-HI-Orange-My-My-52Hz-Chau-Bui/Z869676I.html,https://www.nhaccuatui.com/song/Ijo7HDYemsvo,
Kho Báu,STRONG,36,3,"APPLE_MUSIC, NCT, ZINGMP3",14,2025-10-31,2025-11-13,4,32.22222222222222,NCT,2231.7499999999995,61.99305555555554,0.0,0.0,0.0,0.0,,,,6200000.0,62000.0,139356.0,0,0,,,https://zingmp3.vn/bai-hat/Kho-Bau-S-TRONG/Z87IZ08U.html,https://www.nhaccuatui.com/song/kVt3JtCUChNI,
Bình Yên,Vũ.,28,3,"APPLE_MUSIC, NCT, SPOTIFY",13,2025-10-31,2025-11-13,11,18.857142857142858,SPOTIFY,2157.9500000000003,77.06964285714287,3.0,39741545.0,440.0,5.0,,,,0.0,0.0,223928.0,0,0,,,,https://www.nhaccuatui.com/song/56Um1CgCynmG,
Ngàn Năm Ánh Sáng,Đặng Vĩnh Thịnh,35,3,"NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,14,36.48571428571429,SPOTIFY,2080.85,59.45285714285714,5.0,6310096.0,97.0,1.0,0.0,0.0,0.0,2600000.0,40000.0,56693.0,0,0,,,https://zingmp3.vn/bai-hat/Ngan-Nam-Anh-Sang-Dang-Vinh-Thinh-BMZ/Z87997D8.html,https://www.nhaccuatui.com/song/xnhwlEUv6mPq,
Quyền Yếu Đuối,MiiNa,24,2,"NCT, ZINGMP3",14,2025-10-31,2025-11-13,4,7.125,ZINGMP3,1986.0,82.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,54000.0,31215.0,0,0,02:55,,https://zingmp3.vn/bai-hat/Quyen-Yeu-Duoi-MiiNa-RIN9-DREAMeR/Z89AI86A.html,https://www.nhaccuatui.com/song/cynfdsSLkJLi,
Mất Kết Nối,Dương Domic,28,3,"APPLE_MUSIC, NCT, SPOTIFY",13,2025-10-31,2025-11-13,11,24.821428571428573,APPLE_MUSIC,1984.7,70.88214285714285,1.0,42152440.0,355.0,2.0,,,,0.0,0.0,371244.0,0,0,,,,https://www.nhaccuatui.com/song/uJ8qLJzC9wH5,
Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),Nguyễn Hùng,32,3,"APPLE_MUSIC, NCT, ZINGMP3",14,2025-10-31,2025-11-13,13,32.40625,NCT,1960.35,61.2609375,0.0,0.0,0.0,0.0,,,,7300000.0,124000.0,131500.0,0,0,,,https://zingmp3.vn/bai-hat/Con-Gi-Dep-Hon-Mua-Do-Original-Soundtrack-Nguyen-Hung/Z8796CZO.html,https://www.nhaccuatui.com/song/My2LYptZ1GS5,
Nắng Ấm Trong Tim,Duongg,34,3,"NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,18,39.88235294117647,NCT,1883.35,55.39264705882353,31.0,676900.0,16.0,1.0,0.0,0.0,0.0,518000.0,18000.0,13002.0,0,0,,,https://zingmp3.vn/bai-hat/Nang-Am-Trong-Tim-Duongg-Dadeon/Z886I7IU.html,https://www.nhaccuatui.com/song/4dPxo73rYIvn,
Wrong Times,Puppy,28,3,"APPLE_MUSIC, NCT, SPOTIFY",13,2025-10-31,2025-11-13,9,37.035714285714285,SPOTIFY,1697.8999999999999,60.63928571428571,3.0,49876765.0,725.0,16.0,,,,0.0,0.0,174568.0,0,0,,,,https://www.nhaccuatui.com/song/0lTwDzgDWI2q,
10 Mất 1 Còn Không,Lê Gia Bảo,24,2,"NCT, ZINGMP3",14,2025-10-31,2025-11-13,6,23.041666666666668,ZINGMP3,1659.4,69.14166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22400000.0,373000.0,77635.0,0,0,04:50,,https://zingmp3.vn/bai-hat/10-Mat-1-Con-Khong-Le-Gia-Bao-BMZ/Z8ZI9OID.html,https://www.nhaccuatui.com/song/UpxC3e4PNIa9,
ĐA NGHI,ANH TRAI SAY HI,28,4,"APPLE_MUSIC, NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,15,34.42857142857143,NCT,1648.9000000000003,58.88928571428573,21.0,1028166.0,24.0,1.0,,,,855000.0,14000.0,23311.0,0,0,,,https://zingmp3.vn/bai-hat/DA-NGHI-ANH-TRAI-SAY-HI-Negav-Hai-Nam-CODYNAMVO-Dillan-Hoang-Phan/Z89CZ8IO.html,https://www.nhaccuatui.com/song/N0u2OIefVcyy,
Phép Màu,MAYDAYs,20,2,"NCT, SPOTIFY",13,2025-10-31,2025-11-13,11,15.5,NCT,1591.5,79.575,2.0,23237191.0,261.0,12.0,0.0,0.0,0.0,0.0,0.0,208290.0,0,0,,,,https://www.nhaccuatui.com/song/AHgR9rMS5pYw,
