Date,Rank,Title,Artist,Featured_Artists,Source,Duration,Total_Likes,URL
2025-10-31,1,chẳng phải tình đầu sao đau đến thế,MIN,"Dangrangto, antransax",NCT,4:43,40205,https://www.nhaccuatui.com/song/aV6cyHFUBioS
2025-10-31,2,Anh Đã Không Biết Cách Yêu Em,Quang Đăng Trần,,NCT,4:05,126923,https://www.nhaccuatui.com/song/RjjlFp5VePzi
2025-10-31,3,In Love,Low G,JustaTee,NCT,3:20,22879,https://www.nhaccuatui.com/song/TfjjHnTFVTKj
2025-10-31,4,Không Buông,Hngle,Ari,NCT,2:54,74217,https://www.nhaccuatui.com/song/l8cuO7N4Gx3J
2025-10-31,5,Em,Binz,,NCT,3:28,16159,https://www.nhaccuatui.com/song/9gfD7AsrzcYv
2025-10-31,6,Kho Báu (with Rhymastic),STRONG,Rhymastic,NCT,3:37,135788,https://www.nhaccuatui.com/song/UV8S5HlKISf1
2025-10-31,7,Quyền Yếu Đuối,MiiNa,"RIN9, DREAMeR",NCT,2:55,25937,https://www.nhaccuatui.com/song/cynfdsSLkJLi
2025-10-31,8,NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,"ANH TRAI ""SAY HI""","Vũ Cát Tường, Karik, Negav, Ngô Kiến Huy, Jey B",NCT,5:16,66110,https://www.nhaccuatui.com/song/ohdUc5kDIMnJ
2025-10-31,9,Ngày Này Năm Ấy,Việt Anh,,NCT,3:59,76758,https://www.nhaccuatui.com/song/10vd0FQlcvyO
2025-10-31,10,Không Thời Gian,Dương Domic,,NCT,3:37,41903,https://www.nhaccuatui.com/song/FxoGeDuCWtSP
2025-10-31,11,Phép Màu,MAYDAYs,Minh Tốc & Lam,NCT,4:26,205770,https://www.nhaccuatui.com/song/AHgR9rMS5pYw
2025-10-31,12,Panorama,Richie D. ICY,Obito,NCT,3:25,18877,https://www.nhaccuatui.com/song/SMJcVKFXYwbM
2025-10-31,13,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),Nguyễn Hùng,,NCT,4:42,130022,https://www.nhaccuatui.com/song/My2LYptZ1GS5
2025-10-31,14,Mất Kết Nối,Dương Domic,,NCT,3:27,369642,https://www.nhaccuatui.com/song/uJ8qLJzC9wH5
2025-10-31,15,ĐA NGHI,ANH TRAI SAY HI,"Negav, Hải Nam, CODYNAMVO, Dillan Hoàng Phan",NCT,4:17,21263,https://www.nhaccuatui.com/song/N0u2OIefVcyy
2025-10-31,16,NGƯỜI ĐẦU TIÊN,EM XINH SAY HI,Juky San,NCT,3:52,63573,https://www.nhaccuatui.com/song/O4NyykO66w3D
2025-10-31,17,Nắng Dưới Chân Mây,Nguyễn Hữu Kha,,NCT,3:39,82728,https://www.nhaccuatui.com/song/F2v0Z9WBlCMV
2025-10-31,18,Nắng Ấm Trong Tim,Duongg,Dadeon,NCT,4:08,9623,https://www.nhaccuatui.com/song/4dPxo73rYIvn
2025-10-31,19,Kho Báu,STRONG,,NCT,3:16,108210,https://www.nhaccuatui.com/song/kVt3JtCUChNI
2025-10-31,20,HERMOSA,ANH TRAI SAY HI,"Sơn.K, buitruonglinh, Tez, Mason Nguyen, CONGB",NCT,4:06,30361,https://www.nhaccuatui.com/song/YDxQbcF2YuCl
2025-10-31,21,E Là Không Thể,Anh Quân,,NCT,5:09,184243,https://www.nhaccuatui.com/song/r27tf4MELOuA
2025-10-31,22,ẢO ẢNH,ANH TRAI SAY HI,"Vũ Cát Tường, Gill, Ryn Lee",NCT,4:22,12916,https://www.nhaccuatui.com/song/qEDID98P9dOt
2025-10-31,23,Bình Yên,Vũ.,Binz,NCT,3:16,221952,https://www.nhaccuatui.com/song/56Um1CgCynmG
2025-10-31,24,Ngàn Năm Ánh Sáng,Đặng Vĩnh Thịnh,BMZ,NCT,3:34,54352,https://www.nhaccuatui.com/song/xnhwlEUv6mPq
2025-10-31,25,Nơi Này Có Anh,Sơn Tùng M-TP,,NCT,4:20,310450,https://www.nhaccuatui.com/song/JzDZ5BW4RSTI
2025-10-31,26,KHÔNG ĐAU NỮA RỒI,EM XINH SAY HI,"52Hz, Orange, Mỹ Mỹ, Châu Bùi, Pháp Kiều",NCT,4:51,113439,https://www.nhaccuatui.com/song/Ijo7HDYemsvo
2025-10-31,27,Giờ Thì,buitruonglinh,,NCT,3:54,162007,https://www.nhaccuatui.com/song/dyHwNKu52bax
