title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
"(từng là) boyfriend, girlfriend",min,nan,apple,51,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",7B2UpgEZe68OdfKzBb8JZq,tunglaboyfriendgirlfriend||min,"('từng là boyfriend, girlfriend', 'min', 'nan')"
10 mất 1 còn không,lê gia bảo,bmz,"nct, zingmp3",47,2025-05-08,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",4NksYk8JJnriSPy5eVj5MW,10mat1conkhong||legiabao,"('10 mất 1 còn không', 'bảo, gia, lê', 'bmz')"
10 ngàn năm,pc,nan,spotify,64,2019-12-21,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",2pm7K14nHj2fLrpU8j9bit,10ngannam||pc,"('10 ngàn năm', 'pc', 'nan')"
1000 ánh mắt,shiki,obito,"apple, spotify",64,2024-06-27,"vietnamese hip hop, v-pop, vietnam indie",5XfGQZA0ioQAWUjlyJRcHc,1000anhmat||shiki,"('1000 ánh mắt', 'shiki', 'obito')"
24h,lyly,magazine,spotify,59,2020-10-28,"v-pop, vietnamese hip hop, vietnam indie",4inMQ83GNpQ2OHDredH5hW,24h||lyly,"('24h', 'lyly', 'magazine')"
2am,justatee,bigdaddy,spotify,64,2022-05-10,"v-pop, vietnamese hip hop",3DLtPObflLQBodZN8qGODT,2am||justatee,"('2am', 'justatee', 'bigdaddy')"
3 1 0 7,w/n,"duongg, nâu",spotify,61,2024-06-26,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",5xuaCJaNAqRLwV7OO5zPiF,3107||wn,"('3 1 0 7', 'n, w', 'duongg, nâu')"
3 bích,pháp kiều,tlinh,nct,59,2025-10-15,"v-pop, vietnamese hip hop",3yrQAZrdlrMVtI4DN9FTIc,3bich||phapkieu,"('3 bích', 'kiều, pháp', 'tlinh')"
ám ảnh về anh,phùng khánh linh,nan,"apple, zingmp3",53,2025-10-18,"v-pop, vietnam indie",4mU4LOHUfY3Tv7V1F8pqsr,amanhveanh||phungkhanhlinh,"('ám ảnh về anh', 'khánh, linh, phùng', 'nan')"
âm thầm bên em,sơn tùng m-tp,nan,"nct, spotify",68,2017-04-01,"v-pop, vinahouse, vietnamese hip hop",2wZAvkgiOE5tyrnqhB69KA,amthambenem||sontungmtp,"('âm thầm bên em', 'm-tp, sơn, tùng', 'nan')"
an thần,low g,thắng,spotify,61,2021-10-21,"vietnamese hip hop, v-pop, vietnam indie",5C3fx9rdM4Bxf1MSOQC4Ym,anthan||lowg,"('an thần', 'g, low', 'thắng')"
anh đã không biết cách yêu em,quang đăng trần,nan,"apple, nct, spotify, zingmp3",66,2025-07-05,"vietnamese lo-fi, v-pop, vinahouse",2daxUR0gVJr2dOmOtYvW8R,anhdakhongbietcachyeuem||quangdangtran,"('anh đã không biết cách yêu em', 'quang, trần, đăng', 'nan')"
