track_id,track_name,artist_name,artist_id,release_date,spotify_popularity,duration_formatted
34R5Zs20M50s5lmpdZAMQa,Có Quá Trễ,(S)TRONG,7571XEqHqL61NDiLtWXhS5,09/24/2025,40,3:41
1cI1tK69V1yq8rjNGz7DWJ,Kho Báu (with Tuimi),(S)TRONG,7571XEqHqL61NDiLtWXhS5,08/14/2025,45,3:37
6tFA6mKP4w5wbVhLFrmidX,Trả Chìa Khoá,(S)TRONG,7571XEqHqL61NDiLtWXhS5,09/24/2025,36,3:25
6fQzL2VGMjlMPTRR9WhTIX,TO YOUR EX,"ANH TRAI ""SAY HI""",4wZ6awunqaaVLl5j0WpDFu,11/10/2025,45,0:00
4EJXaiTGRppZ1afovvwYh7,Nhẫn Tâm,An Vũ,0IBUlucigx80io4qV5fQ34,08/01/2025,17,0:00
1jVM9ivYD6P0jQmkz4bd5B,Nhắn Gửi Yêu Thương,An Vũ,0IBUlucigx80io4qV5fQ34,06/18/2025,18,4:55
2DASMIZWDxCARxR1UX00UN,Sao Anh Có Thể Quên,An Vũ,0IBUlucigx80io4qV5fQ34,02/14/2025,4,3:24
49Q1m2dsIh6ylG9auH68H5,Yên Bình Thương Em,An Vũ,0IBUlucigx80io4qV5fQ34,02/14/2025,10,3:32
7vrYquNCjlfmaqlycExZi7,Nhờ,Anh Quân Idol,0jF7Zlz8P5p74zcH7YwcMU,04/24/2025,8,0:00
4aHt5tkyVoMonpPGAehUcD,Are You Sad,B Ray,1WvNgEoB66jmHodcj15Zi9,07/08/2025,47,0:00
6jDcy9j4sL4vSRfzDDh54l,Boomerang,B Ray,1WvNgEoB66jmHodcj15Zi9,05/25/2025,21,0:00
5OMHzCWm3k4RpfldNGQqe8,Cho Ba,B Ray,1WvNgEoB66jmHodcj15Zi9,05/27/2025,48,0:00
1N3blFyT4ulb8ml6Z1NXUd,Chân Mệnh,B Ray,1WvNgEoB66jmHodcj15Zi9,05/27/2025,28,0:00
6a1uj8onBHUi6TKSREPxHY,Ghệ Mới,B Ray,1WvNgEoB66jmHodcj15Zi9,02/14/2025,46,0:00
