track_id,track_name,artist_name,artist_id,release_date,popularity,duration_ms
4Gs3MrfMQub2r90VWmcnMZ,Ai cũng phải lớn,SOOBIN,6CGGvCBHWqQ4HXtn5aLhbh,2025-05-20,48,260294
2xbr665YtqRMY3hELLVLUj,ghệ iu dấu của em ơi (Vocals),tlinh,3diftVOq7aEIebXKkC34oR,2023-02-25,8,205996
0CYM8pf0ZuKL72Xbuavmm2,Những Đêm Lặng Câm,Bích Phương,5fa13NJjmn2uQ3dxZDi2Ge,2014-01-01,8,240000
7jbnA8sL3dpOYRrFrVURf0,Người Lạ Trong Danh Bạ (feat. Phúc Du),ERIK,1L1VfizWn4DkFt602yD80U,2023-05-24,35,222720
58WER3E8kG5k4ubLNmQpWu,Gieo Quẻ - Vietnamese Concert Edition,Hoàng Thùy Linh,0r63ReVRjxrS4ATbLrdcrL,2024-11-01,16,220300
0p0nncsn4mV092i2RQVzeQ,Ước Mơ Mùa Thu (Ước Hẹn Mùa Thu Original Soundtrack),Tóc Tiên,4YkqEuVf1Jf2x2XDqJ2CvC,2020-01-01,1,292625
13s4FKMfyzDRFGsfTLAw81,Ai Mà Biết Được (feat. tlinh),SOOBIN,6CGGvCBHWqQ4HXtn5aLhbh,2024-06-25,36,240000
5DZcFH1XDXGY98mV90kZF5,Các bạn đã thuộc hết các ca khúc trong album LINK chưa?,Hoàng Thùy Linh,0r63ReVRjxrS4ATbLrdcrL,2023-09-20,0,26315
34zLev2Poav7NqDi6zWTtb,Làm Gì Phải Hốt,Hoàng Thùy Linh,0r63ReVRjxrS4ATbLrdcrL,2020-01-05,45,189296
7Jz4a41gsJnaEH7FxgaEGR,Men Cry (feat. Gonzo & Nomovodka),Binz,2nSO7JYDbJrYbJmP39qUzj,2023-11-02,21,251034
0hCDOB2sMREIe7qCr0Hrvh,Người Giữ Kỉ Niệm,Thái Đinh,7lq25uVNvzRoAJgr4CYr8e,2017-12-29,19,366367
0zWSqwSJhGicfLCVaIC7wL,Lạc Trôi - Triple D Remix,Sơn Tùng M-TP,5dfZ5uSmzR7VQK0udbAVpf,2017-09-08,40,260571
701TMS3qSQ0Vcvz6pW2Ayz,Nguyên Team Đi Vào Hết,Binz,2nSO7JYDbJrYbJmP39qUzj,2018-07-18,27,185759
43eyDzvsg1mleIt8omJc0j,Kén Cá Chọn Anh,Bích Phương,5fa13NJjmn2uQ3dxZDi2Ge,2020-10-20,16,202380
2V3CxwcoZUKajJSHJZUq1R,High,Hoàng Thùy Linh,0r63ReVRjxrS4ATbLrdcrL,2013-05-15,4,272000
6lNfj1VcaETCDfCuZJYj8I,VIỆT NAM TÔI ĐÓ,SOOBIN,6CGGvCBHWqQ4HXtn5aLhbh,2025-01-09,36,187586
2pKJ00VWLVEjxEtRVjL5n1,Bánh Trôi Nước - Vietnamese Concert Edition,Hoàng Thùy Linh,0r63ReVRjxrS4ATbLrdcrL,2024-11-01,16,264719
2BTzYITPtleHrP2umiJGt8,Di Va Yeu,SOOBIN,6CGGvCBHWqQ4HXtn5aLhbh,2017-03-27,31,201467
2X7wc9WKar3B58VKUR6eMf,Yêu Bền Bỉ - Speed Up,ERIK,1L1VfizWn4DkFt602yD80U,2025-05-04,10,147005
42LToPm7hRp1hOdONqcsdr,"Hành Tinh Song Song, Pt. 2",Vũ.,57g2v7gJZepcwsuwssIfZs,2019-11-06,33,234747
71cTBPj9hUGtNLx2DzDM4g,Xuân Thì,Hà Anh Tuấn,3FwYnbtGNt8hJfjNuOfpeG,2024-12-31,17,349531
3JSKs5GksxxGvl0CgVGULb,Mộng Điệp Phù Dung,Thái Đinh,7lq25uVNvzRoAJgr4CYr8e,2021-04-09,8,328000
4VaKSEv49n3VY23ZItUV8C,SO FAR (TINLE Remix),Binz,2nSO7JYDbJrYbJmP39qUzj,2023-01-05,12,204395
2am1MfXD6bsuvvleW2skBP,Khúc Hát Chim Trời - Live in DA LAT,Hà Anh Tuấn,3FwYnbtGNt8hJfjNuOfpeG,2020-11-16,7,267187
7LzitDXAjWKwJzCSsqH1Qk,Em Đã Có Người Mới (feat. Người cũ),Tóc Tiên,4YkqEuVf1Jf2x2XDqJ2CvC,2021-12-16,13,200337
4wiLBFz25pu8rvhLRdni0I,NOLOVENOLIFE (Live at GENfest 24),HIEUTHUHAI,5HZtdKfC4xU0wvhEyYDWiY,2025-02-25,27,170843
2bGsreFXrLnwwzQzQ8lWgB,Thế Là Tết,Đức Phúc,5FWPIKz9czXWaiNtw45KQs,2018-01-16,25,274207
7u1KZfCQ0XiO3LnRnPphO0,HOP ON DA SHOW (Live at GENfest 24),tlinh,3diftVOq7aEIebXKkC34oR,2025-03-20,15,179500
2PioLHdYajIZym99us1uHd,Chàng Sơ Mi,Hà Anh Tuấn,3FwYnbtGNt8hJfjNuOfpeG,2021-08-01,1,249546
0IZK2LMX2DjC7jvAmV2ASw,Thư Cho Em,Hà Anh Tuấn,3FwYnbtGNt8hJfjNuOfpeG,2021-08-01,2,238560
7dTc1hX4VmjLX38vB20mxD,đưa anh vào thế giới thần tiên của tình yêu điên cuồng (live at GENfest 23),tlinh,3diftVOq7aEIebXKkC34oR,2024-04-26,11,95000
6fH70e3UxJFNmLApdijeGa,Đưa Nhau Đi Trốn - Live At Show Của Đen,Đen,1LEtM3AleYg1xabW6CRkpi,2021-09-30,38,265822
