title,artists,featured_artists,release_date,genres,spotify_popularity,total_platforms,score_platform,A_total_appearances,Z_total_appearances,N_total_appearances,S_total_appearances,total_appearances,score_sustain,Z_best_rank,S_best_rank,N_best_rank,A_best_rank,score_rank,S_total_streams,Z_total_plays,score_historical,total_score,is-hit,hit_type
không buông,hngle,ari,2025-08-25,v-pop,70,4,1,11,17,9,14,51,1,12,3,3,5,11,8195257,3800000,3,16,1,Proven Hit
người như anh xứng đáng cô đơn,anh trai say hi,"vũ cát tường, karik, negav, ngô kiến huy, jey b",2025-09-29,"v-pop, vietnamese hip hop",68,4,1,11,17,9,14,51,1,9,14,8,12,10,4578845,3000000,3,15,1,Proven Hit
anh đã không biết cách yêu em,quang đăng trần,,2025-07-05,"vietnamese lo-fi, v-pop, vinahouse",66,4,1,11,17,9,14,51,1,3,13,2,32,9,6558183,20800000,3,14,1,Proven Hit
không thời gian,dương domic,,2025-09-20,"v-pop, vietnamese hip hop",67,4,1,8,17,9,14,48,1,18,6,9,37,9,4357174,2300000,3,14,1,Proven Hit
người đầu tiên,em xinh say hi,juky san,2025-08-18,v-pop,68,3,1,,17,9,14,40,1,10,5,16,,8,7948996,3900000,3,13,1,Proven Hit
người đầu tiên,juky san,buitruonglinh,2025-08-18,v-pop,68,4,1,22,17,8,12,59,1,15,3,5,10,11,1260991,531000,0,13,1,Proven Hit
ngày này năm ấy,việt anh,,2025-07-12,"vinahouse, v-pop",65,4,1,8,17,9,12,46,1,7,31,9,47,7,5643285,7300000,3,12,1,Proven Hit
sớm muộn thì,anh trai say hi,"hustlang robber, nhâm phương nam, mason nguyen, jaysonlei, khoi vu, lamoon",2025-11-10,"v-pop, vietnamese hip hop",46,4,1,5,5,3,4,17,0,11,5,2,2,11,397331,182000,0,12,1,Proven Hit
kho báu,(s)trong,,2025-08-14,"v-pop, vietnam indie",64,3,1,17,6,13,,36,1,37,,4,8,7,,6500000,3,12,1,Proven Hit
in love,low g,justatee,2025-10-21,"vietnamese hip hop, v-pop, vietnam indie",66,4,1,11,6,9,14,40,1,26,2,2,3,10,2675046,461000,0,12,1,Proven Hit
không đau nữa rồi,em xinh say hi,"orange, châu bùi, mỹ mỹ, pháp kiều, 52hz",2025-06-23,v-pop,67,4,1,11,2,9,14,36,1,41,17,23,8,6,11938878,7200000,3,11,1,Proven Hit
mất kết nối,dương domic,,2024-11-22,"v-pop, vietnamese hip hop",66,3,1,11,,9,14,34,1,,28,12,10,6,42336244,,3,11,1,Proven Hit
bình yên,vũ.,binz,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",64,3,1,11,,9,14,34,1,,11,18,13,6,39944767,,3,11,1,Proven Hit
chẳng phải tình đầu sao đau đến thế,min,"dangrangto, antransax",2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",67,3,1,11,,9,14,34,1,,2,1,1,9,3097993,,0,11,1,Proven Hit
em,binz,,2025-10-25,"vietnamese hip hop, v-pop, vietnam indie, vinahouse",65,3,1,11,,9,14,34,1,,3,3,2,9,2004546,,0,11,1,Proven Hit
đoạn kịch câm,anh trai say hi,"congb, negav, b ray, codynamvo, phạm đình thái ngân, mỹ mỹ",2025-11-03,"v-pop, vietnamese hip hop",56,4,1,11,17,6,10,44,1,9,29,7,17,9,643763,413000,0,11,1,Proven Hit
quyền yếu đuối,miina,"rin9, dreamer",2025-10-12,v-pop,49,2,0,,17,16,,33,1,4,,7,,6,,1700000,3,10,1,Proven Hit
còn gì đẹp hơn (mưa đỏ original soundtrack),nguyễn hùng,,2025-07-27,"v-pop, vietnam indie",65,4,1,10,17,9,2,38,1,24,42,13,35,4,7439384,7400000,3,9,1,Proven Hit
ngàn năm ánh sáng,đặng vĩnh thịnh,bmz,2025-07-30,"v-pop, vietnam indie",66,3,1,,5,9,14,28,0,38,13,23,,4,6509880,2500000,3,8,1,Legacy Hit (Saved)
kho báu (with rhymastic),(s)trong,rhymastic,2025-08-14,"v-pop, vietnam indie",64,2,0,,17,5,,22,0,12,,6,,5,,5800000,3,8,1,Legacy Hit (Saved)
nắng ấm trong tim,duongg,dadeon,2025-10-24,"vietnamese lo-fi, v-pop, vietnam indie",57,3,1,,17,9,7,33,1,19,31,18,,5,827138,626000,0,7,1,New Hit (Saved)
dancing in the dark,soobin,,2024-06-25,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",54,2,0,10,,,14,24,0,,13,,18,4,21906976,,3,7,1,Legacy Hit (Saved)
anh là thằng tồi,phùng khánh linh,,2025-10-18,"v-pop, vietnam indie",61,3,1,11,1,,10,22,0,12,33,,5,6,1064166,,0,7,1,New Hit (Saved)
phép màu,maydays,minh tốc & lam,2025-02-21,"v-pop, vietnam indie",68,2,0,,,9,14,23,0,,13,11,,4,23448803,,3,7,1,Legacy Hit (Saved)
âm thầm bên em,sơn tùng m-tp,,2017-04-01,"v-pop, vinahouse, vietnamese hip hop",68,2,0,,,9,14,23,0,,8,28,,4,45142892,,3,7,1,Legacy Hit (Saved)
mục hạ vô nhân,soobin,"binz, nsnd huỳnh tú",2025-11-10,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",47,3,1,5,,2,3,10,0,,23,14,7,6,219313,,0,7,0,Non-Hit
10 mất 1 còn không,lê gia bảo,bmz,2025-05-08,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",47,2,0,,17,9,,26,0,6,,43,,3,,22900000,3,6,0,Non-Hit
wrong times,puppy,dangrangto,2023-05-17,"v-pop, vietnamese hip hop",68,2,0,,,9,14,23,0,,9,41,,3,50079147,,3,6,1,Legacy Hit (Saved)
mình là người yêu cũ,khả hiệp,,2025-07-22,"vinahouse, v-pop, vietnamese lo-fi",37,1,0,,17,,,17,0,4,,,,3,,9600000,3,6,0,Non-Hit
không thể say,hieuthuhai,,2023-10-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",67,2,0,11,,,14,25,0,,21,,18,3,57550303,,3,6,1,Legacy Hit (Saved)
dẫu có đến đâu,anh trai say hi,"congb, vương bình, lohan, nhâm phương nam",2025-10-13,"v-pop, vietnamese hip hop",60,2,0,,17,6,,23,0,13,,37,,3,,1100000,3,6,1,Legacy Hit (Saved)
giá như,soobin,,2024-04-10,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",61,2,0,9,,,14,23,0,,11,,28,3,27915340,,3,6,1,Legacy Hit (Saved)
mo,vũ cát tường,,2016-01-01,"v-pop, vietnam indie",68,1,0,,,,14,14,0,,9,,,3,38618049,,3,6,1,Legacy Hit (Saved)
nắng có mang em về,shartnuss,"tr.d, phankeo",2023-10-21,"v-pop, vietnam indie",68,1,0,,,,14,14,0,,8,,,3,27560917,,3,6,1,Legacy Hit (Saved)
nơi này có anh,sơn tùng m-tp,,2017-04-01,"v-pop, vinahouse, vietnamese hip hop",64,2,0,,,9,12,21,0,,31,20,,3,32591785,,3,6,1,Legacy Hit (Saved)
phim ba người,nguyễn vĩ,,2025-04-20,"vinahouse, v-pop",47,1,0,,17,,,17,0,9,,,,3,,38700000,3,6,0,Non-Hit
từng ngày yêu em,buitruonglinh,,2024-12-12,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",67,1,0,,,,14,14,0,,10,,,3,20972723,,3,6,1,Legacy Hit (Saved)
exit sign,hieuthuhai,marzuz,2023-10-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",70,1,0,,,,14,14,0,,8,,,3,55020803,,3,6,1,Legacy Hit (Saved)
họa sĩ tồi,thái học,,2025-08-10,"vinahouse, v-pop, vietnamese bolero, vietnamese lo-fi",49,1,0,,17,,,17,0,1,,,,3,,11000000,3,6,1,Legacy Hit (Saved)
em thua cô ta,min quỳnh anh,,2025-11-11,"vinahouse, v-pop",0,1,0,,17,,,17,0,1,,,,3,,3600000,3,6,0,Non-Hit
chuyện đôi ta,emcee l,muộii (starry night),2021-12-01,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",67,1,0,,,,7,7,0,,15,,,2,69013850,,3,5,1,Legacy Hit (Saved)
phóng zìn zìn,tlinh,low g,2024-09-18,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",65,2,0,11,,,9,20,0,,30,,30,2,34332230,,3,5,1,Legacy Hit (Saved)
