file_name,spotify_track_id,duration_sec,tempo_bpm,musical_key,rms_energy,spectral_centroid_mean,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,zero_crossing_rate,spectral_rolloff,spectral_contrast_band1_mean,spectral_contrast_band2_mean,spectral_contrast_band3_mean,spectral_contrast_band4_mean,spectral_contrast_band5_mean,spectral_contrast_band6_mean,spectral_contrast_band7_mean,spectral_flatness_mean,beat_strength_mean,onset_rate,tempo_stability,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz6_mean,harmonic_percussive_ratio
"(từng là) boyfriend, girlfriend - min.mp3",7B2UpgEZe68OdfKzBb8JZq,242.87,117.45,F:maj,0.255455,2268.43,6.1221,9.3141,-4.8049,11.7006,3.6076,8.6912,-5.0133,9.1842,-82.0684,108.9603,92.9484,36.2936,19.7115,19.3063,14.5109,17.7615,-4.9555,13.9246,-1.0277,16.5835,-3.2225,10.5499,-1.2005,10.5927,0.3735,9.1103,0.078685,5084.14,20.33,15.52,19.64,21.65,19.23,18.01,48.64,0.017066,1.3606,3.71,0.9643,0.4779,0.2427,0.2278,0.1979,0.3783,0.5206,0.2633,0.3358,0.2703,0.4324,0.2892,0.2599,0.0686,0.1368,-0.1211,0.0288,-0.0048,0.005,2.5187
0 ai nghĩ - wxrdie.mp3,2kt7udEZmN2kj1Jsl118zY,190.5,83.35,E:maj,0.142932,1944.38,-0.8146,10.2558,-9.1436,10.4065,-4.7837,9.8848,-14.1595,9.5974,-151.7183,107.7088,114.3328,43.8597,6.4291,39.4178,4.2425,19.8711,-10.2559,20.5601,-18.6409,17.2866,-10.1879,15.8121,-13.4966,13.7244,-10.4727,12.5858,0.084545,3767.46,24.35,16.8,18.37,20.01,19.95,21.92,46.65,0.015447,1.8012,4.08,0.9618,0.3144,0.4056,0.2409,0.3731,0.4587,0.2586,0.3104,0.2679,0.4439,0.2702,0.2862,0.4273,0.003,-0.2793,0.0316,0.1502,0.0172,-0.0404,1.3129
01 chuyện dở dang - ngọt.mp3,3vWCRttEOSRmXZs8jfAPSX,213.95,99.38,C#:min,0.153492,2066.91,5.5295,8.5249,1.7404,8.2571,1.2986,8.3364,-4.4034,7.8463,-107.7313,95.5259,91.0411,25.5409,-8.0738,20.3464,36.4624,16.7403,10.6602,12.0592,7.4697,12.5844,-0.5042,10.6498,7.9447,8.9663,-3.1439,9.4176,0.093681,4345.07,17.83,16.58,19.9,18.99,18.95,18.09,47.68,0.024081,1.2296,2.62,0.9559,0.3116,0.447,0.3237,0.3315,0.4583,0.3505,0.3784,0.2703,0.3589,0.4354,0.3225,0.35,0.1008,-0.0766,-0.1288,0.009,0.0089,0.0069,1.699
01 ngoại lệ - jack - j97.mp3,1EqPUY3R6WoMSog6Y0pmm6,183.91,92.29,G#:maj,0.202494,2668.81,7.0399,10.6647,2.8313,8.8825,-1.1006,8.4517,2.1107,8.1712,-73.8803,91.5792,72.5138,27.4957,2.5806,19.0801,25.1202,14.3129,3.5805,15.0383,7.5535,11.377,4.0685,10.2043,5.3105,9.9974,-2.4808,9.7582,0.10358,5808.79,21.21,16.95,20.1,19.38,19.11,18.63,47.87,0.024448,1.3866,4.17,0.966,0.3458,0.4367,0.3811,0.4906,0.2687,0.253,0.3083,0.3376,0.5202,0.3527,0.391,0.4026,-0.2048,-0.1142,-0.0062,0.0661,0.0086,-0.0214,3.326
04 thắp hương 05 hoá vàng - ngọt.mp3,6e7oHe23DEca4sEOgu5bPd,228.86,172.27,F#:min,0.187703,1747.95,1.5869,11.3182,-1.4747,8.8933,0.4805,10.1774,-3.3635,9.2775,-146.5307,100.3711,101.1308,34.8636,13.4689,22.443,24.9081,18.4663,6.9818,13.6857,11.6334,14.2168,0.6334,13.5459,4.1127,11.3325,-0.578,10.7043,0.054824,3883.84,21.41,16.71,20.45,20.15,19.36,17.68,47.08,0.016896,1.6576,4.0,0.9658,0.2757,0.3469,0.3032,0.3439,0.4376,0.4307,0.4944,0.3608,0.334,0.3323,0.2581,0.3524,0.0522,-0.1668,-0.0267,0.0032,0.0169,0.0181,2.4088
06 quen lắm - ngọt.mp3,24YjMHwrN1di1vXrpj4z3C,247.79,117.45,F#:min,0.213783,2162.51,5.8378,8.4838,0.0459,7.7332,4.4051,8.3447,-4.4461,7.4324,-66.1655,100.8527,92.1582,26.6853,-22.8639,22.9145,26.1396,18.5366,-1.6725,12.2457,3.5196,11.2781,1.9556,11.4977,9.8843,10.4102,2.0491,9.6637,0.101284,4368.29,21.5,16.17,19.52,19.03,18.72,19.23,47.42,0.016705,1.1622,3.43,0.9691,0.2638,0.3225,0.4297,0.3344,0.4103,0.3145,0.3927,0.2867,0.3033,0.4454,0.325,0.3606,0.1563,-0.0464,-0.0158,-0.0785,-0.0217,0.0012,2.1331
07 leo đèo - ngọt.mp3,1oTgxAlDRyPpwDD2tAx4VG,260.0,123.05,A:min,0.201558,2168.25,3.287,9.3785,-5.7326,9.2186,-1.7838,8.2808,-4.5871,8.3011,-114.6644,129.971,86.3784,32.8147,7.3727,20.6091,34.2147,16.4528,3.4445,12.5814,14.0259,11.5863,3.916,10.1812,7.9829,9.3052,-1.9793,8.8811,0.078142,4648.24,21.82,18.61,20.13,19.7,18.66,18.58,46.87,0.058194,1.143,2.63,0.9598,0.3578,0.2903,0.251,0.2664,0.4737,0.3318,0.2269,0.3396,0.3447,0.4959,0.3724,0.2748,0.2459,0.0669,-0.0708,0.132,0.0374,0.0313,3.4271
1 mũi tên trúng 2 con tim - miina.mp3,0kcbXWB5jS9b1KSinLWYp1,182.4,103.36,E:maj,0.165652,2450.27,-0.4974,11.8717,-12.9019,15.3259,-2.0503,13.765,-7.1257,12.3791,-122.2465,124.4746,80.4637,39.5396,-5.5205,28.8291,2.9411,21.3661,-12.7339,16.9182,-11.543,18.8753,-8.5839,15.4107,-9.6143,14.8991,-5.6038,12.8868,0.103737,5030.55,21.55,17.89,20.86,20.68,19.86,20.08,48.19,0.024914,1.7486,3.82,0.9687,0.2626,0.2392,0.2172,0.2936,0.3464,0.2525,0.3194,0.2747,0.3932,0.3166,0.2512,0.3462,0.0281,-0.1265,0.0176,0.0973,-0.0237,0.0082,1.8593
+1 ngày bên em - trungg i.u.mp3,0oQW0vIRkcL8gunHPGyIJL,217.14,123.05,F:maj,0.075842,1778.97,0.3515,11.5927,-3.0172,9.6322,-1.9052,9.5333,-6.5925,9.5079,-235.4981,120.6009,106.9935,34.7881,8.3741,21.9099,15.3948,17.7838,4.0109,11.1051,1.6023,10.4268,-6.6052,9.3407,-3.9924,10.3752,-4.2284,10.4331,0.07353,3700.38,18.85,18.35,21.76,20.87,20.72,20.5,49.63,0.008383,1.0155,2.67,0.9454,0.3561,0.183,0.2111,0.1448,0.3059,0.4837,0.2478,0.3438,0.2043,0.2923,0.2361,0.1912,0.0808,0.32,-0.1135,0.0666,-0.0025,-0.0111,3.7208
1 phút - andiez.mp3,79bSb2Ilugozn6VygdplEZ,375.99,136.0,C#:maj,0.312623,1345.03,-4.1431,11.8168,-11.6634,9.1799,-3.7058,9.8171,-7.1766,8.721,-103.4765,79.0081,134.6535,32.2927,10.1165,19.8767,27.098,13.3521,7.7048,12.1488,-11.5799,10.6432,-3.8414,11.7194,-3.1372,9.517,-15.445,9.4106,0.052467,2571.04,22.13,20.05,24.04,23.44,21.79,22.77,48.63,0.004839,1.1408,1.34,0.9511,0.2683,0.4199,0.2147,0.3331,0.174,0.2398,0.177,0.1787,0.34,0.1685,0.1736,0.108,-0.3912,-0.0476,-0.1257,0.0806,-0.0119,-0.007,6.0198
