file_name,spotify_track_id,lyric
0 ai ngoài em - the wind.mp3,2SChI9PnwA9Sf59KGnRuKv,"không ai ngoài em đâu yeah không ai ngoài em
cho anh có cảm giác như muốn chạy đến lân la làm quen
anh anh chỉ muốn ở bên ở bên cạnh em đêm ngày
đó là cách mà anh giữ niềm vui của mình ở trong tay
i dont give a beep ya anh luôn lưu nó trong đầu
see you in my morning làm thế giới đó muôn màu
ah
im fall in love
im fall in love
im fall in love
with you
không cần tốn thời gian để anh được biết là em
chính người con gái mà tìm kiếm hằng đêm
em bước ra ngoài kia và nhìn thế giới mà xem
đâu có ai ở đây mà trông lung linh bằng em
đừng bảo anh dối
anh có thể ngồi đây trò chuyện và ngắm nhìn em đến tối
có thể anh quên lối về nhưng anh sẽ không lỗi hẹn
và thật tuyệt nếu như điều đó cũng sẽ quan trọng đối với em
anh sẽ lao vào em như cách anh lao vào nhạc
em như là kỷ vật mà anh sợ mất lục tung hộc bàn
em sẽ là người đẹp còn anh quái vật con tim rộn ràng
anh như lửa thiêu đốt bởi vì em ơi em chính là vàng"
1000 ánh mắt - shiki.mp3,5XfGQZA0ioQAWUjlyJRcHc,"thật ra anh yêu rồi
một nghìn ánh mắt trông đợi
tình cờ mình gặp gỡ lúc ta chào nhau
thật lòng này là đã chết trước em từ lâu
thật ra anh yêu rồi
một nghìn ánh mắt trông đợi
tìm lại được cảm giác lãng quên từ lâu
và giờ thì chỉ mỗi em là đậm sâu
nắng xuân thêm dịu êm
và rồi phố mưa anh hẹn em woh
lướt qua nơi từng quen
tựa như giấc mơ không thể quên woh
ngỡ đây lần đầu tiên yeah
anh chỉ muốn bên em nhiều thêm yeah yeah
anh muốn cách xa nhưng lại tìm em yeah yeah yeah
cảm xúc không thể gọi tên
na na na na na na
feeling blessed when i m with you babe
na na na na na na na na
feeling blessed when i m with you babe feeling blessed when i m with you babe
na na na na na na babe
feeling blessed when i m with you babe babe
na na na na na na na na huh na na na
feeling blessed when i m with you babe
thật ra anh yêu rồi thật ra anh yêu thật rồi
một nghìn ánh mắt trông đợi một nghìn ánh mắt trông đợi
liệu rằng người muốn thấy chúng ta cùng nhau
thật lòng này đã chết trước em từ lâu
thật ra anh yêu rồi
nụ cười em vẫn rạng ngời
nàng đẹp tựa một đóa hướng dương dịu êm
vì vậy mà ngày nắng khiến em đẹp thêm
na na na na na na
feeling blessed when i m with you babe
na na na na na na na na
feeling blessed when i m with you babe
na na na na na na
feeling blessed when i m with you babe
na na na na na na na na
feeling blessed when i m with you babe yeah"
123 ngôi sao - minh đinh.mp3,6gpxCkfzKZvYrbaoakZHpb,"123 ngôi sao
con mèo
hỏi ông trăng trên cao
là ối vì sao tôi nghèo
muốn làm bạn với ánh trăng
thì nằm thao thức đếch cần phải đánh răng
cuộc đời ơi sao tôi lang thang trên thế gian này một mình
nhịp tim anh đập nhanh gấp đôi
toàn thân như nồi canh sắp sôi
thời khắc của anh đang đến rồi
hồn xác đổi tanh tách đôi
anh nhếch môi
nhớ câu hỏi của mấy thằng ranh nách hôi
chúng nó lại hỏi anh cách chơi
anh đọc vanh vách trôi
bị nhắc tên khắp nơi làm anh hắt anh hắt hơi
tưởng anh cảm chỉ là cảm giác thôi
anh tìm tới những cảm giác mới
kí ức là những mảnh chắp nối
là chuỗi ngày tên anh luôn vang danh ở khắp nơi
nơi mà anh đang đứng chỗ ấy cao ngất trời
hào quang chỉ nhất thời
chợt nhận ra anh sắp rơi
anh cất lời
123 ngôi sao
con mèo
hỏi ông trăng trên cao
là ối vì sao tôi nghèo
muốn làm bạn với ánh trăng
thì nằm thao thức đếch cần phải đánh răng
cuộc đời ơi sao tôi lang thang trên thế gian này một mình
123 ngôi sao
con mèo
hỏi ông trăng trên cao
là ối vì sao tôi nghèo
muốn làm bạn với ánh trăng
thì nằm thao thức đếch cần phải đánh răng
cuộc đời ơi sao tôi lang thang trên thế gian này một mình
đếm hết chỗ này
cũng mất mấy ngày
chắc anh nên thuê người về đếm cùng
ê mấy đứa này
nhanh tay đi mày
đô la sau lưng còn cả trăm thùng
thích con xe nào
mua đi nói nhiều
mua thêm chiếc cũng không sao
ăn chơi chưa nào
dân chơi bơi vào
chơi hơn cả chơi luôn
nhưng sao anh buồn thiu
tâm tư trong anh luôn nặng trĩu
cô đơn anh tự chill
vì chưa ai thật lòng yêu thương anh
mà kim cương thì lại quá lấp lánh
yeah
lấp lánh như là ngôi sao
anh là ngôi sao
hay ngồi nghêu ngao hát ca
123 ngôi sao
con mèo
hỏi ông trăng trên cao
là ối vì sao tôi nghèo
muốn làm bạn với ánh trăng
thì nằm thao thức đếch cần phải đánh răng
cuộc đời ơi sao tôi lang thang trên thế gian này một mình
123 ngôi sao
con mèo
hỏi ông trăng trên cao
là ối vì sao tôi nghèo
muốn làm bạn với ánh trăng
thì nằm thao thức đếch cần phải đánh răng
cuộc đời ơi sao tôi lang thang trên thế gian này một mình
ngôi sao
con mèo
hỏi ông trăng trên cao ao ao ao
123 ngôi sao
con mèo
ngôi sao"
1900 hồi đó. - jun phạm.mp3,3tpfnaMz1u8fM6dBu8YQXj,"hồi đó
bọn mình ngồi bắn bi ngoài ngõ
hồi đó
cuộc sống tuy nghèo khó
nhiều thứ mua chẳng có
hồi đó
mẹ ngồi chải tóc bên quạt gió
hồi đó
một bữa cơm thịt kho
là rất chi này nọ
hồi ấy
cả bọn ngồi gấp con hạc giấy
hồi ấy
nào lá thư chuyền tay
nào đá cầu nhảy dây
hồi ấy
nhà nào mà có đầu máy
là nhất rồi đấy
cả xóm tụ về đấy
ngồi miết xem cả ngày
nhớ đến những lúc bé thơ
là la lá là la lá
cứ nghĩ cứ nhớ thế thôi
là la lá là la lá
nhớ khoảnh khắc với bạn bè
nhớ lời hứa với cha mẹ
nhớ khi ta từng sống
hết mình vì đam mê
cuộc sống cứ thế trôi
làm ta quên làm ta quên
quên đi ta cũng biết rung động
và cũng từng thương nhớ
quên tình yêu thuở ban đầu
ta vội trao tiếng yêu đầu
nhưng người chẳng gật đầu
hồi đó
mình ngồi đọc cuốn theo chiều gió
hồi đó
cả lũ chung một ngõ
mỗi tối ăn mì gõ
hồi đó
mình chẳng quên ngày đó
ngày cả lớp buồn xo
ôm nhau khóc thật to
ngày chia tay học trò
hồi đó
bọn mình ngồi bắn bi ngoài ngõ
hồi đó
cả lũ chung một ngõ
cùng nhau đang chuyện trò
nhớ đến những lúc bé thơ
là la lá là la lá
cứ nghĩ cứ nhớ thế thôi
là la lá là la lá
nhớ khoảnh khắc với bạn bè
nhớ lời hứa với cha mẹ
nhớ khi ta từng sống
hết mình vì đam mê
cuộc sống cứ thế trôi
làm ta quên làm ta quên
quên đi ta cũng biết rung động
và cũng từng thương nhớ
quên tình yêu thuở ban đầu
ta vội trao tiếng yêu đầu
nhưng người chẳng gật đầu
hồi đó
là một cuốn phim thật cũ
nhiều lúc ta bỏ quên
chẳng mấy khi bật lên
nhưng mãi luôn ở đó
hồi ấy
đã trôi xa như áng mây
hồi ấy
là chiếc quạt giấy
làm mát tâm hồn này"
1tinhyeu (feat. hustlang robber) - rap việt.mp3,3MlvHVRytWiXpSHEeZVF0I,"nhìn người việt b b b b bay mà không cần cánh kìa
shawty đứng đó ngóng trông gì
homie đôi mắt đó nó muốn nói điều chi
why you always looking lonely
vậy thì chần chờ điều gì mà giờ này còn không đi
one love one love baby all you need is one love one love
thứ duy nhất em cần là one love one love
baby all you need is one love one love
nhiều lần tự hỏi cảm giác yêu thương này đến từ đâu vậy
anh đang làm mọi thứ để cho con tim bình yên về sau này
anh đã từng trượt ngã nhạc nó kéo anh ra khỏi vũng lầy
anh có một điều ước
tất cả chúng ta đều sẽ được đứng đây
hustlang trong tim one love
dù đời có tan xong rồi hợp one love
xuống lên theo từng đợt one love
đời cứ tan xong rồi hợp one love
ai rồi cũng phải tìm thấy cho riêng mình
một hành trình và con đường riêng
tương lai mai sau dù có ra sao thì nhớ hỏi thăm thường xuyên
anh chỉ mong sao đôi mắt em thơ sẽ luôn long lanh và thật hồn nhiên
không sao đâu em anh vẫn sẽ luôn yêu em như ngày đầu tiên
tình yêu trong khu ổ chuột lớn lên từ con hẻm
thấy sự vất vả nó khiến anh không bỏ cuộc
nếu mà nói về những giai điệu mà anh thích thì bài nào em cũng thuộc
có thể anh chưa hiểu hết được thông điệp trong từng quyển sách
bằng tình yêu và sự tin tưởng thì ta sẽ lướt qua mọi thử thách
linh hồn anh là đường phố mang âm hưởng đến từ ngõ ngách
lời yêu thương nói không đúng cách thì nó sẽ trở thành lời quở trách
cảm xúc và lý trí thì vẫn luôn là hai phần tách biệt
anh mang đến nhiều góc nhìn mới của một dân chơi ngay tại việt
shawty đứng đó ngóng trông gì
homie đôi mắt đó nó muốn nói điều chi
why you always looking lonely
vậy thì chần chờ điều gì mà giờ này còn không đi
one love one love baby all you need is one love one love
thứ duy nhất em cần là one love one love
baby all you need is one love one love
cảm thấy khó nói ba từ anh yêu em
làm mấy trò lố để mà cho em xem
tỏ ra lãng tử khi mà giao lưu fan
mấy người phản bội xin lỗi anh không quen
phố thị đã tắt màn đêm đang lên đèn
sao em không ở lại baby
giờ cũng đã trễ có lẽ anh say rồi
hay là em ở lại đây đi
anh đã quá chán xuất hiện những bữa tiệc
yeah i love my city
họ đã cảm nhận anh hoàn toàn khác khi anh phát sóng ở tivi
anh thấy biết ơn em đã ở cạnh khi anh không có nhiều money
cô ấy nói muốn ở bên anh
vậy thì cứ đến and show me
one love one love baby all you need is one love one love
thứ duy nhất em cần là one love one love
baby all you need is one love one love
chìm đắm vào trong tình yêu này anh bị choáng ngợp
anh đã thấy em từ xa sắc đẹp đã khiến anh ngợi ca
cuối cùng anh cũng đã tìm ra lý do anh fall in love
anh không phải là người khoác lác nhưng yêu anh quá thích hợp
em là báu vật quý giá nhất anh từng có được
anh gọi em là my shawty số một trong tim của đời anh
cứ mỗi khi lại gần bên em thời gian trôi qua thật là nhanh
từ lần đầu gặp anh đã biết em sẽ là con dâu của mẹ thanh
ngoài kia nhiều bóng hồng nhưng mà trong đầm gì đẹp bằng sen
vượt qua nhiều chướng ngại đó là cách mà anh tìm được em
anh biết tình yêu này sẽ có ý nghĩa
nếu như hai ta cố gắng để tranh đấu
anh giấu che lấp những nỗi niềm rồi bước lên sân khấu
yo tất cả mọi người hãy cùng đưa cánh tay lên bầu trời cao
để lan tỏa tình yêu này cùng với hustlang robber nhá
không biết bạn đến từ đâu tầng lớp nào
nhưng mà mọi người đều xứng đáng có một tình yêu trong tim mà ấy
và điều duy nhất các bạn cần là
one love baby all you need is one love
one love one love baby all you need is one love one love yah h
hustlang robber
one love one love baby all you need is one love one love
thứ duy nhất em cần là one love one love
whoo o baby all you need is one love one love"
2 4 - wn.mp3,6r5o9yIc16ZvymXUKJQ1yy,"chỉ là vì nơi này
chỉ còn bóng tối cô đơn mình anh
muốn rời đi khỏi đây
chỉ vì anh quá yêu đủ
khóc nửa đi em ơi
hãy để nước mắt rơi trên làn mì
chỉ vì mọi thứ nơi đây mà thứ nơi đây
là vì anh quá yêu đuối
chỉ tìm trong giấc mơ
một mình anh ngây thơ
chỉ là người đứng chờ
chạy đi đâu em ơi
và chạy trong giấc mơ
một mình anh tìm lối
chẳng thể nào thoát xa
đêm anh lại nhớ đến em nhớ lại về chuyện cũ
nhớ lại hình bóng qua nội thân quê bên trong tâm hồn vẫn nghỉ ngủ
anh nhớ lời nói của cô gái đó không phải qua chiếc điện thoại
anh nhớ thị trấn vào ngày cháy gió ta không yêu theo kiêu hiện đại
em có cậu nhớ ngày ta ra chính xác đúng vào ngày đông trí
anh đã lặng lẽ mua đo hồng chục không có tiền ở trong ví
anh nghĩ đó là món quà kỷ niệm tận em trước lúc em bước đi
rồi chạm mình vào trong cơn phòng nhỏ nhìn bức ảnh đó đến ước mi
anh biết tình đắng như ly cà phê thắm chậm vào những suy nghĩ
thì ta không phải là cặp tình nhân nhưng có thể trở thành truy kỷ
anh không như họ anh vẫn muốn đi tìm hẹn anh của ngày đó
một ngày bình thường nhìn nổi nhớ chạy chọc trên bàn công đầy gió
tất cả phép sữa họ nguyện lại với vị khối thuốc sài gòn bạc
là cách anh cách thơ hồn vào những ngày dài còn nhạt
là cứ như thế những giai điệu xuất hiện vào hai giờ đêm
nói cho em biết trước khi nhà vẫn có một ai chở em
là vì anh quá yêu đuối
chỉ tìm trong giấc mơ
một mình anh ngây thơ
chỉ là người đứng chờ
chạy đi đâu em ơi
và chạy trong giấc mơ
một mình anh tìm lối
chẳng thể nào thoát xa"
2 5 - táo.mp3,4PfJ5TfA8niTcVbPGmkspN,"lần đầu tiên anh mong tìm ra cho riêng mình
một ai quan tâm và nghe lời anh hát
ngồi kề bên đưa anh bờ vai khi anh buồn
lặng im em khâu lành tim từng vỡ nát
có những lúc cô đơn nhưng anh không nói
lê đôi bàn chân bâng khuâng tìm đâu yên vui ngày xưa vẫn đong đầy
nếu kí ức hôm nay tan như mây khói
xin em đừng đi ngang qua đường chung ta thường đan tay bước qua
vì bóng tối khiến đôi ta về ngược lối
có những thứ anh chưa từng được nói
nếu biết trước anh không thể dừng lại
thì anh cũng đã chẳng đi
một ngày khác đã đến hôm nay
căn phòng anh cô đơn chẳng còn chút nắng
sau ô cửa giam mình trong những tiếng mơ hồ
anh nghe lời em thoáng qua nghe thời gian đứng yên nghiêng mình
nhìn mọi thứ trống vắng mông lung
xung quanh tường cao nên anh nhìn sao chẳng thấy
em ơi mình xa bao lâu rồi đã trôi đi
đôi mi của em đã khô con tim của anh tan vỡ
anh còn không nhớ nổi ngày cuối cùng trời nắng hay mưa
bên nhau hôm đó mình có nắm tay chưa
nếu chưa cho anh xin của em thêm chỉ một ngày nữa
để anh an tâm rời bỏ em không một chút dây dưa
anh không biết trước chuyện hôm nay em ơi xa là không gần
chắc em không đợi còn chân anh bị bong gân
đẩy xe về thành phố trên lưng anh nặng lắm
anh yêu em được hai năm giờ anh bệnh thì ai thăm
chắc đơn giản phần của anh là sai lầm
dù cho sâu trong thâm tâm anh nghĩ mình lâu hơn trăm năm
những thứ anh tặng em xin em giữ đừng bụi bặm
vì mình cũ kĩ được rồi nhiều vạn dặm xa xăm
anh đã khóc cười khô cả nước mắt
nhưng thực tế chia tay nhau là bước ngoặt
để mình hoàn thành trọn vẹn lí do sống trên đời
dù những thứ mình mong đợi không được bên nhau em ơi
có những lúc cô đơn nhưng anh không nói
lê đôi bàn chân bâng khuâng tìm đâu yên vui ngày xưa vẫn đong đầy
nếu kí ức hôm nay tan như mây khói
xin em đừng đi ngang qua đường chung ta thường đan tay bước qua
một ngày khác đã đến hôm nay
căn phòng anh cô đơn chẳng còn chút nắng
sau ô cửa giam mình trong những tiếng mơ hồ
anh nghe lời em thoáng qua nghe thời gian đứng yên nghiêng mình
nhìn mọi thứ trống vắng mông lung
xung quanh tường cao nên anh nhìn sao chẳng thấy
em ơi mình xa bao lâu rồi đã trôi đi
đôi mi của em đã khô con tim của anh tan vỡ
khóc cười khô cả nước mắt
nhưng thực tế chia tay nhau là bước ngoặt
để mình hoàn thành trọn vẹn lí do sống trên đời
dù những thứ mình mong đợi không được bên nhau em ơi
khóc cười khô cả nước mắt
khóc cười khô cả nước mắt
chia tay nhau là bước ngoặt
chia tay nhau là bước ngoặt
lần đầu tiên anh mong tìm ra cho riêng mình khóc cười khô cả nước mắt
nhưng thực tế chia tay nhau là bước ngoặt
ngồi kề bên đưa anh bờ vai khi anh buồn khóc cười khô cả nước mắt
nhưng thực tế chia tay nhau là bước ngoặt"
2 giờ chiều - isaac.mp3,0fSy1B6IjJm1Njij3YesGH,"đoạn
cuộc sống bao nhiêu thứ mắc mệt
ngày kiếm cơm đêm sống cho mình
ai cho tôi sức trâu để mà chơi hết chấp cuộc đời
vừa sáng nay lên tới văn phòng
bật máy lên tôi chắc ăn rồi
hôm nay tôi sẽ xong công việc này sớm gym thiệt đã
khoan đã nha ơ kìa đâu ra đống mail này đây
nên sao ta vậy thì thôi xong nốt công việc này
nay tăng ca mai họp thêm chủ nhật
rồi lết về nhà muốn đứt dây thiệt là chán quá đi là chán à
có động lực để công việc thêm tốt hơn ố ô
sáng chạy xe rồi tối cà kê quán quen ô ố ô ô ồ
sáng tập gym rồi tối làm thêm chấp luôn ố ô
sáng học thêm rồi tối luyện game tới đêm ô ố ô ô ồ
đang đuối như là trái chuối vậy pha viên cho thêm tỉnh táo nà
cuộc sống hành sấp mặt luôn vậy pha viên cho thêm xông xáo nà
nhớ mỗi ngày chiều giờ mình uống viên liền đi nè
nhớ mỗi ngày chiều giờ berocca performance mango
nhạc dạo
đoạn
cuộc sống bao nhiêu thứ mắc mệt
ngày kiếm cơm đêm sống cho mình
ai cho tôi sức trâu để mà chơi hết chấp cuộc đời
đời bán bưng ôi chóng cả mặt
hầu khách thôi là muốn sấp mặt
thôi đi nha chắc hôm nay mình thăng sớm hơn một chút
khoan đã nha ơ kìa nghe đâu thứ mình thi
hôm nay là chủ nhật thôi xong nghĩ suy gì bây giờ
bao nhiêu đây chữ thì tôi không nuốt sao cho kịp
giờ lết về nhà muốn đứt dây thiệt là chán quá đi là chán à
có động lực để công việc thêm tốt hơn ố ô
sáng chạy xe rồi tối cà kê quán quen ô ố ô ô ồ
sáng tập gym rồi tối làm thêm chấp luôn ố ô
sáng học thêm rồi tối luyện game tới đêm ô ố ô ô ồ
đang đuối như là trái chuối thì vậy viên cho thêm tỉnh táo nà
cuộc sống hành sấp mặt luôn vậy pha viên cho thêm xông xáo nà
nhớ mỗi ngày chiều giờ mình uống viên liền đi nè
nhớ mỗi ngày chiều giờ berocca performance mango
có động lực để công việc thêm tốt hơn ố ô
sáng chạy xe rồi tối cà kê quán quen ô ố ô ô ồ
sáng tập gym rồi tối làm thêm chấp luôn ố ô
sáng học thêm rồi tối luyện game tới đêm ô ố ô ô ồ"
20 phút - (s)trong.mp3,6N9GzbUV7BMIL6luxnNfig,"nhìn sâu vào mắt nhau
em chắc cũng đang mong điều anh nghĩ đến yeah yeah
mình chẳng thể che giấu
thì hãy để cho nhau một lần không quên
chẳng cần ai biết đâu
giờ tên e không còn quantrọng
vì trông em luôn đầy tham vọng
ooh ooh
đừng chần chừ quá lâu
đưa anh sâu vào trong lòng
chỉ cần nhắn số em với anh là xong
sao em vẫn single
bao nhiêu người wow
phút bên nhau
chẳng là gì đâu
chỉ cần bên anh đêm nay
nơi xa hoa không ai tìm đến
gimme minutes
về đừng nói với anh em nhớ thương một ai
sao em vẫn single
bao nhiêu người wow
phút bên nhau
chẳng là gì đâu
chỉ cần bên anh đêm nay
nơi xa hoa không ai tìm đến
gimme minutes
and i ll give you what you missing tonight
từ khi nhìn thấy nhau
anh biết chắc em mong gì từ nơi đây ohh ohh
vì chẳng thể che giấu
thì hãy nói đi em cần gì đêm nay ooh baby
chẳng cần ai biết đâu
giờ tên e không còn quantrọng
vì trông em luôn đầy tham vọng
ooh ooh
đừng chần chừ quá lâu
đưa anh sâu vào trong lòng
chỉ cần nhắn số em với anh là xong
sao em vẫn single
bao nhiêu người wow
phút bên nhau
chẳng là gì đâu
chỉ cần bên anh đêm nay
nơi xa hoa không ai tìm đến
gimme minutes
về đừng nói với anh em nhớ thương một ai
sao em vẫn single
bao nhiêu người wow
phút bên nhau
chẳng là gì đâu
chỉ cần bên anh đêm nay
nơi xa hoa không ai tìm đến
gimme minutes
and i ll give you what you missing tonight
yeahh
you bring the package babe
just you and i ohh
stay with me love
don t leave me love
be with me love tonight
stay with me love
don t leave me love
be with me love tonight
stay with me love
don t leave me love
be with me love tonight
stay with me love
don t leave me love
be with me love tonight
sao em vẫn single
bao nhiêu người wow
phút bên nhau
chẳng là gì đâu
chỉ cần bên anh đêm nay
nơi xa hoa không ai tìm đến
gimme minutes
về đừng nói với anh em nhớ thương một ai
sao em vẫn single
bao nhiêu người wow
phút bên nhau
chẳng là gì đâu
chỉ cần bên anh đêm nay
nơi xa hoa không ai tìm đến
gimme minutes
and i ll give you what you missing tonight
missing tonight
babe
ohh
yeahh
gimme minutes
and i ll give you what you missing tonight"
2000 câu hỏi vì sao - amee.mp3,3rxbssNItXaXyqc0wJUsYC,"ba giờ hơn rồi em vẫn đang nằm đây
màn đêm cuộn em vào chăn cùng bao nghĩ suy vòng xoay
mình nhắn tin chúc ngủ ngon từ nãy cơ mà
vì sao dòng tên của anh giờ này vẫn cứ sáng đèn
ừm
vì sao gần đây anh ít nói hơn hồi xưa
vì sao nhiều khi mình đang rất vui mà anh cứ buông vài câu vu vơ
vì sao dạo này tự nhiên anh rất hay bận
vì sao mình phân vân và vân vân
cố nhắm mắt nhưng em không thể nào mà ngủ được
overthinking about you
chỉ vì em quá yêu mà thôi
nhiều khi khóc đến ướt cả gối
anh chắc không biết đâu
em nghĩ suy thường rất lâu nghĩ mà đau đầu
cả một ngàn câu hỏi vì sao
hằng đêm chỉ biết hỏi vì sao
hỏi vì sao
hah ahh
hah ahh
em thường tua lại những thước phim chẳng vui
càng xem lại chỉ càng thấy mọi thứ xấu hơn mà thôi
em tự nghi hoặc về những thứ đã làm
về những điều em đã nói và cả chưa nói bao giờ
và nếu như em đang hỏi anh một ngàn câu
thì chính em cũng đang hỏi bản thân chừng một ngàn câu nữa
em tự ngăn mình nhưng không mấy đáng kể
vẫn cứ nằm phân vân và vân vân
cố nhắm mắt nhưng em không thể nào mà ngủ được
overthinking about you
chỉ vì em quá yêu mà thôi
nhiều khi khóc đến ướt cả gối hoh oh oh oh oh
anh chắc không biết đâu
em nghĩ suy thường rất lâu nghĩ mà đau đầu
cả một ngàn câu hỏi vì sao
hằng đêm chỉ biết hỏi vì sao
hỏi vì sao
hỏi vì sao
pa pa dum pa dum
pa pa da da da dum
pa dum pa dum
pa pa dum pa dum
pa pa da da da dum
pa dum pa dum
pa pa dum pa dum
pa pa da da da dum
pa dum pa dum
pa pa dum pa dum
pa pa da da da dum
pa dum pa dum"
