title,artists,spotify_popularity,release_date,spotify_genres,spotify_track_id,total_plays,total_likes_nct,spotify_streams,is_hit,release_year
She Never Cries,Hoàng Duyên,53,2025-07-04,"v-pop, vietnam indie, vietnamese lo-fi",3MDrehKu2qDxYUnbVne7B6,0.0,0.0,0.0,1,
Thiên Mệnh,Quân A.P,58,2025-06-07,"v-pop, vietnamese lo-fi",0OB5hTu7ELKeVoD6JVRo6m,0.0,0.0,0.0,1,
Anh Là Ngoại Lệ Của Em,Phương Ly,57,2023-10-05,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6KgZf5gZgF1KLNxq1qZgHP,0.0,0.0,0.0,1,
Anh Là Ai,Phương Ly,54,2019-01-09,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3gLRyMbg5nWLcuKD46Uz72,0.0,0.0,0.0,1,
Mặt Trời Của Em,Phương Ly,55,2017-10-28,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5wOpabdhyumRX782o8J4rS,0.0,0.0,0.0,1,
Say Sóng,Tăng Duy Tân,55,2024-10-29,"v-pop, vinahouse, vietnamese lo-fi",4rIBbB1vt0lEKDG2UTmfP0,0.0,0.0,0.0,1,
Nỗi Đau Đính Kèm,Anh Tú Atus,53,2024-12-10,"v-pop, vietnamese hip hop",5gn0Df0Aa7EM98shC3daR6,0.0,0.0,0.0,1,
"NGÁO NGƠ (feat. HIEUTHUHAI, ERIK, Anh Tú Atus, JSOL & Orange)",ANH TRAI SAY HI,54,2024-08-29,"v-pop, vietnamese hip hop",0BX2eDMZJrGzApf4ZGXrFi,0.0,0.0,0.0,1,
"REGRET (feat. Quân A.P, Pháp Kiều, Quang Trung, Ali Hoàng Dương & Lâm Bảo Ngọc)",ANH TRAI SAY HI,54,2024-08-29,"v-pop, vietnamese hip hop",3JIfmjJbanxJkwaPzYa2gN,0.0,0.0,0.0,1,
"HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều)",ANH TRAI SAY HI,61,2024-08-06,"v-pop, vietnamese hip hop",7gSQxwCpEMjg8wb6Y3oqe7,0.0,0.0,0.0,1,
Đi Để Trở Về,SOOBIN,54,2017-01-17,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",2qc4FFBylFT5YhvMJMX50R,0.0,0.0,0.0,1,
