file_name,spotify_track_id,sent_lexicon,score_lexicon,sent_phobert,conf_phobert,final_sentiment,lyric_total_words,lexical_diversity,noun_count,verb_count,adj_count
0 ai ngoài em - the wind.mp3,2SChI9PnwA9Sf59KGnRuKv,neutral,0.0044,positive,0.9859,positive,195.0,0.6,72.0,51.0,6.0
1000 ánh mắt - shiki.mp3,5XfGQZA0ioQAWUjlyJRcHc,positive,0.0111,positive,0.9904,positive,271.0,0.3838,111.0,83.0,15.0
123 ngôi sao - minh đinh.mp3,6gpxCkfzKZvYrbaoakZHpb,negative,-0.034,negative,0.7886,negative,392.0,0.4209,127.0,110.0,22.0
1900 hồi đó. - jun phạm.mp3,3tpfnaMz1u8fM6dBu8YQXj,negative,-0.0919,neutral,0.5848,negative,320.0,0.4437,104.0,92.0,13.0
1tinhyeu (feat. hustlang robber) - rap việt.mp3,3MlvHVRytWiXpSHEeZVF0I,neutral,0.0094,positive,0.9545,positive,746.0,0.3968,259.0,241.0,34.0
2 4 - wn.mp3,6r5o9yIc16ZvymXUKJQ1yy,negative,-0.053,positive,0.7875,negative,308.0,0.5357,101.0,89.0,16.0
2 5 - táo.mp3,4PfJ5TfA8niTcVbPGmkspN,negative,-0.0361,neutral,0.8326,negative,514.0,0.3794,171.0,151.0,39.0
2 giờ chiều - isaac.mp3,0fSy1B6IjJm1Njij3YesGH,negative,-0.04,neutral,0.8965,negative,376.0,0.375,118.0,117.0,25.0
20 phút - (s)trong.mp3,6N9GzbUV7BMIL6luxnNfig,negative,-0.0304,positive,0.9909,negative,424.0,0.2524,154.0,129.0,15.0
2000 câu hỏi vì sao - amee.mp3,3rxbssNItXaXyqc0wJUsYC,negative,-0.0276,positive,0.8061,negative,330.0,0.3758,93.0,84.0,28.0
2014 - ronboogz.mp3,5juq95pMEYdSzCXKYR5J69,negative,-0.0243,negative,0.8368,negative,452.0,0.573,138.0,130.0,30.0
2025 - richie d. icy.mp3,3H0crn1dmj1leEzTCws5SW,negative,-0.0344,neutral,0.9082,negative,616.0,0.5195,202.0,199.0,43.0
24h - lyly.mp3,4inMQ83GNpQ2OHDredH5hW,negative,-0.0832,positive,0.7467,negative,610.0,0.3361,155.0,191.0,30.0
258 - pc.mp3,5phC3U5ofvJzPZMaJbCl7M,negative,-0.0369,positive,0.7974,negative,577.0,0.3501,168.0,163.0,36.0
29 - wxrdie.mp3,5AsZiMkbxLlR68WM3HHKWZ,neutral,0.0072,negative,0.9156,neutral,553.0,0.5443,173.0,158.0,17.0
2am - justatee.mp3,3DLtPObflLQBodZN8qGODT,negative,-0.0236,positive,0.9898,negative,699.0,0.2904,286.0,197.0,47.0
2goilays - teuyungboy.mp3,4TQ0Jgrhe4V9MMqjKViub5,neutral,0.0001,neutral,0.8953,neutral,1055.0,0.4313,356.0,399.0,26.0
3 bích - pháp kiều.mp3,3yrqazrdlrmvti4dn9ftic,neutral,0.0065,positive,0.8906,neutral,707.0,0.454,210.0,237.0,30.0
