title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
"(từng là) boyfriend, girlfriend",min,nan,apple,51,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",7B2UpgEZe68OdfKzBb8JZq,tunglaboyfriendgirlfriend||min,"('từng là boyfriend, girlfriend', 'min', 'nan')"
0 AI NGHĨ,Wxrdie,nan,"apple, spotify",60,2023-03-16,"vietnamese hip hop, v-pop",2kt7udEZmN2kj1Jsl118zY,0ainghi||wxrdie,"('0 ai nghĩ', 'wxrdie', 'nan')"
0 ai ngoài em,The Wind,nan,bsides_non_hit,9,2025-09-11,"vietnamese hip hop, v-pop",2SChI9PnwA9Sf59KGnRuKv,0aingoaiem||thewind,"('0 ai ngoài em', 'the, wind', 'nan')"
01 Chuyện Dở Dang,Ngọt,nan,new_hits_scraped_old,51,2024-02-23,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",3vWCRttEOSRmXZs8jfAPSX,01chuyendodang||ngot,"('01 chuyện dở dang', 'ngọt', 'nan')"
04 Thắp Hương 05 Hoá Vàng,Ngọt,nan,bsides_non_hit,42,2024-02-23,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",6e7oHe23DEca4sEOgu5bPd,04thaphuong05hoavang||ngot,"('04 thắp hương 05 hoá vàng', 'ngọt', 'nan')"
06 Quen Lắm,Ngọt,nan,bsides_non_hit,43,2024-08-30,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",24YjMHwrN1di1vXrpj4z3C,06quenlam||ngot,"('06 quen lắm', 'ngọt', 'nan')"
07 Leo Đèo,Ngọt,nan,bsides_non_hit,26,2024-08-30,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",1oTgxAlDRyPpwDD2tAx4VG,07leodeo||ngot,"('07 leo đèo', 'ngọt', 'nan')"
1 mũi tên trúng 2 con tim,MiiNa,nan,bsides_non_hit,12,2025-04-14,v-pop,0kcbXWB5jS9b1KSinLWYp1,1muitentrung2contim||miina,"('1 mũi tên trúng 2 con tim', 'miina', 'nan')"
10 mất 1 còn không,lê gia bảo,bmz,"nct, zingmp3",47,2025-05-08,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",4NksYk8JJnriSPy5eVj5MW,10mat1conkhong||legiabao,"('10 mất 1 còn không', 'bảo, gia, lê', 'bmz')"
10 ngàn năm,pc,nan,"new_hits_scraped_old, spotify",64,2019-12-21,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",2pm7K14nHj2fLrpU8j9bit,10ngannam||pc,"('10 ngàn năm', 'pc', 'nan')"
1000 ánh mắt,shiki,obito,"apple, new_hits_scraped_old, spotify",64,2024-06-27,"vietnamese hip hop, v-pop, vietnam indie",5XfGQZA0ioQAWUjlyJRcHc,1000anhmat||shiki,"('1000 ánh mắt', 'shiki', 'obito')"
123 Ngôi Sao,Minh Đinh,nan,bsides_non_hit,16,2025-05-16,"vietnam indie, v-pop, vietnamese hip hop",6gpxCkfzKZvYrbaoakZHpb,123ngoisao||minhdinh,"('123 ngôi sao', 'minh, đinh', 'nan')"
2 4,W/N,nan,"new_hits_scraped, new_hits_scraped_old",59,2024-07-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",6r5o9yIc16ZvymXUKJQ1yy,24||wn,"('2 4', 'n, w', 'nan')"
2000 câu hỏi vì sao,AMEE,nan,bsides_non_hit,46,2024-08-02,"v-pop, vietnamese hip hop, vietnam indie",3rxbssNItXaXyqc0wJUsYC,2000cauhoivisao||amee,"('2000 câu hỏi vì sao', 'amee', 'nan')"
2014,Ronboogz,nan,bsides_non_hit,46,2024-05-19,"v-pop, vietnamese hip hop, vietnam indie",5juq95pMEYdSzCXKYR5J69,2014||ronboogz,"('2014', 'ronboogz', 'nan')"
2025,Richie D. ICY,nan,bsides_non_hit,38,2025-10-10,"vietnamese hip hop, v-pop",3H0crn1dmj1leEzTCws5SW,2025||richiedicy,"('2025', 'd, icy, richie', 'nan')"
24h,lyly,magazine,spotify,59,2020-10-28,"v-pop, vietnamese hip hop, vietnam indie",4inMQ83GNpQ2OHDredH5hW,24h||lyly,"('24h', 'lyly', 'magazine')"
258,PC,nan,bsides_non_hit,38,2025-08-25,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",5phC3U5ofvJzPZMaJbCl7M,258||pc,"('258', 'pc', 'nan')"
2am,justatee,bigdaddy,spotify,64,2022-05-10,"v-pop, vietnamese hip hop",3DLtPObflLQBodZN8qGODT,2am||justatee,"('2am', 'justatee', 'bigdaddy')"
3 1 0 7,w/n,"duongg, nâu","new_hits_scraped, new_hits_scraped_old, spotify",61,2024-06-26,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",5xuaCJaNAqRLwV7OO5zPiF,3107||wn,"('3 1 0 7', 'n, w', 'duongg, nâu')"
3 bích,pháp kiều,tlinh,nct,59,2025-10-15,"v-pop, vietnamese hip hop",3yrQAZrdlrMVtI4DN9FTIc,3bich||phapkieu,"('3 bích', 'kiều, pháp', 'tlinh')"
