title,artists,featured_artists,album_type,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,main_artist_id,is_hit,file_name,Audio_Error,Lyrics_Error
"""Rắc Rối"" Đáng Yêu (Aya Công Chúa Cầu Vồng)",Liên Quân Mobile,MYLINA,single,20.0,2024-07-31,"v-pop, vietnamese hip hop, vietnam indie",5qiOs5e3De5vcMGhrUTr0Z,7KHN9D81AGKzY7bUSL78FA,0.0,rắc rối đáng yêu (aya công chúa cầu vồng) - liên quân mobile.mp3,OK,OK
"""Sorry, Anh Mất Em Rồi""",OgeNus,Orange,album,22.0,2025-04-17,"v-pop, vietnamese hip hop",5imdMKpFNMIH8KKj4mPlIq,5mPbBOU2KMFfStepNZ027p,0.0,"sorry, anh mất em rồi - ogenus.mp3",OK,OK
#760Roses,Sixkie Dawgz,"Eska, Dobie",single,22.0,2024-05-31,v-pop,3TAlQkOJCcejv6lFACN3ZX,3gdsVSks0f5ifaXSBbSZEO,0.0,#760roses - sixkie dawgz.mp3,OK,OK
#ARCSK (feat. DBaola),Da LAB,DBaola,single,8.0,2018-08-17,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",5eEeWeJtnjF4JlRLJ5KXiv,6zUWZmyi5MLOEynQ5wCI5f,0.0,#arcsk (feat. dbaola) - da lab.mp3,OK,OK
$A MILO (feat. $A Milo),RAP VIỆT,$A Milo,single,6.0,2022-01-10,"vietnamese hip hop, v-pop",0oHXTJstSqAs00CIkkpgUG,1cPpd989kghzlZqfpP4KwL,0.0,$a milo (feat. $a milo) - rap việt.mp3,OK,OK
'Yêu Yêu Yêu',Ban nhạc Hương Mùa Hè,SUNI,compilation,35.0,2025-07-04,"v-pop, vietnam indie, vietnamese hip hop",4JtgDzRD1iXrABbvXm7I8M,6rjeIzqCIxVgbaMVmIrySW,1.0,'yêu yêu yêu' - ban nhạc hương mùa hè.mp3,OK,OK
'em sẽ cười tươi vào ngày anh cưới',Mỹ Mỹ,Osad,album,39.0,2025-10-16,v-pop,3UhCggf9qUqBIjv1Lgrd5K,21trGUfOb8qkRjI4EyF1qm,0.0,'em sẽ cười tươi vào ngày anh cưới' - mỹ mỹ.mp3,OK,OK
(bé),Ngọt,,album,34.0,2019-06-10,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",5FJs0VIIGdFZ1qc692PG9w,0V2DfUrZvBuUReS1LFo5ZI,1.0,(bé) - ngọt.mp3,OK,OK
(cùng với) Em,Hào,,single,17.0,2025-01-08,"vietnam indie, v-pop, vietnamese lo-fi",7352KqZFGbjwByfZbb8kT4,41o2x1AJ6KzUiz6JxYtCtJ,0.0,(cùng với) em - hào.mp3,OK,OK
(sau đây là) DỰ BÁO THỜI TIẾT (cho các vùng vào ngày mai),Ngọt,,album,33.0,2019-06-10,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",5pJ70VyPyN0AyhAdF5GxSJ,0V2DfUrZvBuUReS1LFo5ZI,1.0,(sau đây là) dự báo thời tiết (cho các vùng vào ngày mai) - ngọt.mp3,OK,OK
