title,artists,featured_artists,album_type,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,artist_id,artist_followers,artist_popularity,source,match_key
"""rắc rối"" đáng yêu (aya công chúa cầu vồng)",liên quân mobile,mylina,single,20.0,2024-07-31,"v-pop, vietnamese hip hop, vietnam indie",5qiOs5e3De5vcMGhrUTr0Z,7KHN9D81AGKzY7bUSL78FA,1313066.0,63.0,auto_fetch_missing,racroidangyeuayacongchuacauvong||lienquanmobile
#760roses,sixkie dawgz,"eska, dobie",single,27.0,2024-05-31,v-pop,3TAlQkOJCcejv6lFACN3ZX,3gdsVSks0f5ifaXSBbSZEO,3330.0,41.0,official,760roses||sixkiedawgz
#arcsk (feat. dbaola),da lab,dbaola,single,11.0,2018-08-17,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",5eEeWeJtnjF4JlRLJ5KXiv,6zUWZmyi5MLOEynQ5wCI5f,1230645.0,62.0,official,arcsk||dalab
#colacolor,lăng ld,kriss ngo,single,8.0,2023-06-14,"vietnamese hip hop, v-pop",2jsKbTpT1KdUW1QysWrHkC,0EOMdQwzUG6CKh9oWvcANr,36012.0,44.0,auto_fetch_missing,colacolor||langld
#masono,pjpo,"lăng ld, dlow",single,17.0,2022-08-12,"vietnamese hip hop, v-pop",3l6O7slMs4t2T3VN3AlpWs,0EOMdQwzUG6CKh9oWvcANr,36012.0,44.0,auto_fetch_missing,masono||pjpo
'em chờ anh,mỹ tâm,,album,5.0,2018-03-01,"v-pop, vietnamese bolero, vietnam indie",3kennJm8zU0oFht4EHXyM6,1CWwyDPjCowRTO4p6A7r6g,1985748.0,52.0,official,emchoanh||mytam
'em sẽ cười tươi vào ngày anh cưới',mỹ mỹ,osad,album,40.0,2025-10-16,v-pop,3UhCggf9qUqBIjv1Lgrd5K,21trGUfOb8qkRjI4EyF1qm,43694.0,56.0,official,emsecuoituoivaongayanhcuoi||mymy
(bé),ngọt,,album,36.0,2019-06-10,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",5FJs0VIIGdFZ1qc692PG9w,0V2DfUrZvBuUReS1LFo5ZI,1066727.0,59.0,official,be||ngot
(sau đây là) dự báo thời tiết (cho các vùng vào ngày mai),ngọt,,album,36.0,2019-06-10,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",5pJ70VyPyN0AyhAdF5GxSJ,0V2DfUrZvBuUReS1LFo5ZI,1066727.0,59.0,official,saudayladubaothoitietchocacvungvaongaymai||ngot
(thu).,thaison!,"mer, vantacrow",single,27.0,2023-12-10,"vietnam indie, v-pop",6lmphfnWmsyxVxG5wh9pag,1VQyG9aks9QYQYzwmP12Fz,46059.0,47.0,official,thu||mer
(tôi) đi trú đông,ngọt,,album,39.0,2019-06-10,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",2kALQoFlKxSaerOCFB1vdm,0V2DfUrZvBuUReS1LFo5ZI,1066727.0,59.0,official,toiditrudong||ngot
"(từng là) boyfriend, girlfriend",min,,album,51.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",7B2UpgEZe68OdfKzBb8JZq,0IdAjS2LRieBR3gzoazdAw,1116732.0,63.0,official,tunglaboyfriendgirlfriend||min
+ 1 vết xước,charmy pham,tuimi,album,30.0,2025-12-01,"v-pop, vinahouse",5L5Pfsnzn49cjNZvzi3FNq,6jFvKq4gMkQ50joURHPGXO,435400.0,46.0,official,1vetxuoc||charmypham
