Date,Rank,Title,Artist,Featured_Artists,Days_On_Chart,Peak_Position,Peak_Count,Daily_Streams,Streams_Change,Seven_Day_Streams,Seven_Day_Change,Total_Streams,Source
2025-10-31,2,chẳng phải tình đầu sao đau đến thế,MIN,"Dangrangto, antransax",7,3,1,137486,9747,767007,133598,767007,SPOTIFY
2025-10-31,3,Không Buông,Hngle,Ari,58,2,18,125202,570,900087,-1671,6227205,SPOTIFY
2025-10-31,4,In Love,Low G,JustaTee,8,2,2,124781,14923,739348,91715,789334,SPOTIFY
2025-10-31,7,Em,Binz,,4,10,1,89351,84373,241466,84373,241466,SPOTIFY
2025-10-31,8,Exit Sign,HIEUTHUHAI,marzuz,603,3,1,88788,-1407,637978,-1370,53721940,SPOTIFY
2025-10-31,9,Mo,Vũ Cát Tường,,1129,4,1,88523,85078,594868,5260,37336565,SPOTIFY
2025-10-31,10,Nắng có mang em về,Shartnuss,"Tr.D, Phankeo",623,4,1,87308,89923,593147,2630,26203747,SPOTIFY
2025-10-31,11,Âm Thầm Bên Em,Sơn Tùng M-TP,,1835,4,1,85403,83098,583429,12711,43789295,SPOTIFY
2025-10-31,12,Wrong Times,Puppy,Dangrangto,712,3,16,83359,-1916,563596,5261,48779724,SPOTIFY
2025-10-31,13,Chuyện Đôi Ta,Emcee L (Da LAB),Muộii (Starry Night),1428,2,7,82317,-9903,494996,-8408,67823531,SPOTIFY
2025-10-31,14,một đời,14 Casper,"Bon Nghiêm, buitruonglinh",577,10,1,78630,66954,495913,1217,30427778,SPOTIFY
2025-10-31,15,Anh Đã Không Biết Cách Yêu Em,Quang Đăng Trần,,88,8,1,77676,81931,559053,2036,5359771,SPOTIFY
2025-10-31,16,NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,ANH TRAI SAY HI,"Vũ Cát Tường, Karik, Negav, Ngô Kiến Huy, Jey B",31,2,5,76738,3031,528265,-11879,3534865,SPOTIFY
2025-10-31,17,KHÔNG ĐAU NỮA RỒI,EM XINH SAY HI,"52Hz, Orange, Châu Bùi, Mỹ Mỹ, Pháp Kiều",129,1,1,73569,2320,493002,-471,10899531,SPOTIFY
2025-10-31,18,Phép Màu,MAYDAYs,Minh Tốc & Lam,248,2,12,72912,92,562302,9394,22242992,SPOTIFY
2025-10-31,19,Ngàn Năm Ánh Sáng,Đặng Vĩnh Thịnh,BMZ,84,5,1,72665,71393,416736,23317,5453344,SPOTIFY
2025-10-31,20,Lý Do Nào Để Quay Lại Với Nhau,PAR SG,New$oulZ,386,8,1,72588,57779,430416,-5313,10920184,SPOTIFY
2025-10-31,21,vạn vật như muốn ta bên nhau,RIO,,202,4,1,72468,68299,519313,-2324,14270485,SPOTIFY
2025-10-31,22,Nói Dối,Ronboogz,,724,3,3,72122,3592,454481,-5251,27746159,SPOTIFY
2025-10-31,23,NGƯỜI ĐẦU TIÊN,EM XINH SAY HI,Juky San,72,2,1,70778,-2490,540963,2435,6389149,SPOTIFY
2025-10-31,24,DANCING IN THE DARK,SOOBIN,,231,3,8,70597,2855,499934,2831,20782291,SPOTIFY
2025-10-31,25,Không Thời Gian,Dương Domic,,38,6,1,70415,79256,506168,-1813,2885140,SPOTIFY
2025-10-31,26,vết thương,Fishy,,165,10,1,69684,73240,502596,27,8594858,SPOTIFY
2025-10-31,27,giá như,SOOBIN,,567,9,1,67278,62006,396445,3560,26920422,SPOTIFY
2025-10-31,28,Bình Yên,Vũ.,Binz,427,3,5,66104,13155,507876,23306,38743112,SPOTIFY
2025-10-31,29,Từng Ngày Yêu Em,buitruonglinh,,298,8,1,65681,76624,484516,4140,19776288,SPOTIFY
2025-10-31,30,Mất Kết Nối,Dương Domic,,342,1,2,61814,4847,400992,-1540,41397006,SPOTIFY
2025-10-31,31,Ngày Này Năm Ấy,Việt Anh,,82,11,1,59590,63328,449879,2509,4774172,SPOTIFY
2025-10-31,32,Không Thể Say,HIEUTHUHAI,,925,7,1,58002,66725,481012,3892,56506278,SPOTIFY
2025-10-31,33,Có Em,Madihu,Low G,1273,2,1,57220,-8289,397966,-383,41835785,SPOTIFY
2025-10-31,34,TIẾC CHO EM,RHYDER,,13,7,1,55225,58717,404875,6919,794511,SPOTIFY
2025-10-31,35,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,,10,34,1,54900,58112,335498,31235,411826,SPOTIFY
2025-10-31,36,Buông Đôi Tay Nhau Ra,Sơn Tùng M-TP,,838,3,1,54701,-5394,471801,3183,24129757,SPOTIFY
2025-10-31,38,một bài hát không vui mấy - Extended Version,T.R.I,"Dangrangto, Donal",298,17,1,54134,49197,387718,-7857,15634817,SPOTIFY
2025-10-31,39,Nơi Này Có Anh,Sơn Tùng M-TP,,2116,7,1,53872,53754,390019,1407,31744654,SPOTIFY
2025-10-31,40,nhắn nhủ,Ronboogz,,685,9,1,53498,50350,342332,-1832,36282397,SPOTIFY
2025-10-31,41,Love is,Dangrangto,,369,7,1,51822,54196,342306,9432,23239321,SPOTIFY
2025-10-31,42,tâm trí lang thang,Ánh Sáng AZA,Negav,148,7,1,51517,41537,298749,-1381,7146854,SPOTIFY
