title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,NCT_appearances,NCT_peak_rank,NCT_total_likes,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_total_likes,ZINGMP3_total_plays
người đầu tiên,juky san,buitruonglinh,"apple, nct, spotify, zingmp3",68,2025-08-18,v-pop,3qKeW2XJFZU5CvOQKStQW6,4,3.0,,57.0,98.8,20.0,11.0,11.0,3.0,14.0,1134778.0,3.0,9.0,5.0,20360.0,17.0,15.0,14000.0,506000.0
in love,low g,justatee,"apple, nct, spotify, zingmp3",66,2025-10-21,"vietnamese hip hop, v-pop, vietnam indie",7uUuftbcr94tzGOCJSM25u,4,2.0,,50.0,95.52,10.0,3.0,13.0,2.0,23.0,2586361.0,2.0,10.0,2.0,28629.0,17.0,26.0,6000.0,548000.0
anh đã không biết cách yêu em,quang đăng trần,,"apple, nct, spotify, zingmp3",66,2025-07-05,"vietnamese lo-fi, v-pop, vinahouse",2daxUR0gVJr2dOmOtYvW8R,4,2.0,,50.0,95.52,10.0,34.0,13.0,13.0,103.0,6485563.0,8.0,10.0,2.0,134072.0,17.0,3.0,405000.0,20700000.0
không buông,hngle,ari,"apple, nct, spotify, zingmp3",70,2025-08-25,v-pop,1ApIGNgp1azc0qB61x4GzG,4,3.0,,50.0,95.12,10.0,5.0,13.0,3.0,73.0,8080827.0,2.0,10.0,3.0,80388.0,17.0,12.0,73000.0,3700000.0
không thời gian,dương domic,,"apple, nct, spotify, zingmp3",67,2025-09-20,"v-pop, vietnamese hip hop",6GUKRhIsWxA7VuZW8MKQLG,4,6.0,,50.0,93.92,10.0,37.0,13.0,6.0,53.0,4268168.0,6.0,10.0,9.0,45971.0,17.0,18.0,44000.0,2300000.0
người như anh xứng đáng cô đơn,anh trai say hi,"vũ cát tường, karik, negav, ngô kiến huy, jey b","apple, nct, spotify, zingmp3",68,2025-09-29,"v-pop, vietnamese hip hop",5u5AsK8JLgkr154QHZjJqh,4,8.0,,50.0,93.12,10.0,12.0,13.0,14.0,46.0,4517378.0,2.0,10.0,8.0,69514.0,17.0,9.0,42000.0,3000000.0
không đau nữa rồi,em xinh say hi,"orange, châu bùi, mỹ mỹ, pháp kiều, 52hz","apple, nct, spotify, zingmp3",67,2025-06-23,v-pop,1uiqiUzPn2EJpvHDy84PEZ,4,8.0,,50.0,93.12,10.0,8.0,13.0,17.0,144.0,11882114.0,1.0,10.0,23.0,115249.0,17.0,41.0,88000.0,7500000.0
còn gì đẹp hơn (mưa đỏ original soundtrack),nguyễn hùng,,"apple, nct, spotify, zingmp3",65,2025-07-27,"v-pop, vietnam indie",5zXCoF69UxPNLrpar8Rk7e,4,13.0,,50.0,91.12,10.0,35.0,13.0,42.0,108.0,8067435.0,1.0,10.0,13.0,131686.0,17.0,24.0,124000.0,7400000.0
đoạn kịch câm,anh trai say hi,"congb, negav, b ray, codynamvo, phạm đình thái ngân, mỹ mỹ","apple, nct, spotify, zingmp3",56,2025-11-03,"v-pop, vietnamese hip hop",703nPWb6qOClgjJljvUx7Y,4,7.0,,44.0,90.36,10.0,20.0,10.0,29.0,11.0,586327.0,29.0,7.0,7.0,15893.0,17.0,9.0,10000.0,392000.0
hơn là bạn,anh trai say hi,"ngô kiến huy, vũ cát tường, karik, vương bình, sơn.k, min","apple, nct, spotify, zingmp3",52,2025-11-03,"v-pop, vietnamese hip hop",6HfodJwwVoCsygZqZ2xKYN,4,13.0,,41.0,86.38,10.0,64.0,7.0,60.0,10.0,384168.0,60.0,7.0,13.0,12353.0,17.0,28.0,7000.0,300000.0
kho báu,(s)trong,,"apple, nct, spotify, zingmp3",64,2025-08-14,"v-pop, vietnam indie",2qrpmvkxE0oz78ym1LEvXd,3,4.0,,48.0,86.16,17.0,8.0,,,,,,14.0,4.0,139885.0,17.0,37.0,63000.0,6500000.0
người đầu tiên,em xinh say hi,juky san,"nct, spotify, zingmp3",68,2025-08-18,v-pop,3qKeW2XJFZU5CvOQKStQW6,3,5.0,,40.0,81.55,,,13.0,5.0,87.0,7881414.0,2.0,10.0,16.0,65464.0,17.0,8.0,48000.0,3900000.0
love game,low g,tlinh,"apple, nct, spotify, zingmp3",63,2025-09-11,"vietnamese hip hop, v-pop, vietnam indie",0x7rhEP1Tak1guiTYODlic,4,19.0,,35.0,80.82,10.0,19.0,12.0,58.0,63.0,3722676.0,3.0,10.0,33.0,32626.0,3.0,90.0,11000.0,788000.0
ngày này năm ấy,việt anh,,"apple, nct, spotify, zingmp3",65,2025-07-12,"vinahouse, v-pop",1WbTOu4D2oHK9fg2qR6msd,3,7.0,,40.0,80.75,,,13.0,31.0,97.0,5587989.0,11.0,10.0,9.0,80757.0,17.0,7.0,131000.0,7200000.0
em không cần,hannie,,"nct, spotify, zingmp3",57,2025-10-16,"v-pop, vinahouse",3M8XPtbFW7xWyz2JmuDcce,3,1.0,,35.0,80.52,,,8.0,68.0,19.0,708993.0,67.0,10.0,16.0,14087.0,17.0,1.0,10000.0,493000.0
đa nghi,anh trai say hi,"negav, hải nam, codynamvo, dillan hoàng phan","apple, nct, spotify, zingmp3",62,2025-10-13,"v-pop, vietnamese hip hop",5ip4iGkbZNrihMGHAqOgMl,4,15.0,,31.0,80.32,2.0,79.0,2.0,68.0,24.0,1028166.0,21.0,10.0,15.0,23595.0,17.0,18.0,15000.0,903000.0
