Date,Rank,Title,Artist,Featured_Artists,Source,Duration,URL,Total_Likes,Total_Plays,chart_date
2025-10-31,1.0,Thật Không Giống Ai (From Thà Cô Đơn),Vicky Nhung,,ZINGMP3,04:07,https://zingmp3.vn/bai-hat/That-Khong-Giong-Ai-From-Tha-Co-Don-Vicky-Nhung/Z8A6IOWO.html,16000.0,,2025-12-09
2025-10-31,2.0,Họa Sĩ Tồi,Thái Học,,ZINGMP3,04:43,https://zingmp3.vn/bai-hat/Hoa-Si-Toi-Thai-Hoc/Z88IIB8B.html,212000.0,9100000.0,2025-12-09
2025-10-31,3.0,Mỹ Vị Cuộc Đời,Trung Quân,,ZINGMP3,05:06,https://zingmp3.vn/bai-hat/My-Vi-Cuoc-Doi-Trung-Quan/Z8AOAC0O.html,1000.0,76000.0,2025-12-09
2025-10-31,4.0,Em Thua Cô Ta,Min Quỳnh Anh,,ZINGMP3,04:29,https://zingmp3.vn/bai-hat/Em-Thua-Co-Ta-Min-Quynh-Anh/Z89Z7Z0A.html,105000.0,2100000.0,2025-12-09
2025-10-31,5.0,Canh Bạc Hôn Nhân,LaLa Trần,Nguyễn Hồng Thuận,ZINGMP3,05:35,https://zingmp3.vn/bai-hat/Canh-Bac-Hon-Nhan-LaLa-Tran-Nguyen-Hong-Thuan/Z8AIA6D7.html,11000.0,273000.0,2025-12-09
2025-10-31,6.0,Anh Đã Không Biết Cách Yêu Em,Quang Đăng Trần,,ZINGMP3,04:06,https://zingmp3.vn/bai-hat/Anh-Da-Khong-Biet-Cach-Yeu-Em-Quang-Dang-Tran/Z870AWF8.html,381000.0,18900000.0,2025-12-09
2025-10-31,7.0,Cạn Dòng Ướt Mi,Dee Trần,,ZINGMP3,04:33,https://zingmp3.vn/bai-hat/Can-Dong-Uot-Mi-Dee-Tran/Z8AUA078.html,1000.0,57000.0,2025-12-09
2025-10-31,8.0,Mình Là Người Yêu Cũ,Khả Hiệp,,ZINGMP3,04:53,https://zingmp3.vn/bai-hat/Minh-La-Nguoi-Yeu-Cu-Kha-Hiep/Z877Z7EW.html,199000.0,8500000.0,2025-12-09
2025-10-31,9.0,Quyền Yếu Đuối,MiiNa,"RIN9, DREAMeR",ZINGMP3,02:55,https://zingmp3.vn/bai-hat/Quyen-Yeu-Duoi-MiiNa-RIN9-DREAMeR/Z89AI86A.html,42000.0,1100000.0,2025-12-09
2025-10-31,10.0,10 Mất 1 Còn Không,Lê Gia Bảo,BMZ,ZINGMP3,04:50,https://zingmp3.vn/bai-hat/10-Mat-1-Con-Khong-Le-Gia-Bao-BMZ/Z8ZI9OID.html,363000.0,21500000.0,2025-12-09
