timestamp,query,action,intent_ms,backend_ms,result_ids,result_scores
2026-05-11 14:34:24,Bat nahc nhah va cag,DISCOVER_MUSIC,80.06,4481.73,6vSyybihp3S6rof4kIMuak|6i9DeSRJl6WdY43FdyG7Si|0iBlQqIH3Lx9MgCjQf9maI|3WcbWVCIzhL34CBTZt3HAY|5QkAC4sZiLibRKbEe4yH92,41.0|40.82|39.58|34.73|34.06
2026-05-11 14:36:30,Có bài nào của Trịnh Thăng Bình mà buồn không?,DISCOVER_MUSIC,37.4,2646.06,1Szl9lPaJ750Hn2hRX9QI0|65coxKC1JPMqUYVbx616Vj|6kSnk1wRjfSV2UcVHGyYx1|2Newlih65Sx6J09yKLZOKQ|6sR8RE1cyGfpzhF6rTeTkk,64.31|62.71|60.64|58.13|55.31
2026-05-11 14:37:38,Có bài nào của Trịnh Thăng Bình mà buồn không?,DISCOVER_MUSIC,45.84,1811.26,1Szl9lPaJ750Hn2hRX9QI0|65coxKC1JPMqUYVbx616Vj|6kSnk1wRjfSV2UcVHGyYx1|2Newlih65Sx6J09yKLZOKQ|6sR8RE1cyGfpzhF6rTeTkk,64.31|62.71|60.64|58.13|55.31
2026-05-11 14:49:57,Những bài Pop của Miu Lê vibe bình yên đi.,DISCOVER_MUSIC,69.63,1839.46,7GPlwRnUdLIH2dqe5xpnyZ|5d13XA4256WXujmAaFTr7O|4DDHMiANxbKepayNuhjbSk|7ct4enHE3PUFfqukQDrN7h|3mfHBC2dQ4ziQu3O5lWrt1,74.26|73.19|71.62|69.87|63.7
2026-05-11 14:50:25,tim nhac rap cua tlinh vibe binh yen,DISCOVER_MUSIC,76.44,2166.47,5ouxRyInSdRBQubu3KTd97|0uVHdmFQLlfm5gvAv9r1i7|222NYCZ0cVyVprZJqGp4rf|31QPr1F5w5uYNs8T27Gfrr|75tuJwtYniREYFd8lKrRtL,79.21|78.23|76.88|75.48|73.87
2026-05-11 14:50:30,Cho mình nghe nhạc của Tùng Dương thể loại Indie yêu đời,DISCOVER_MUSIC,40.14,863.47,6ow5JZLwTeMlky1r0C1GcZ,69.51
2026-05-11 14:50:42,Nhạc của BIG WIND về chủ đề tình yêu lãng mạn,DISCOVER_MUSIC,44.32,1874.93,3mP6obvDBm2OEAMuGK7EQ8,62.91
2026-05-11 14:50:47,rcm bài bùn của MiiNa dòng Balad,DISCOVER_MUSIC,50.28,752.24,0iqM1sFRGxdmU59D0ZFSiV,59.73
2026-05-11 14:52:10,Có bài nào của Văn Mai Hương sôi động không?,DISCOVER_MUSIC,79.07,1867.97,3e83hKQLYG116od0SJUhPd|1OLYKamNQ9Zrpi7fL0iFv6|7sS9OQFgQT6j0BVefmFO13|73YA19nNitv1AzmxQlabGq|0KnWLhf5GqPEC4m7sHhxrY,67.65|66.23|64.08|57.39|54.37
2026-05-11 14:52:35,Nhạc Pop buồn của Vicky Nhung,DISCOVER_MUSIC,85.99,2086.46,1gZi8QJepq23St5aCe9ws1|7Ao6MuRitN8bnKMqb9zJdn|7HgswqdVJmWXmsfMKvawop|4oD1h4pXJi1DDicTmcocvx|28pdR27ksvbwEDuLy8pb4r,71.92|70.71|64.81|62.72|60.23
2026-05-11 14:52:41,Tìm nhạc Indie Pop chill chill của SIVAN,DISCOVER_MUSIC,50.76,579.42,1rVTKF2XF1l3OqHoXNa4kc|7FvtXQhi9UcSmHuUisbdzN|6VtfS06eULTWH32DwD5ps2|6OAoP3ymM8GOwtnZWkLKPP|0acOikpb9reEYw8cWX20Ft,79.07|78.16|76.96|75.28|73.67
2026-05-11 14:52:54,Bài nào của tlinh có vibe chữa lành không?,DISCOVER_MUSIC,39.51,2401.87,5ouxRyInSdRBQubu3KTd97|0uVHdmFQLlfm5gvAv9r1i7|222NYCZ0cVyVprZJqGp4rf|31QPr1F5w5uYNs8T27Gfrr|75tuJwtYniREYFd8lKrRtL,68.08|66.58|64.5|62.36|59.89
2026-05-11 14:53:48,Có bản Pop nào thất tình của Châu Khải Phong không?,DISCOVER_MUSIC,38.12,1844.09,5gumifavkLqYWlgjJbK2Kt|56naJHW9TqHn3BI8d6rrmY|2xBqFwn8nLjvBsWeUg45iN|2wZKVr1z0nno8HbO68SuzD|2lYPFSPXAvwNcZekYXEQKo,71.95|70.68|69.12|67.12|64.94
2026-05-11 14:54:16,Nhạc của Mỹ Mỹ có vibe tươi mới yêu đời,DISCOVER_MUSIC,54.43,2104.1,62pWbrOi8zvStsmbCr1TIx|20Njl4876DOJSFGgth2dH2|0i4iXU2vvEEpBM4JGHxgpg,67.52|61.85|59.1
2026-05-11 14:54:31,Tìm bài hát của Coldzy thể loại Rap buồn,DISCOVER_MUSIC,58.11,971.35,6sIWcLjuMvOcxAfMOx1kbB|5jbyRxJpTM3DjBI6XIrsoN|1fsag6oPedN5lIrjs71xYL|3t4WT0JFQuyFJGCP4BhNPi|6tQzNMB0wiKejKGVRXcneF,77.25|76.17|71.35|69.65|67.68
2026-05-11 14:54:43,Nhạc của NAOMI vibe da diết sâu lắng,DISCOVER_MUSIC,46.75,1914.46,4tV5GlNWSE0bajdrDOzCQP|7JSvAqEzt2KmwV36ZkHxzx,62.24|54.51
2026-05-11 14:57:12,Có bài nào của Trịnh Thăng Bình mà buồn không?,DISCOVER_MUSIC,84.23,786.89,1Szl9lPaJ750Hn2hRX9QI0|65coxKC1JPMqUYVbx616Vj|6kSnk1wRjfSV2UcVHGyYx1|2Newlih65Sx6J09yKLZOKQ|6sR8RE1cyGfpzhF6rTeTkk,64.31|62.71|60.64|58.13|55.31
2026-05-11 14:57:23,Những bài Pop của Miu Lê vibe bình yên đi.,DISCOVER_MUSIC,187.84,1961.99,7GPlwRnUdLIH2dqe5xpnyZ|5d13XA4256WXujmAaFTr7O|4DDHMiANxbKepayNuhjbSk|7ct4enHE3PUFfqukQDrN7h|3mfHBC2dQ4ziQu3O5lWrt1,74.26|73.19|71.62|69.87|63.7
2026-05-11 14:57:33,tim nhac rap cua tlinh vibe binh yen,DISCOVER_MUSIC,97.59,688.42,5ouxRyInSdRBQubu3KTd97|0uVHdmFQLlfm5gvAv9r1i7|222NYCZ0cVyVprZJqGp4rf|31QPr1F5w5uYNs8T27Gfrr|75tuJwtYniREYFd8lKrRtL,79.21|78.23|76.88|75.48|73.87
2026-05-11 14:57:37,Cho mình nghe nhạc của Tùng Dương thể loại Indie yêu đời,DISCOVER_MUSIC,52.18,647.51,6ow5JZLwTeMlky1r0C1GcZ,69.51
