title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__,is_hit,file_name,total_plays,spotify_streams
Cảm Ơn,Will,Minh Tốc & Lam,zingmp3,0.0,2025-11-14,"v-pop, vietnam indie, vietnamese lo-fi",0djfbUERjJZby22gTdDhxL,camon||will,"('cảm ơn', 'will', 'lam, minh, tốc')",0.0,Cảm Ơn - Will.mp3,61000.0,2959.0
Lag Lag,Quang Hùng MasterD,,zingmp3,0.0,2025-11-22,"v-pop, vinahouse, vietnamese hip hop",7bJtiPJFjIC3Q11gG9UbeO,laglag||quanghungmasterd,"('lag lag', 'hùng, masterd, quang', 'nan')",0.0,Lag Lag.mp3,174000.0,180370.0
1 mũi tên trúng 2 con tim,MiiNa,,bsides_non_hit,12.0,2025-04-14,v-pop,0kcbXWB5jS9b1KSinLWYp1,1muitentrung2contim||miina,"('1 mũi tên trúng 2 con tim', 'miina', 'nan')",0.0,1 mũi tên trúng 2 con tim.mp3,8000.0,18157.0
Tự Tâm,ERIK,,bsides_non_hit,27.0,2024-05-28,"v-pop, vinahouse, vietnam indie",0G1P2R8vQs4b1be8NndeMD,tutam||erik,"('tự tâm', 'erik', 'nan')",0.0,Tự Tâm.mp3,904.0,300963.0
anh nhớ ra,vũ.,trang,"apple, new_hits_scraped, new_hits_scraped_old, spotify",59.0,2022-09-09,"v-pop, vietnam indie, vietnamese lo-fi",7eDrdQ7PK9Xm1CZCKWsgmH,anhnhora||vu,"('anh nhớ ra', 'vũ', 'trang')",1.0,anh nhớ ra.mp3,26000.0,25230214.0
điều em không muốn,phùng khánh linh,,apple,53.0,2025-10-18,"v-pop, vietnam indie",1hhHm16FmHwdob8X95frcB,dieuemkhongmuon||phungkhanhlinh,"('điều em không muốn', 'khánh, linh, phùng', 'nan')",0.0,điều em không muốn.mp3,10000.0,579353.0
Còn Lại Gì,Hngle,,bsides_non_hit,27.0,2025-01-10,v-pop,09c3xrXtBQMrhAnhfEfWnb,conlaigi||hngle,"('còn lại gì', 'hngle', 'nan')",0.0,Còn Lại Gì.mp3,12100000.0,139187.0
chill guys ngon zai,anh trai say hi,"bigdaddy, ogenus, b ray, phúc du",zingmp3,55.0,2025-09-22,"v-pop, vietnamese hip hop",7bRV274z4g3Lns0xV8xYzY,chillguysngonzai||anhtraisayhi,"('chill guys ngon zai', 'anh, hi, say, trai', 'b, bigdaddy, du, ogenus, phúc, ray')",0.0,chill guys ngon zai.mp3,930000.0,1298144.0
Bạn Trai,14 Casper,,bsides_non_hit,12.0,2024-01-01,"v-pop, vietnamese lo-fi, vietnam indie",2ZQvHKIkQZgbhpPSuWUNvw,bantrai||14casper,"('bạn trai', '14, casper', 'nan')",0.0,Bạn Trai.mp3,119000.0,32810.0
De Mi Noi Cho Ma Nghe,Hoàng Thùy Linh,,new_hits_scraped_old,46.0,2019-10-20,"v-pop, vinahouse, vietnamese hip hop, vietnam indie",5mBWIm9EGnhZRYBYgAS72m,deminoichomanghe||hoangthuylinh,"('de mi noi cho ma nghe', 'hoàng, linh, thùy', '')",1.0,De Mi Noi Cho Ma Nghe.mp3,121000.0,13301032.0
MORSE CODE,EM XINH SAY HI,,bsides_non_hit,44.0,2025-08-25,v-pop,7CAFcMInTaovaLzOcVkmsC,morsecode||emxinhsayhi,"('morse code', 'em, hi, say, xinh', 'nan')",0.0,MORSE CODE.mp3,366000.0,440558.0
cứ đổ tại cơn mưa,em xinh say hi,"phương ly, orange, châu bùi, 52hz, vũ thảo my","apple, nct, new_hits_scraped_old, zingmp3",59.0,2025-08-11,v-pop,0SNgVYcHY0UPil9YGmwU5k,cudotaiconmua||emxinhsayhi,"('cứ đổ tại cơn mưa', 'em, hi, say, xinh', '52hz, bùi, châu, ly, my, orange, phương, thảo, vũ')",1.0,cứ đổ tại cơn mưa.mp3,418000.0,4160040.0
Cuối Tuần (1825),Hoàng Dũng,,bsides_non_hit,38.0,2025-07-09,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",14NNoIFQBU1qcDwXJ8JaLY,cuoituan1825||hoangdung,"('cuối tuần 1825', 'dũng, hoàng', 'nan')",0.0,Cuối Tuần (1825).mp3,173000.0,519492.0
