title,artists,featured_artists,album_type,spotify_popularity,spotify_release_date,spotify_genres,genres,spotify_track_id,main_artist_id,is_hit,file_name,Audio_Error,Lyrics_Error,duration_sec,tempo_bpm,musical_key,rms_energy,spectral_centroid_mean,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,zero_crossing_rate,spectral_rolloff,spectral_contrast_band1_mean,spectral_contrast_band2_mean,spectral_contrast_band3_mean,spectral_contrast_band4_mean,spectral_contrast_band5_mean,spectral_contrast_band6_mean,spectral_contrast_band7_mean,spectral_flatness_mean,beat_strength_mean,onset_rate,tempo_stability,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz6_mean,harmonic_percussive_ratio,final_sentiment,lyric_total_words,lexical_diversity,noun_count,verb_count,adj_count,lyrical_density
"""Rắc Rối"" Đáng Yêu (Aya Công Chúa Cầu Vồng)",Liên Quân Mobile,MYLINA,single,20.0,2024-07-31,"v-pop, vietnamese hip hop, vietnam indie","Rap/Hip-hop, Pop, Indie",5qiOs5e3De5vcMGhrUTr0Z,7KHN9D81AGKzY7bUSL78FA,0.0,rắc rối đáng yêu (aya công chúa cầu vồng) - liên quân mobile.mp3,OK,OK,206.4,99.38,E:maj,0.175644,1892.57,-7.4291,13.2942,-5.8875,11.6214,-0.8619,10.9227,-5.3816,10.6151,-129.6012,111.5124,109.9468,39.6217,-4.508,25.074,14.7377,18.6786,-3.7851,16.5403,0.3904,16.3834,1.0782,13.217,-9.727,18.302,1.957,13.6191,0.077825,3921.99,22.37,17.54,20.24,21.05,20.4,20.23,46.53,0.014111,1.2561,3.23,0.9561,0.2886,0.3589,0.2103,0.3171,0.4635,0.2358,0.3462,0.2213,0.3542,0.2193,0.2334,0.4111,0.0692,-0.3329,0.0374,0.085,-0.0096,-0.0179,3.1302,negative,294.0,0.4932,98.0,96.0,22.0,1.4244
"""Sorry, Anh Mất Em Rồi""",OgeNus,Orange,album,22.0,2025-04-17,"v-pop, vietnamese hip hop",Rap/Hip-hop,5imdMKpFNMIH8KKj4mPlIq,5mPbBOU2KMFfStepNZ027p,0.0,"sorry, anh mất em rồi - ogenus.mp3",OK,OK,129.26,103.36,D:maj,0.190588,2521.9,6.3821,12.0228,-2.5643,10.4555,0.7584,9.2548,-2.5918,9.5296,-106.9167,86.6524,83.3877,35.8578,13.7006,30.5056,7.9928,21.2117,13.8607,17.2404,8.7275,17.4964,1.5741,12.6513,9.4467,13.2359,-7.2441,12.9602,0.095309,5860.09,21.75,16.85,19.26,18.58,19.14,18.53,47.91,0.024357,1.7625,3.67,0.9705,0.2994,0.3171,0.4415,0.3364,0.4244,0.4452,0.3211,0.3881,0.3835,0.508,0.341,0.2816,0.136,0.09,-0.0359,-0.0483,-0.0072,-0.0192,1.8998,negative,453.0,0.3157,142.0,134.0,80.0,3.5046
#760Roses,Sixkie Dawgz,"Eska, Dobie",single,22.0,2024-05-31,v-pop,"Pop, Rap/Hip-hop",3TAlQkOJCcejv6lFACN3ZX,3gdsVSks0f5ifaXSBbSZEO,0.0,#760roses - sixkie dawgz.mp3,OK,OK,177.89,136.0,A#:maj,0.117874,2073.0,2.7778,10.995,-3.5798,10.9454,3.1935,10.0121,-0.7702,9.8583,-173.6134,92.846,103.8131,41.7777,17.0766,25.1392,7.4003,18.9964,10.7292,15.0557,2.354,14.373,-3.8987,13.0133,4.8491,13.6865,-4.1509,11.5281,0.063927,4891.55,23.42,18.1,21.17,19.59,19.43,18.52,47.71,0.01235,1.4572,3.66,0.959,0.3789,0.2648,0.3698,0.2523,0.2598,0.3481,0.2411,0.3118,0.2731,0.4335,0.5009,0.302,-0.1205,0.3075,0.0416,-0.1453,0.0445,-0.0177,3.7185,negative,474.0,0.4072,136.0,147.0,13.0,2.6646
#ARCSK (feat. DBaola),Da LAB,DBaola,single,8.0,2018-08-17,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse","Rap/Hip-hop, Pop",5eEeWeJtnjF4JlRLJ5KXiv,6zUWZmyi5MLOEynQ5wCI5f,0.0,#arcsk (feat. dbaola) - da lab.mp3,OK,OK,279.78,112.35,A:min,0.284065,2442.82,0.5514,14.7557,-3.7968,11.707,2.6696,11.8669,-2.2285,11.7727,-43.2237,85.1758,83.4621,35.1645,2.9654,36.568,6.8745,22.1482,-1.2431,21.8857,-0.591,18.3014,-6.9316,19.1123,-5.2424,16.287,-6.0594,14.2606,0.098358,5390.76,19.95,15.5,19.03,18.31,18.76,18.75,47.11,0.024211,1.5545,2.58,0.9754,0.5251,0.3543,0.3864,0.3427,0.506,0.3927,0.3387,0.3654,0.3461,0.4381,0.3699,0.5243,0.172,0.0382,-0.0352,0.0555,-0.0163,-0.0019,2.242,neutral,923.0,0.26,137.0,232.0,81.0,3.299
'em sẽ cười tươi vào ngày anh cưới',Mỹ Mỹ,Osad,album,39.0,2025-10-16,v-pop,"Pop, Ballad",3UhCggf9qUqBIjv1Lgrd5K,21trGUfOb8qkRjI4EyF1qm,0.0,'em sẽ cười tươi vào ngày anh cưới' - mỹ mỹ.mp3,OK,OK,220.01,161.5,A:maj,0.156659,1917.52,4.8013,12.8628,-10.0617,10.823,2.04,11.0636,-7.0941,11.7797,-165.9365,133.1505,105.7198,31.9499,19.1245,21.1883,9.0744,17.2831,4.2169,12.7871,-4.5619,15.0036,2.7418,12.7775,-9.0823,13.1768,-2.9325,11.8924,0.071041,4311.87,21.57,17.32,21.04,21.16,20.83,21.92,47.34,0.009637,1.2437,3.25,0.9603,0.2544,0.3879,0.4045,0.2689,0.3378,0.246,0.3603,0.2136,0.2235,0.3767,0.2368,0.2617,0.2703,-0.1452,-0.0834,-0.0553,-0.0032,0.0121,3.1535,positive,395.0,0.4608,130.0,110.0,18.0,1.7954
(sau đây là) DỰ BÁO THỜI TIẾT (cho các vùng vào ngày mai),Ngọt,,album,33.0,2019-06-10,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop","Ballad, Pop, Indie",5pJ70VyPyN0AyhAdF5GxSJ,0V2DfUrZvBuUReS1LFo5ZI,1.0,(sau đây là) dự báo thời tiết (cho các vùng vào ngày mai) - ngọt.mp3,OK,OK,198.75,161.5,A:maj,0.123684,1383.98,4.8696,9.905,-5.4015,8.4445,-8.9235,7.705,-7.924,7.292,-202.6792,92.0073,129.2276,36.2136,13.4018,18.221,33.2968,14.1782,7.3239,12.1802,9.7274,10.0322,0.6295,11.4019,6.173,8.8422,-4.6864,9.1222,0.054887,2796.45,20.55,20.51,22.41,23.39,21.87,21.63,50.65,0.01012,0.9988,2.63,0.9475,0.2157,0.3077,0.2204,0.2011,0.2896,0.2168,0.2278,0.1916,0.395,0.5169,0.3148,0.3473,0.229,-0.1744,-0.1902,0.0324,-0.0074,0.0126,6.2283,neutral,142.0,0.4648,50.0,58.0,0.0,0.7145
(thu).,thaison!,"Mer, Vantacrow",single,22.0,2023-12-10,"vietnam indie, v-pop","Pop, Rap/Hip-hop",6lmphfnWmsyxVxG5wh9pag,1VQyG9aks9QYQYzwmP12Fz,0.0,(thu). - thaison!.mp3,OK,OK,128.88,99.38,C#:min,0.389646,2927.89,7.289,10.1741,-1.5942,8.3621,7.9611,8.3716,-2.8265,8.7837,-2.2404,47.4842,77.3201,34.2268,21.4848,21.2969,11.9539,15.7837,6.2313,13.8489,-1.9446,14.3336,3.8823,12.5568,0.4885,11.0628,-5.8882,10.1317,0.089927,7122.25,22.54,15.16,19.31,18.65,17.68,18.07,48.55,0.025251,1.5369,4.37,0.947,0.3595,0.5463,0.314,0.4045,0.5193,0.3736,0.4728,0.3725,0.5905,0.4179,0.328,0.4144,0.1031,-0.168,-0.0804,0.1465,0.0423,0.0187,3.9651,positive,391.0,0.5166,117.0,112.0,41.0,3.0338
(tôi) ĐI TRÚ ĐÔNG,Ngọt,,album,36.0,2019-06-10,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop","Pop, Indie, Rap/Hip-hop",2kALQoFlKxSaerOCFB1vdm,0V2DfUrZvBuUReS1LFo5ZI,1.0,(tôi) đi trú đông - ngọt.mp3,OK,OK,229.9,123.05,G:maj,0.194033,1841.94,6.0118,8.9391,-2.8007,8.9319,2.0761,8.0825,-0.5034,8.5775,-103.4489,52.3961,104.6792,24.0238,15.7864,16.5392,31.9,13.9961,11.7072,12.5514,10.422,10.1345,-2.6228,9.9828,9.7255,9.3385,0.0017,8.5312,0.062949,4244.03,21.14,18.73,21.67,20.83,21.07,18.52,49.05,0.008314,1.2471,3.56,0.9617,0.3048,0.2492,0.3975,0.2276,0.2329,0.1982,0.3552,0.4575,0.3349,0.4084,0.2988,0.4001,0.2108,0.0954,0.142,-0.05,0.0058,-0.0083,3.471,negative,167.0,0.5509,38.0,46.0,17.0,0.7264
"(từng là) Boyfriend, Girlfriend",MIN,,album,48.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse","Rap/Hip-hop, Pop",7B2UpgEZe68OdfKzBb8JZq,0IdAjS2LRieBR3gzoazdAw,1.0,"(từng là) boyfriend, girlfriend - min.mp3",OK,OK,242.87,117.45,F:maj,0.255455,2268.43,6.1221,9.3141,-4.8049,11.7006,3.6076,8.6912,-5.0133,9.1842,-82.0684,108.9603,92.9484,36.2936,19.7115,19.3063,14.5109,17.7615,-4.9555,13.9246,-1.0277,16.5835,-3.2225,10.5499,-1.2005,10.5927,0.3735,9.1103,0.078685,5084.14,20.33,15.52,19.64,21.65,19.23,18.01,48.64,0.017066,1.3606,3.71,0.9643,0.4779,0.2427,0.2278,0.1979,0.3783,0.5206,0.2633,0.3358,0.2703,0.4324,0.2892,0.2599,0.0686,0.1368,-0.1211,0.0288,-0.0048,0.005,2.5187,negative,356.0,0.3399,118.0,100.0,13.0,1.4658
+ 1 Vết Xước,Charmy Pham,Tuimi,album,22.0,2025-12-01,"v-pop, vinahouse",Pop,5L5Pfsnzn49cjNZvzi3FNq,6jFvKq4gMkQ50joURHPGXO,0.0,+ 1 vết xước - charmy pham.mp3,OK,OK,230.55,143.55,A:maj,0.106976,2172.28,10.4489,15.3327,-6.8422,11.3145,5.4093,11.0065,-0.7097,10.468,-174.964,102.747,97.9128,36.7304,7.7194,26.2361,14.7526,21.0265,6.6822,15.6063,0.3206,15.4679,0.7994,15.2054,-3.5475,12.5179,-1.9524,12.7183,0.087227,4728.61,22.5,17.13,21.11,21.57,21.74,20.56,49.48,0.013949,1.2549,2.93,0.9609,0.2464,0.3587,0.2732,0.2717,0.4992,0.2735,0.2824,0.2216,0.3451,0.456,0.2662,0.3439,0.1408,-0.1398,-0.0462,0.0437,0.0081,-0.006,2.3985,negative,305.0,0.4525,106.0,77.0,30.0,1.3229
+1 ngày bên em,Trungg I.U,Rum,single,20.0,2024-03-15,"v-pop, vinahouse, vietnam indie","Ballad, Pop, Indie",0oQW0vIRkcL8gunHPGyIJL,6Ue0BbbTOdBjcO4QZB5sio,0.0,+1 ngày bên em - trungg i.u.mp3,OK,OK,217.14,123.05,F:maj,0.075842,1778.97,0.3515,11.5927,-3.0172,9.6322,-1.9052,9.5333,-6.5925,9.5079,-235.4981,120.6009,106.9935,34.7881,8.3741,21.9099,15.3948,17.7838,4.0109,11.1051,1.6023,10.4268,-6.6052,9.3407,-3.9924,10.3752,-4.2284,10.4331,0.07353,3700.38,18.85,18.35,21.76,20.87,20.72,20.5,49.63,0.008383,1.0155,2.67,0.9454,0.3561,0.183,0.2111,0.1448,0.3059,0.4837,0.2478,0.3438,0.2043,0.2923,0.2361,0.1912,0.0808,0.32,-0.1135,0.0666,-0.0025,-0.0111,3.7208,negative,230.0,0.4826,57.0,79.0,23.0,1.0592
0 AI NGHĨ,Wxrdie,,single,60.0,2023-03-16,"vietnamese hip hop, v-pop",Rap/Hip-hop,2kt7udEZmN2kj1Jsl118zY,1Jmkhzve9TuXHUUWGmpANw,1.0,0 ai nghĩ - wxrdie.mp3,OK,OK,190.5,83.35,E:maj,0.142932,1944.38,-0.8146,10.2558,-9.1436,10.4065,-4.7837,9.8848,-14.1595,9.5974,-151.7183,107.7088,114.3328,43.8597,6.4291,39.4178,4.2425,19.8711,-10.2559,20.5601,-18.6409,17.2866,-10.1879,15.8121,-13.4966,13.7244,-10.4727,12.5858,0.084545,3767.46,24.35,16.8,18.37,20.01,19.95,21.92,46.65,0.015447,1.8012,4.08,0.9618,0.3144,0.4056,0.2409,0.3731,0.4587,0.2586,0.3104,0.2679,0.4439,0.2702,0.2862,0.4273,0.003,-0.2793,0.0316,0.1502,0.0172,-0.0404,1.3129,negative,538.0,0.3606,145.0,143.0,31.0,2.8241
0 Phải Hôm Nay,QNT,HuyR,single,26.0,2023-01-19,"v-pop, vietnam indie, vietnamese hip hop","Rap/Hip-hop, Pop",0BgB8R5PF4niOC6Pd2tJ5e,4LuFOXq87Tg0JSl5U7yxFZ,0.0,0 phải hôm nay - qnt.mp3,OK,OK,159.34,152.0,D#:maj,0.150813,1824.5,-2.0479,14.0184,-11.3754,12.0517,-5.6852,12.2894,-12.4449,10.8695,-175.7692,92.4495,103.1311,34.3104,21.1361,22.5302,23.3601,20.4003,-8.7944,19.3731,-7.6596,15.1726,-10.6951,15.2574,-6.2283,13.2835,-16.5989,13.1221,0.063911,4070.06,24.89,20.08,23.91,21.69,20.92,20.53,48.74,0.006539,1.3387,2.89,0.9652,0.1862,0.1327,0.3032,0.3671,0.1829,0.2676,0.2012,0.3455,0.2301,0.2163,0.425,0.2105,-0.182,0.2527,0.2013,-0.0744,0.0154,-0.0254,4.2068,negative,296.0,0.4527,94.0,61.0,27.0,1.8577
