track_id,file_name,title,artists,is_hit,spotify_popularity,artist_followers,spotify_release_date,spotify_genres,total_plays,spotify_streams,duration_sec,tempo_bpm,musical_key,rms_energy,spectral_centroid_mean,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,zero_crossing_rate,spectral_rolloff,spectral_contrast_band1_mean,spectral_contrast_band2_mean,spectral_contrast_band3_mean,spectral_contrast_band4_mean,spectral_contrast_band5_mean,spectral_contrast_band6_mean,spectral_contrast_band7_mean,spectral_flatness_mean,beat_strength_mean,onset_rate,tempo_stability,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz6_mean,harmonic_percussive_ratio,lyric_total_words,lexical_diversity,noun_count,verb_count,adj_count,sentiment,sentiment_score,sentiment_confidence
5VEbCBsWrWI2I5OQhDrNJF,Chạy Ngay Đi (Sky Tour 2019).mp3,Chạy Ngay Đi (Sky Tour 2019),Sơn Tùng M-TP,0,33.0,7610913.0,2020-06-12,"v-pop, vinahouse, vietnamese hip hop, vietnam indie",263000.0,1378447.0,309.5,129.2,G:maj,0.112138,2698.57,5.0942,7.4885,-3.0831,7.0002,4.9901,7.2031,-2.8634,7.4854,-84.4731,61.5516,82.5215,24.9757,-5.0003,20.5899,14.2013,11.9647,1.486,10.7677,5.6204,10.2851,0.1995,9.6477,4.1207,8.6102,-2.5145,7.6482,0.116573,5816.47,22.29,13.43,16.46,16.19,16.85,17.09,47.99,0.041996,1.3618,3.87,0.9508,0.4073,0.388,0.4791,0.3968,0.4603,0.4572,0.4236,0.5188,0.4877,0.5818,0.4315,0.399,0.1376,0.1041,-0.0182,-0.0795,-0.0039,-0.007,1.8356,686.0,0.4359,233.0,211.0,50.0,neutral,-0.1208,0.2447
0aEUEtNf9u85BTvBI9Hsoq,Người Âm Phủ.mp3,Người Âm Phủ,Osad,1,52.0,293664.0,2018-01-01,"v-pop, vietnamese hip hop",405200000.0,11553739.0,130.56,60.09,C#:maj,0.283823,1924.87,6.7451,10.4116,-2.1826,14.3868,9.5543,10.4925,0.007,10.1105,-73.9532,86.8092,106.4023,41.9044,8.9592,20.4906,19.701,14.8455,9.636,13.5714,10.3075,13.5519,-0.1866,11.471,2.6292,10.4256,0.9987,9.4485,0.058313,4343.21,25.69,15.71,19.82,19.22,19.75,18.81,46.35,0.011356,1.4031,4.47,0.9571,0.4982,0.482,0.3138,0.3295,0.2724,0.3855,0.3796,0.4065,0.5019,0.4527,0.5387,0.4641,-0.1337,-0.0611,-0.0163,0.0029,0.0279,-0.0256,3.4419,299.0,0.5485,93.0,88.0,12.0,positive,0.4516,0.1818
5y3m3UvJRHDPCqO2SBq98f,Nơi Tình Yêu Bắt Đầu.mp3,Nơi Tình Yêu Bắt Đầu,Bùi Anh Tuấn,1,58.0,405890.0,2016-09-15,v-pop,79000.0,96251.0,268.87,123.05,A:min,0.159315,1859.94,8.5452,10.4456,-2.6546,8.6424,-2.1641,9.1186,-2.9154,8.5738,-135.4467,96.5128,109.4502,31.0185,18.8938,20.9348,22.4703,16.7795,3.6715,12.5037,5.22,9.665,-0.6858,9.5901,5.289,8.3397,-0.8287,9.0657,0.073692,4062.82,21.46,17.97,21.03,21.45,20.07,18.9,51.1,0.01027,1.265,2.81,0.9722,0.334,0.2397,0.3794,0.2744,0.3522,0.24,0.2153,0.3318,0.323,0.4318,0.2898,0.3429,0.2224,0.1082,-0.0479,0.0347,0.0021,0.0099,2.8123,288.0,0.2951,107.0,78.0,12.0,positive,0.7557,0.206
2c0QMztYu6PCfFrGLqHXIV,Răng Khôn (feat. RIN9).mp3,Răng Khôn (feat. RIN9),Phí Phương Anh,1,50.0,53217.0,2021-04-22,"v-pop, vietnamese lo-fi, vinahouse",59700000.0,20780199.0,231.59,83.35,G:maj,0.19214,2274.42,-2.3517,12.4741,-9.7389,9.2649,-3.2128,10.1889,-7.1313,9.1353,-107.2608,117.0385,97.6172,37.8387,23.0738,18.2726,12.9508,15.9573,2.5268,12.3982,1.9575,12.9332,-8.8606,9.9264,-6.2827,10.6679,-8.0622,9.4976,0.087506,5179.26,23.69,17.08,22.71,20.99,20.25,18.98,49.09,0.016355,1.259,3.23,0.9488,0.2341,0.1921,0.3408,0.1945,0.225,0.1627,0.3296,0.4528,0.2418,0.3555,0.2411,0.4086,0.2769,0.0226,0.1241,-0.0565,0.0014,-0.0078,2.8538,154.0,0.6948,48.0,43.0,8.0,neutral,0.102,0.262
20BPNO5wYqbcDw7k2ODxHb,Chong Đèn Canh Thâu.mp3,Chong Đèn Canh Thâu,Trungg I.U,0,31.0,5330.0,2025-07-18,"v-pop, vinahouse, vietnam indie",256000.0,117252.0,318.62,152.0,A#:min,0.098203,1860.63,1.95,8.8481,-1.3329,8.7706,0.3174,8.3061,-4.0718,8.9344,-184.8288,116.0101,109.8935,35.0581,8.495,17.5128,14.3059,14.9561,6.9811,11.0607,6.2115,9.4529,-2.9097,8.7253,2.6019,8.5435,-3.7034,8.3978,0.070159,4102.91,24.27,17.88,21.58,20.25,19.97,19.47,48.16,0.011654,1.1212,1.83,0.9482,0.3716,0.3815,0.2267,0.3036,0.2394,0.375,0.2905,0.2024,0.2698,0.2178,0.2978,0.2232,-0.2527,0.017,-0.0843,0.0123,-0.001,0.0128,3.4397,156.0,0.7949,51.0,41.0,13.0,neutral,-0.0602,0.2128
45PPoUgqs3JrhkZGEzSUHT,"3107 4 (feat. Erik, Nâu).mp3","3107 4 (feat. Erik, Nâu)",W/N,1,59.0,1797397.0,2022-07-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",3107.0,26514754.0,213.91,129.2,G#:min,0.20836,1923.78,2.3233,12.2569,-11.0007,9.9701,-3.4842,9.0906,-5.168,8.5086,-98.4128,75.8568,115.0872,37.2217,2.0924,31.7481,8.3885,17.6164,5.9733,17.4046,-5.5213,13.7347,-6.5682,12.2273,-3.9981,11.3979,-15.2827,14.1988,0.07702,3953.74,21.17,16.58,20.26,19.73,19.8,20.23,47.77,0.010661,1.4136,2.7,0.953,0.2939,0.342,0.2497,0.36,0.2771,0.2546,0.3267,0.2944,0.3863,0.2937,0.4149,0.4191,-0.1308,-0.134,0.0756,0.0349,0.0029,-0.0095,3.0653,364.0,0.4725,110.0,114.0,11.0,neutral,0.1724,0.1768
5tuggdTrO21Wi9ydcyUXlX,Qua Khung Cửa Sổ.mp3,Qua Khung Cửa Sổ,Chillies,1,52.0,981747.0,2021-05-05,"v-pop, vietnam indie, vietnamese hip hop",2000.0,10372718.0,299.09,136.0,E:maj,0.181072,1489.25,-4.8241,11.3151,-7.25,9.4599,-6.9799,8.8976,-6.669,9.7466,-153.6582,94.6038,128.6177,42.1062,14.9987,20.2739,12.651,17.9743,6.9804,13.6101,3.6651,14.2466,-17.3001,11.7834,0.4986,12.4735,-10.1621,10.4444,0.057522,3101.87,25.53,19.25,23.1,22.24,22.83,19.94,47.43,0.010382,1.057,2.67,0.9411,0.2039,0.3485,0.284,0.2492,0.5219,0.2195,0.1589,0.1439,0.347,0.427,0.2161,0.2812,0.2758,-0.2806,-0.1096,0.1214,0.0156,-0.0281,4.8436,262.0,0.416,76.0,83.0,7.0,neutral,-0.0303,0.2143
6B4AdZzwagId7wvWeJEkiq,Độ Tộc 2.mp3,Độ Tộc 2,Độ Mixi,0,38.0,69688.0,2021-09-22,"vietnamese hip hop, v-pop",34300000.0,5112203.0,201.03,117.45,F#:min,0.172449,2041.86,2.1331,16.2211,-5.9729,14.0963,2.4709,13.6273,-3.5521,14.065,-155.1097,128.375,92.052,42.8662,5.535,31.4742,19.4305,21.8872,10.1768,20.0834,9.5649,19.0546,4.205,15.5237,-0.8685,16.0637,-4.88,14.3781,0.082884,4273.48,19.9,16.24,19.92,18.63,19.65,19.67,47.41,0.016126,2.0094,3.68,0.972,0.3513,0.4645,0.3428,0.2975,0.3132,0.3154,0.4277,0.325,0.3763,0.3621,0.3086,0.385,0.0127,-0.14,-0.0872,-0.07,0.0076,0.0169,1.617,390.0,0.5821,117.0,100.0,24.0,positive,0.2816,0.2294
3AWGEluq3VIBh4k4aIJN1p,Sau Lưng Anh Có Ai Kìa.mp3,Sau Lưng Anh Có Ai Kìa,Thiều Bảo Trâm,0,49.0,143320.0,2022-04-11,"v-pop, vietnamese lo-fi",43300000.0,9473581.0,302.59,161.5,A#:maj,0.150449,1925.68,7.7935,11.8051,-17.4213,14.2253,3.081,9.5609,-6.8878,9.4532,-135.9557,102.2505,110.0583,35.4377,8.7,18.208,17.3708,19.484,0.7493,11.8482,6.5902,11.8281,-1.0891,11.2428,-1.0277,10.1876,-7.2579,11.4159,0.079887,4163.22,20.78,17.45,21.93,21.58,21.13,21.52,52.0,0.008136,1.0766,2.23,0.9599,0.387,0.1993,0.2904,0.3271,0.2237,0.3584,0.2322,0.3515,0.2967,0.2421,0.3482,0.2485,-0.1286,0.2824,0.0304,0.0255,-0.0139,-0.0105,2.6437,360.0,0.3667,91.0,99.0,34.0,neutral,0.0599,0.274
5rVRjE3K44dbMAVtjvLdQh,Hoa Nở Không Màu.mp3,Hoa Nở Không Màu,Hoài Lâm,0,48.0,422311.0,2020-05-30,"v-pop, vietnamese lo-fi, vietnamese bolero, bolero, vietnam indie",7800000.0,12349781.0,328.11,143.55,F:min,0.186988,1591.48,-6.0113,11.4795,-6.3801,11.2755,-8.8362,11.343,-2.4518,9.9597,-143.8582,112.0036,117.0761,38.016,-0.7806,18.1939,22.5086,16.9125,-5.836,12.8751,-2.1405,12.4082,-7.2735,11.5916,-3.7071,11.3548,-14.2545,12.4934,0.072132,3156.51,25.83,19.84,22.8,22.52,21.7,21.63,48.79,0.018984,1.0619,2.28,0.9586,0.2875,0.327,0.1995,0.2718,0.2047,0.3253,0.2635,0.1603,0.2384,0.1994,0.2668,0.1839,-0.2272,0.008,-0.0838,-0.0401,0.0039,0.0173,4.5245,268.0,0.4067,60.0,86.0,20.0,neutral,0.0755,0.3046
